+ ---- + --------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                 | Use  | Usage % |  Win %  |
+ ---- + --------------------------- + ---- + ------- + ------- +
| 1    | Doublade / Eldegoss         |    3 |  37.50% | 100.00% |
| 1    | Gigalith / Sandslash        |    3 |  37.50% |  33.33% |
| 3    | Ribombee / Eldegoss         |    2 |  25.00% | 100.00% |
| 3    | Doublade / Ribombee         |    2 |  25.00% | 100.00% |
| 3    | Silvally / Archeops         |    2 |  25.00% |  50.00% |
| 3    | Centiskorch / Eldegoss      |    2 |  25.00% |  50.00% |
| 3    | Eldegoss / Sandaconda       |    2 |  25.00% |  50.00% |
| 3    | Wishiwashi / Eldegoss       |    2 |  25.00% |  50.00% |
| 3    | Centiskorch / Sandaconda    |    2 |  25.00% |  50.00% |
| 3    | Wishiwashi / Centiskorch    |    2 |  25.00% |  50.00% |
| 3    | Wishiwashi / Sandaconda     |    2 |  25.00% |  50.00% |
| 3    | Magneton / Gigalith         |    2 |  25.00% |  50.00% |
| 3    | Magneton / Sandslash        |    2 |  25.00% |  50.00% |
| 3    | Gigalith / Weezing          |    2 |  25.00% |   0.00% |
| 3    | Weezing / Sandslash         |    2 |  25.00% |   0.00% |
| 16   | Doublade / Ninjask          |    1 |  12.50% | 100.00% |
| 16   | Gigalith / Ninjask          |    1 |  12.50% | 100.00% |
| 16   | Sandslash / Ninjask         |    1 |  12.50% | 100.00% |
| 16   | Magneton / Ninjask          |    1 |  12.50% | 100.00% |
| 16   | Eldegoss / Ninjask          |    1 |  12.50% | 100.00% |
| 16   | Doublade / Gigalith         |    1 |  12.50% | 100.00% |
| 16   | Doublade / Sandslash        |    1 |  12.50% | 100.00% |
| 16   | Doublade / Magneton         |    1 |  12.50% | 100.00% |
| 16   | Gigalith / Eldegoss         |    1 |  12.50% | 100.00% |
| 16   | Sandslash / Eldegoss        |    1 |  12.50% | 100.00% |
| 16   | Magneton / Eldegoss         |    1 |  12.50% | 100.00% |
| 16   | Ribombee / Haunter          |    1 |  12.50% | 100.00% |
| 16   | Ribombee / Audino           |    1 |  12.50% | 100.00% |
| 16   | Ribombee / Regirock         |    1 |  12.50% | 100.00% |
| 16   | Audino / Haunter            |    1 |  12.50% | 100.00% |
| 16   | Haunter / Eldegoss          |    1 |  12.50% | 100.00% |
| 16   | Regirock / Haunter          |    1 |  12.50% | 100.00% |
| 16   | Doublade / Haunter          |    1 |  12.50% | 100.00% |
| 16   | Audino / Eldegoss           |    1 |  12.50% | 100.00% |
| 16   | Regirock / Audino           |    1 |  12.50% | 100.00% |
| 16   | Doublade / Audino           |    1 |  12.50% | 100.00% |
| 16   | Regirock / Eldegoss         |    1 |  12.50% | 100.00% |
| 16   | Doublade / Regirock         |    1 |  12.50% | 100.00% |
| 16   | Lanturn / Gourgeist-*       |    1 |  12.50% | 100.00% |
| 16   | Lanturn / Silvally          |    1 |  12.50% | 100.00% |
| 16   | Lanturn / Sandslash         |    1 |  12.50% | 100.00% |
| 16   | Lanturn / Ribombee          |    1 |  12.50% | 100.00% |
| 16   | Lanturn / Archeops          |    1 |  12.50% | 100.00% |
| 16   | Lanturn / Gourgeist-Super   |    1 |  12.50% | 100.00% |
| 16   | Gourgeist-* / Silvally      |    1 |  12.50% | 100.00% |
| 16   | Gourgeist-* / Sandslash     |    1 |  12.50% | 100.00% |
| 16   | Gourgeist-* / Ribombee      |    1 |  12.50% | 100.00% |
| 16   | Gourgeist-* / Archeops      |    1 |  12.50% | 100.00% |
| 16   | Silvally / Sandslash        |    1 |  12.50% | 100.00% |
| 16   | Ribombee / Silvally         |    1 |  12.50% | 100.00% |
| 16   | Silvally / Gourgeist-Super  |    1 |  12.50% | 100.00% |
| 16   | Ribombee / Sandslash        |    1 |  12.50% | 100.00% |
| 16   | Sandslash / Archeops        |    1 |  12.50% | 100.00% |
| 16   | Sandslash / Gourgeist-Super |    1 |  12.50% | 100.00% |
| 16   | Ribombee / Archeops         |    1 |  12.50% | 100.00% |
| 16   | Ribombee / Gourgeist-Super  |    1 |  12.50% | 100.00% |
| 16   | Archeops / Gourgeist-Super  |    1 |  12.50% | 100.00% |
| 16   | Doublade / Centiskorch      |    1 |  12.50% | 100.00% |
| 16   | Ribombee / Centiskorch      |    1 |  12.50% | 100.00% |
| 16   | Doublade / Wishiwashi       |    1 |  12.50% | 100.00% |
| 16   | Wishiwashi / Ribombee       |    1 |  12.50% | 100.00% |
| 16   | Doublade / Sandaconda       |    1 |  12.50% | 100.00% |
| 16   | Ribombee / Sandaconda       |    1 |  12.50% | 100.00% |
| 16   | Silvally / Eldegoss         |    1 |  12.50% |   0.00% |
| 16   | Centiskorch / Silvally      |    1 |  12.50% |   0.00% |
| 16   | Silvally / Sandaconda       |    1 |  12.50% |   0.00% |
| 16   | Wishiwashi / Silvally       |    1 |  12.50% |   0.00% |
| 16   | Eldegoss / Archeops         |    1 |  12.50% |   0.00% |
| 16   | Centiskorch / Archeops      |    1 |  12.50% |   0.00% |
| 16   | Archeops / Sandaconda       |    1 |  12.50% |   0.00% |
| 16   | Wishiwashi / Archeops       |    1 |  12.50% |   0.00% |
| 16   | Lycanroc / Gigalith         |    1 |  12.50% |   0.00% |
| 16   | Gigalith / Audino           |    1 |  12.50% |   0.00% |
| 16   | Lycanroc / Weezing          |    1 |  12.50% |   0.00% |
| 16   | Lycanroc / Audino           |    1 |  12.50% |   0.00% |
| 16   | Lycanroc / Sandslash        |    1 |  12.50% |   0.00% |
| 16   | Lycanroc / Magneton         |    1 |  12.50% |   0.00% |
| 16   | Weezing / Audino            |    1 |  12.50% |   0.00% |
| 16   | Magneton / Weezing          |    1 |  12.50% |   0.00% |
| 16   | Audino / Sandslash          |    1 |  12.50% |   0.00% |
| 16   | Magneton / Audino           |    1 |  12.50% |   0.00% |
| 16   | Frosmoth / Gigalith         |    1 |  12.50% |   0.00% |
| 16   | Jellicent / Gigalith        |    1 |  12.50% |   0.00% |
| 16   | Gigalith / Ferroseed        |    1 |  12.50% |   0.00% |
| 16   | Frosmoth / Sandslash        |    1 |  12.50% |   0.00% |
| 16   | Jellicent / Sandslash       |    1 |  12.50% |   0.00% |
| 16   | Ferroseed / Sandslash       |    1 |  12.50% |   0.00% |
| 16   | Frosmoth / Jellicent        |    1 |  12.50% |   0.00% |
| 16   | Frosmoth / Ferroseed        |    1 |  12.50% |   0.00% |
| 16   | Frosmoth / Weezing          |    1 |  12.50% |   0.00% |
| 16   | Jellicent / Ferroseed       |    1 |  12.50% |   0.00% |
| 16   | Jellicent / Weezing         |    1 |  12.50% |   0.00% |
| 16   | Ferroseed / Weezing         |    1 |  12.50% |   0.00% |
| 16   | Thwackey / Hitmonlee        |    1 |  12.50% |   0.00% |
| 16   | Thwackey / Comfey           |    1 |  12.50% |   0.00% |
| 16   | Thwackey / Thievul          |    1 |  12.50% |   0.00% |
| 16   | Thwackey / Qwilfish         |    1 |  12.50% |   0.00% |
| 16   | Thwackey / Coalossal        |    1 |  12.50% |   0.00% |
| 16   | Comfey / Hitmonlee          |    1 |  12.50% |   0.00% |
| 16   | Thievul / Hitmonlee         |    1 |  12.50% |   0.00% |
| 16   | Qwilfish / Hitmonlee        |    1 |  12.50% |   0.00% |
| 16   | Coalossal / Hitmonlee       |    1 |  12.50% |   0.00% |
| 16   | Thievul / Comfey            |    1 |  12.50% |   0.00% |
| 16   | Qwilfish / Comfey           |    1 |  12.50% |   0.00% |
| 16   | Coalossal / Comfey          |    1 |  12.50% |   0.00% |
| 16   | Thievul / Qwilfish          |    1 |  12.50% |   0.00% |
| 16   | Thievul / Coalossal         |    1 |  12.50% |   0.00% |
| 16   | Coalossal / Qwilfish        |    1 |  12.50% |   0.00% |

+ ---- + -------------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 3                            | Use  | Usage % |  Win %  |
+ ---- + -------------------------------------- + ---- + ------- + ------- +
| 1    | Doublade / Ribombee / Eldegoss         |    2 |  25.00% | 100.00% |
| 1    | Centiskorch / Eldegoss / Sandaconda    |    2 |  25.00% |  50.00% |
| 1    | Wishiwashi / Centiskorch / Eldegoss    |    2 |  25.00% |  50.00% |
| 1    | Wishiwashi / Eldegoss / Sandaconda     |    2 |  25.00% |  50.00% |
| 1    | Wishiwashi / Centiskorch / Sandaconda  |    2 |  25.00% |  50.00% |
| 1    | Magneton / Gigalith / Sandslash        |    2 |  25.00% |  50.00% |
| 1    | Gigalith / Weezing / Sandslash         |    2 |  25.00% |   0.00% |
| 8    | Doublade / Gigalith / Ninjask          |    1 |  12.50% | 100.00% |
| 8    | Doublade / Sandslash / Ninjask         |    1 |  12.50% | 100.00% |
| 8    | Doublade / Magneton / Ninjask          |    1 |  12.50% | 100.00% |
| 8    | Doublade / Eldegoss / Ninjask          |    1 |  12.50% | 100.00% |
| 8    | Gigalith / Sandslash / Ninjask         |    1 |  12.50% | 100.00% |
| 8    | Magneton / Gigalith / Ninjask          |    1 |  12.50% | 100.00% |
| 8    | Gigalith / Eldegoss / Ninjask          |    1 |  12.50% | 100.00% |
| 8    | Magneton / Sandslash / Ninjask         |    1 |  12.50% | 100.00% |
| 8    | Eldegoss / Sandslash / Ninjask         |    1 |  12.50% | 100.00% |
| 8    | Magneton / Eldegoss / Ninjask          |    1 |  12.50% | 100.00% |
| 8    | Doublade / Gigalith / Sandslash        |    1 |  12.50% | 100.00% |
| 8    | Doublade / Magneton / Gigalith         |    1 |  12.50% | 100.00% |
| 8    | Doublade / Gigalith / Eldegoss         |    1 |  12.50% | 100.00% |
| 8    | Doublade / Magneton / Sandslash        |    1 |  12.50% | 100.00% |
| 8    | Doublade / Sandslash / Eldegoss        |    1 |  12.50% | 100.00% |
| 8    | Doublade / Magneton / Eldegoss         |    1 |  12.50% | 100.00% |
| 8    | Gigalith / Sandslash / Eldegoss        |    1 |  12.50% | 100.00% |
| 8    | Magneton / Gigalith / Eldegoss         |    1 |  12.50% | 100.00% |
| 8    | Magneton / Sandslash / Eldegoss        |    1 |  12.50% | 100.00% |
| 8    | Ribombee / Audino / Haunter            |    1 |  12.50% | 100.00% |
| 8    | Ribombee / Haunter / Eldegoss          |    1 |  12.50% | 100.00% |
| 8    | Regirock / Ribombee / Haunter          |    1 |  12.50% | 100.00% |
| 8    | Doublade / Ribombee / Haunter          |    1 |  12.50% | 100.00% |
| 8    | Ribombee / Audino / Eldegoss           |    1 |  12.50% | 100.00% |
| 8    | Regirock / Ribombee / Audino           |    1 |  12.50% | 100.00% |
