+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Eldegoss           |    4 |  50.00% |  75.00% |
| 1    | Sandslash          |    4 |  50.00% |  50.00% |
| 3    | Doublade           |    3 |  37.50% | 100.00% |
| 3    | Ribombee           |    3 |  37.50% | 100.00% |
| 3    | Gigalith           |    3 |  37.50% |  33.33% |
| 6    | Silvally           |    2 |  25.00% |  50.00% |
| 6    | Centiskorch        |    2 |  25.00% |  50.00% |
| 6    | Sandaconda         |    2 |  25.00% |  50.00% |
| 6    | Wishiwashi         |    2 |  25.00% |  50.00% |
| 6    | Archeops           |    2 |  25.00% |  50.00% |
| 6    | Magneton           |    2 |  25.00% |  50.00% |
| 6    | Audino             |    2 |  25.00% |  50.00% |
| 6    | Weezing            |    2 |  25.00% |   0.00% |
| 14   | Ninjask            |    1 |  12.50% | 100.00% |
| 14   | Haunter            |    1 |  12.50% | 100.00% |
| 14   | Regirock           |    1 |  12.50% | 100.00% |
| 14   | Lanturn            |    1 |  12.50% | 100.00% |
| -    | Gourgeist-*        |    1 |  12.50% | 100.00% |
| 14   | Gourgeist-Super    |    1 |  12.50% | 100.00% |
| 14   | Lycanroc           |    1 |  12.50% |   0.00% |
| 14   | Frosmoth           |    1 |  12.50% |   0.00% |
| 14   | Jellicent          |    1 |  12.50% |   0.00% |
| 14   | Ferroseed          |    1 |  12.50% |   0.00% |
| 14   | Thwackey           |    1 |  12.50% |   0.00% |
| 14   | Hitmonlee          |    1 |  12.50% |   0.00% |
| 14   | Comfey             |    1 |  12.50% |   0.00% |
| 14   | Thievul            |    1 |  12.50% |   0.00% |
| 14   | Qwilfish           |    1 |  12.50% |   0.00% |
| 14   | Coalossal          |    1 |  12.50% |   0.00% |
