+ ---- + ---------------------- + ---- + ------- + ------- +
| Rank | Combos of 2            | Use  | Usage % |  Win %  |
+ ---- + ---------------------- + ---- + ------- + ------- +
| 1    | Crobat / Doublade      |    2 |  25.00% | 100.00% |
| 1    | Togekiss / Reuniclus   |    2 |  25.00% |  50.00% |
| 1    | Togekiss / Raikou      |    2 |  25.00% |  50.00% |
| 1    | Flygon / Reuniclus     |    2 |  25.00% |   0.00% |
| 1    | Flygon / Registeel     |    2 |  25.00% |   0.00% |
| 1    | Flygon / Togekiss      |    2 |  25.00% |   0.00% |
| 1    | Registeel / Reuniclus  |    2 |  25.00% |   0.00% |
| 8    | Crobat / Raikou        |    1 |  12.50% | 100.00% |
| 8    | Crobat / Rhyperior     |    1 |  12.50% | 100.00% |
| 8    | Crobat / Togekiss      |    1 |  12.50% | 100.00% |
| 8    | Crobat / Reuniclus     |    1 |  12.50% | 100.00% |
| 8    | Doublade / Raikou      |    1 |  12.50% | 100.00% |
| 8    | Doublade / Rhyperior   |    1 |  12.50% | 100.00% |
| 8    | Doublade / Togekiss    |    1 |  12.50% | 100.00% |
| 8    | Doublade / Reuniclus   |    1 |  12.50% | 100.00% |
| 8    | Raikou / Rhyperior     |    1 |  12.50% | 100.00% |
| 8    | Reuniclus / Raikou     |    1 |  12.50% | 100.00% |
| 8    | Togekiss / Rhyperior   |    1 |  12.50% | 100.00% |
| 8    | Reuniclus / Rhyperior  |    1 |  12.50% | 100.00% |
| 8    | Lucario / Golisopod    |    1 |  12.50% | 100.00% |
| 8    | Lucario / Aerodactyl   |    1 |  12.50% | 100.00% |
| 8    | Suicune / Lucario      |    1 |  12.50% | 100.00% |
| 8    | Lucario / Guzzlord     |    1 |  12.50% | 100.00% |
| 8    | Lucario / Nidoqueen    |    1 |  12.50% | 100.00% |
| 8    | Golisopod / Aerodactyl |    1 |  12.50% | 100.00% |
| 8    | Suicune / Golisopod    |    1 |  12.50% | 100.00% |
| 8    | Golisopod / Guzzlord   |    1 |  12.50% | 100.00% |
| 8    | Golisopod / Nidoqueen  |    1 |  12.50% | 100.00% |
| 8    | Suicune / Aerodactyl   |    1 |  12.50% | 100.00% |
| 8    | Guzzlord / Aerodactyl  |    1 |  12.50% | 100.00% |
| 8    | Nidoqueen / Aerodactyl |    1 |  12.50% | 100.00% |
| 8    | Suicune / Guzzlord     |    1 |  12.50% | 100.00% |
| 8    | Suicune / Nidoqueen    |    1 |  12.50% | 100.00% |
| 8    | Guzzlord / Nidoqueen   |    1 |  12.50% | 100.00% |
| 8    | Crobat / Xurkitree     |    1 |  12.50% | 100.00% |
| 8    | Crobat / Gardevoir     |    1 |  12.50% | 100.00% |
| 8    | Crobat / Registeel     |    1 |  12.50% | 100.00% |
| 8    | Crobat / Nidoqueen     |    1 |  12.50% | 100.00% |
| 8    | Xurkitree / Gardevoir  |    1 |  12.50% | 100.00% |
| 8    | Xurkitree / Registeel  |    1 |  12.50% | 100.00% |
| 8    | Xurkitree / Nidoqueen  |    1 |  12.50% | 100.00% |
| 8    | Doublade / Xurkitree   |    1 |  12.50% | 100.00% |
| 8    | Gardevoir / Registeel  |    1 |  12.50% | 100.00% |
| 8    | Gardevoir / Nidoqueen  |    1 |  12.50% | 100.00% |
| 8    | Doublade / Gardevoir   |    1 |  12.50% | 100.00% |
| 8    | Registeel / Nidoqueen  |    1 |  12.50% | 100.00% |
| 8    | Doublade / Registeel   |    1 |  12.50% | 100.00% |
| 8    | Doublade / Nidoqueen   |    1 |  12.50% | 100.00% |
| 8    | Reuniclus / Metagross  |    1 |  12.50% | 100.00% |
| 8    | Arctovish / Metagross  |    1 |  12.50% | 100.00% |
| 8    | Metagross / Aurorus    |    1 |  12.50% | 100.00% |
| 8    | Xatu / Metagross       |    1 |  12.50% | 100.00% |
| 8    | Ditto / Metagross      |    1 |  12.50% | 100.00% |
| 8    | Arctovish / Reuniclus  |    1 |  12.50% | 100.00% |
| 8    | Reuniclus / Aurorus    |    1 |  12.50% | 100.00% |
| 8    | Xatu / Reuniclus       |    1 |  12.50% | 100.00% |
| 8    | Ditto / Reuniclus      |    1 |  12.50% | 100.00% |
| 8    | Arctovish / Aurorus    |    1 |  12.50% | 100.00% |
| 8    | Arctovish / Xatu       |    1 |  12.50% | 100.00% |
| 8    | Arctovish / Ditto      |    1 |  12.50% | 100.00% |
| 8    | Xatu / Aurorus         |    1 |  12.50% | 100.00% |
| 8    | Ditto / Aurorus        |    1 |  12.50% | 100.00% |
| 8    | Xatu / Ditto           |    1 |  12.50% | 100.00% |
| 8    | Vileplume / Umbreon    |    1 |  12.50% |   0.00% |
| 8    | Flygon / Vileplume     |    1 |  12.50% |   0.00% |
| 8    | Vileplume / Reuniclus  |    1 |  12.50% |   0.00% |
| 8    | Vileplume / Registeel  |    1 |  12.50% |   0.00% |
| 8    | Vileplume / Togekiss   |    1 |  12.50% |   0.00% |
| 8    | Flygon / Umbreon       |    1 |  12.50% |   0.00% |
| 8    | Umbreon / Reuniclus    |    1 |  12.50% |   0.00% |
| 8    | Registeel / Umbreon    |    1 |  12.50% |   0.00% |
| 8    | Togekiss / Umbreon     |    1 |  12.50% |   0.00% |
| 8    | Togekiss / Registeel   |    1 |  12.50% |   0.00% |
| 8    | Arctovish / Abomasnow  |    1 |  12.50% |   0.00% |
| 8    | Flygon / Abomasnow     |    1 |  12.50% |   0.00% |
| 8    | Togekiss / Abomasnow   |    1 |  12.50% |   0.00% |
| 8    | Raikou / Abomasnow     |    1 |  12.50% |   0.00% |
| 8    | Bronzong / Abomasnow   |    1 |  12.50% |   0.00% |
| 8    | Flygon / Arctovish     |    1 |  12.50% |   0.00% |
| 8    | Arctovish / Togekiss   |    1 |  12.50% |   0.00% |
| 8    | Arctovish / Raikou     |    1 |  12.50% |   0.00% |
| 8    | Arctovish / Bronzong   |    1 |  12.50% |   0.00% |
| 8    | Flygon / Raikou        |    1 |  12.50% |   0.00% |
| 8    | Flygon / Bronzong      |    1 |  12.50% |   0.00% |
| 8    | Togekiss / Bronzong    |    1 |  12.50% |   0.00% |
| 8    | Raikou / Bronzong      |    1 |  12.50% |   0.00% |
| 8    | Golisopod / Sharpedo   |    1 |  12.50% |   0.00% |
| 8    | Flygon / Golisopod     |    1 |  12.50% |   0.00% |
| 8    | Golisopod / Toxtricity |    1 |  12.50% |   0.00% |
| 8    | Golisopod / Reuniclus  |    1 |  12.50% |   0.00% |
| 8    | Golisopod / Registeel  |    1 |  12.50% |   0.00% |
| 8    | Flygon / Sharpedo      |    1 |  12.50% |   0.00% |
| 8    | Toxtricity / Sharpedo  |    1 |  12.50% |   0.00% |
| 8    | Reuniclus / Sharpedo   |    1 |  12.50% |   0.00% |
| 8    | Registeel / Sharpedo   |    1 |  12.50% |   0.00% |
| 8    | Flygon / Toxtricity    |    1 |  12.50% |   0.00% |
| 8    | Toxtricity / Reuniclus |    1 |  12.50% |   0.00% |
| 8    | Toxtricity / Registeel |    1 |  12.50% |   0.00% |
| 8    | Politoed / Eldegoss    |    1 |  12.50% |   0.00% |
| 8    | Tornadus / Politoed    |    1 |  12.50% |   0.00% |
| 8    | Kingdra / Politoed     |    1 |  12.50% |   0.00% |
| 8    | Seismitoad / Politoed  |    1 |  12.50% |   0.00% |
| 8    | Mimikyu / Politoed     |    1 |  12.50% |   0.00% |
| 8    | Tornadus / Eldegoss    |    1 |  12.50% |   0.00% |
| 8    | Kingdra / Eldegoss     |    1 |  12.50% |   0.00% |
| 8    | Seismitoad / Eldegoss  |    1 |  12.50% |   0.00% |
| 8    | Mimikyu / Eldegoss     |    1 |  12.50% |   0.00% |
| 8    | Kingdra / Tornadus     |    1 |  12.50% |   0.00% |
| 8    | Seismitoad / Tornadus  |    1 |  12.50% |   0.00% |
| 8    | Tornadus / Mimikyu     |    1 |  12.50% |   0.00% |
| 8    | Kingdra / Seismitoad   |    1 |  12.50% |   0.00% |
| 8    | Kingdra / Mimikyu      |    1 |  12.50% |   0.00% |
