+ ---- + --------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                       | Use  | Usage % |  Win %  |
+ ---- + --------------------------------- + ---- + ------- + ------- +
| 1    | Chansey / Slowbro-Galar           |    2 |  25.00% | 100.00% |
| 1    | Chansey / Scizor                  |    2 |  25.00% | 100.00% |
| 1    | Slowbro-Galar / Scizor            |    2 |  25.00% | 100.00% |
| 1    | Skarmory / Hippowdon              |    2 |  25.00% |  50.00% |
| 1    | Nihilego / Diggersby              |    2 |  25.00% |  50.00% |
| 1    | Tangrowth / Diggersby             |    2 |  25.00% |   0.00% |
| 1    | Tangrowth / Cobalion              |    2 |  25.00% |   0.00% |
| 8    | Crobat / Nidoqueen                |    1 |  12.50% | 100.00% |
| 8    | Nidoqueen / Celesteela            |    1 |  12.50% | 100.00% |
| 8    | Tapu Bulu / Nidoqueen             |    1 |  12.50% | 100.00% |
| 8    | Hydreigon / Nidoqueen             |    1 |  12.50% | 100.00% |
| 8    | Keldeo / Nidoqueen                |    1 |  12.50% | 100.00% |
| 8    | Crobat / Celesteela               |    1 |  12.50% | 100.00% |
| 8    | Crobat / Tapu Bulu                |    1 |  12.50% | 100.00% |
| 8    | Crobat / Hydreigon                |    1 |  12.50% | 100.00% |
| 8    | Crobat / Keldeo                   |    1 |  12.50% | 100.00% |
| 8    | Tapu Bulu / Celesteela            |    1 |  12.50% | 100.00% |
| 8    | Hydreigon / Celesteela            |    1 |  12.50% | 100.00% |
| 8    | Keldeo / Celesteela               |    1 |  12.50% | 100.00% |
| 8    | Tapu Bulu / Hydreigon             |    1 |  12.50% | 100.00% |
| 8    | Tapu Bulu / Keldeo                |    1 |  12.50% | 100.00% |
| 8    | Keldeo / Hydreigon                |    1 |  12.50% | 100.00% |
| 8    | Tapu Bulu / Chansey               |    1 |  12.50% | 100.00% |
| 8    | Skarmory / Chansey                |    1 |  12.50% | 100.00% |
| 8    | Hippowdon / Chansey               |    1 |  12.50% | 100.00% |
| 8    | Chansey / Cofagrigus              |    1 |  12.50% | 100.00% |
| 8    | Tentacruel / Chansey              |    1 |  12.50% | 100.00% |
| 8    | Tapu Bulu / Skarmory              |    1 |  12.50% | 100.00% |
| 8    | Tapu Bulu / Hippowdon             |    1 |  12.50% | 100.00% |
| 8    | Tapu Bulu / Cofagrigus            |    1 |  12.50% | 100.00% |
| 8    | Tapu Bulu / Tentacruel            |    1 |  12.50% | 100.00% |
| 8    | Skarmory / Cofagrigus             |    1 |  12.50% | 100.00% |
| 8    | Tentacruel / Skarmory             |    1 |  12.50% | 100.00% |
| 8    | Hippowdon / Cofagrigus            |    1 |  12.50% | 100.00% |
| 8    | Tentacruel / Hippowdon            |    1 |  12.50% | 100.00% |
| 8    | Tentacruel / Cofagrigus           |    1 |  12.50% | 100.00% |
