+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Chansey            |    3 |  37.50% | 100.00% |
| 1    | Scizor             |    3 |  37.50% |  66.67% |
| 1    | Skarmory           |    3 |  37.50% |  33.33% |
| 1    | Diggersby          |    3 |  37.50% |  33.33% |
| 1    | Tangrowth          |    3 |  37.50% |   0.00% |
| 6    | Tapu Bulu          |    2 |  25.00% | 100.00% |
| 6    | Slowbro-Galar      |    2 |  25.00% | 100.00% |
| 6    | Nidoqueen          |    2 |  25.00% |  50.00% |
| 6    | Hydreigon          |    2 |  25.00% |  50.00% |
| 6    | Keldeo             |    2 |  25.00% |  50.00% |
| 6    | Hippowdon          |    2 |  25.00% |  50.00% |
| 6    | Salamence          |    2 |  25.00% |  50.00% |
| 6    | Nihilego           |    2 |  25.00% |  50.00% |
| 6    | Cobalion           |    2 |  25.00% |   0.00% |
| 15   | Crobat             |    1 |  12.50% | 100.00% |
| 15   | Celesteela         |    1 |  12.50% | 100.00% |
| 15   | Cofagrigus         |    1 |  12.50% | 100.00% |
| 15   | Tentacruel         |    1 |  12.50% | 100.00% |
| 15   | Mandibuzz          |    1 |  12.50% | 100.00% |
| 15   | Zygarde-10%        |    1 |  12.50% | 100.00% |
| 15   | Thundurus-Therian  |    1 |  12.50% | 100.00% |
| 15   | Rotom-Wash         |    1 |  12.50% |   0.00% |
| 15   | Lycanroc-Dusk      |    1 |  12.50% |   0.00% |
| 15   | Dhelmise           |    1 |  12.50% |   0.00% |
| 15   | Primarina          |    1 |  12.50% |   0.00% |
| 15   | Azelf              |    1 |  12.50% |   0.00% |
| 15   | Zarude             |    1 |  12.50% |   0.00% |
| 15   | Slowking           |    1 |  12.50% |   0.00% |
| 15   | Necrozma           |    1 |  12.50% |   0.00% |
