+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Combos of 2             | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Tapu Lele / Urshifu     |    2 |  33.33% |  50.00% |
| 1    | Urshifu / Genesect      |    2 |  33.33% |  50.00% |
| 1    | Necrozma / Urshifu      |    2 |  33.33% |  50.00% |
| 1    | Tapu Lele / Genesect    |    2 |  33.33% |  50.00% |
| 1    | Necrozma / Tapu Lele    |    2 |  33.33% |  50.00% |
| 1    | Necrozma / Genesect     |    2 |  33.33% |  50.00% |
| 1    | Celesteela / Rillaboom  |    2 |  33.33% |   0.00% |
| 8    | Zeraora / Cinderace     |    1 |  16.67% | 100.00% |
| 8    | Zeraora / Rillaboom     |    1 |  16.67% | 100.00% |
| 8    | Zeraora / Torkoal       |    1 |  16.67% | 100.00% |
| 8    | Diancie / Zeraora       |    1 |  16.67% | 100.00% |
| 8    | Porygon2 / Zeraora      |    1 |  16.67% | 100.00% |
| 8    | Rillaboom / Cinderace   |    1 |  16.67% | 100.00% |
| 8    | Cinderace / Torkoal     |    1 |  16.67% | 100.00% |
| 8    | Diancie / Cinderace     |    1 |  16.67% | 100.00% |
| 8    | Porygon2 / Cinderace    |    1 |  16.67% | 100.00% |
| 8    | Rillaboom / Torkoal     |    1 |  16.67% | 100.00% |
| 8    | Diancie / Rillaboom     |    1 |  16.67% | 100.00% |
| 8    | Porygon2 / Rillaboom    |    1 |  16.67% | 100.00% |
| 8    | Diancie / Torkoal       |    1 |  16.67% | 100.00% |
| 8    | Porygon2 / Torkoal      |    1 |  16.67% | 100.00% |
| 8    | Diancie / Porygon2      |    1 |  16.67% | 100.00% |
| 8    | Tapu Fini / Porygon2    |    1 |  16.67% | 100.00% |
| 8    | Tapu Fini / Incineroar  |    1 |  16.67% | 100.00% |
| 8    | Tapu Fini / Zygarde     |    1 |  16.67% | 100.00% |
| 8    | Tapu Fini / Mew         |    1 |  16.67% | 100.00% |
| 8    | Tapu Fini / Lurantis    |    1 |  16.67% | 100.00% |
| 8    | Porygon2 / Incineroar   |    1 |  16.67% | 100.00% |
| 8    | Porygon2 / Zygarde      |    1 |  16.67% | 100.00% |
| 8    | Porygon2 / Mew          |    1 |  16.67% | 100.00% |
| 8    | Porygon2 / Lurantis     |    1 |  16.67% | 100.00% |
| 8    | Zygarde / Incineroar    |    1 |  16.67% | 100.00% |
| 8    | Mew / Incineroar        |    1 |  16.67% | 100.00% |
| 8    | Lurantis / Incineroar   |    1 |  16.67% | 100.00% |
| 8    | Mew / Zygarde           |    1 |  16.67% | 100.00% |
| 8    | Lurantis / Zygarde      |    1 |  16.67% | 100.00% |
| 8    | Mew / Lurantis          |    1 |  16.67% | 100.00% |
| 8    | Tapu Lele / Naganadel   |    1 |  16.67% | 100.00% |
| 8    | Tapu Lele / Pelipper    |    1 |  16.67% | 100.00% |
| 8    | Necrozma / Naganadel    |    1 |  16.67% | 100.00% |
| 8    | Necrozma / Pelipper     |    1 |  16.67% | 100.00% |
| 8    | Genesect / Naganadel    |    1 |  16.67% | 100.00% |
| 8    | Pelipper / Naganadel    |    1 |  16.67% | 100.00% |
| 8    | Urshifu / Naganadel     |    1 |  16.67% | 100.00% |
| 8    | Pelipper / Genesect     |    1 |  16.67% | 100.00% |
| 8    | Urshifu / Pelipper      |    1 |  16.67% | 100.00% |
| 8    | Urshifu / Whimsicott    |    1 |  16.67% |   0.00% |
| 8    | Tapu Lele / Whimsicott  |    1 |  16.67% |   0.00% |
| 8    | Whimsicott / Genesect   |    1 |  16.67% |   0.00% |
| 8    | Heatran / Whimsicott    |    1 |  16.67% |   0.00% |
| 8    | Necrozma / Whimsicott   |    1 |  16.67% |   0.00% |
| 8    | Heatran / Urshifu       |    1 |  16.67% |   0.00% |
| 8    | Heatran / Tapu Lele     |    1 |  16.67% |   0.00% |
| 8    | Heatran / Genesect      |    1 |  16.67% |   0.00% |
| 8    | Heatran / Necrozma      |    1 |  16.67% |   0.00% |
| 8    | Toxapex / Dragapult     |    1 |  16.67% |   0.00% |
| 8    | Dragapult / Incineroar  |    1 |  16.67% |   0.00% |
| 8    | Dragapult / Rillaboom   |    1 |  16.67% |   0.00% |
| 8    | Celesteela / Dragapult  |    1 |  16.67% |   0.00% |
| 8    | Chansey / Dragapult     |    1 |  16.67% |   0.00% |
| 8    | Toxapex / Incineroar    |    1 |  16.67% |   0.00% |
| 8    | Toxapex / Rillaboom     |    1 |  16.67% |   0.00% |
| 8    | Celesteela / Toxapex    |    1 |  16.67% |   0.00% |
| 8    | Chansey / Toxapex       |    1 |  16.67% |   0.00% |
| 8    | Rillaboom / Incineroar  |    1 |  16.67% |   0.00% |
| 8    | Celesteela / Incineroar |    1 |  16.67% |   0.00% |
| 8    | Chansey / Incineroar    |    1 |  16.67% |   0.00% |
| 8    | Chansey / Rillaboom     |    1 |  16.67% |   0.00% |
| 8    | Celesteela / Chansey    |    1 |  16.67% |   0.00% |
| 8    | Spectrier / Rillaboom   |    1 |  16.67% |   0.00% |
| 8    | Tyranitar / Spectrier   |    1 |  16.67% |   0.00% |
| 8    | Spectrier / Dracozolt   |    1 |  16.67% |   0.00% |
| 8    | Mew / Spectrier         |    1 |  16.67% |   0.00% |
| 8    | Celesteela / Spectrier  |    1 |  16.67% |   0.00% |
| 8    | Tyranitar / Rillaboom   |    1 |  16.67% |   0.00% |
| 8    | Rillaboom / Dracozolt   |    1 |  16.67% |   0.00% |
| 8    | Mew / Rillaboom         |    1 |  16.67% |   0.00% |
| 8    | Tyranitar / Dracozolt   |    1 |  16.67% |   0.00% |
| 8    | Tyranitar / Mew         |    1 |  16.67% |   0.00% |
| 8    | Tyranitar / Celesteela  |    1 |  16.67% |   0.00% |
| 8    | Mew / Dracozolt         |    1 |  16.67% |   0.00% |
| 8    | Celesteela / Dracozolt  |    1 |  16.67% |   0.00% |
| 8    | Celesteela / Mew        |    1 |  16.67% |   0.00% |

+ ---- + ----------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 3                         | Use  | Usage % |  Win %  |
+ ---- + ----------------------------------- + ---- + ------- + ------- +
| 1    | Tapu Lele / Urshifu / Genesect      |    2 |  33.33% |  50.00% |
| 1    | Necrozma / Tapu Lele / Urshifu      |    2 |  33.33% |  50.00% |
| 1    | Necrozma / Urshifu / Genesect       |    2 |  33.33% |  50.00% |
| 1    | Necrozma / Tapu Lele / Genesect     |    2 |  33.33% |  50.00% |
| 5    | Zeraora / Rillaboom / Cinderace     |    1 |  16.67% | 100.00% |
| 5    | Zeraora / Cinderace / Torkoal       |    1 |  16.67% | 100.00% |
| 5    | Diancie / Zeraora / Cinderace       |    1 |  16.67% | 100.00% |
| 5    | Porygon2 / Zeraora / Cinderace      |    1 |  16.67% | 100.00% |
| 5    | Zeraora / Rillaboom / Torkoal       |    1 |  16.67% | 100.00% |
| 5    | Diancie / Zeraora / Rillaboom       |    1 |  16.67% | 100.00% |
| 5    | Porygon2 / Zeraora / Rillaboom      |    1 |  16.67% | 100.00% |
| 5    | Diancie / Zeraora / Torkoal         |    1 |  16.67% | 100.00% |
| 5    | Porygon2 / Zeraora / Torkoal        |    1 |  16.67% | 100.00% |
| 5    | Diancie / Zeraora / Porygon2        |    1 |  16.67% | 100.00% |
| 5    | Rillaboom / Cinderace / Torkoal     |    1 |  16.67% | 100.00% |
| 5    | Diancie / Rillaboom / Cinderace     |    1 |  16.67% | 100.00% |
| 5    | Porygon2 / Rillaboom / Cinderace    |    1 |  16.67% | 100.00% |
| 5    | Diancie / Cinderace / Torkoal       |    1 |  16.67% | 100.00% |
| 5    | Porygon2 / Cinderace / Torkoal      |    1 |  16.67% | 100.00% |
| 5    | Diancie / Cinderace / Porygon2      |    1 |  16.67% | 100.00% |
| 5    | Diancie / Rillaboom / Torkoal       |    1 |  16.67% | 100.00% |
| 5    | Porygon2 / Rillaboom / Torkoal      |    1 |  16.67% | 100.00% |
| 5    | Diancie / Rillaboom / Porygon2      |    1 |  16.67% | 100.00% |
| 5    | Diancie / Porygon2 / Torkoal        |    1 |  16.67% | 100.00% |
| 5    | Incineroar / Tapu Fini / Porygon2   |    1 |  16.67% | 100.00% |
| 5    | Tapu Fini / Zygarde / Porygon2      |    1 |  16.67% | 100.00% |
| 5    | Tapu Fini / Mew / Porygon2          |    1 |  16.67% | 100.00% |
| 5    | Tapu Fini / Lurantis / Porygon2     |    1 |  16.67% | 100.00% |
| 5    | Tapu Fini / Zygarde / Incineroar    |    1 |  16.67% | 100.00% |
| 5    | Tapu Fini / Mew / Incineroar        |    1 |  16.67% | 100.00% |
| 5    | Tapu Fini / Lurantis / Incineroar   |    1 |  16.67% | 100.00% |
| 5    | Tapu Fini / Mew / Zygarde           |    1 |  16.67% | 100.00% |
| 5    | Tapu Fini / Lurantis / Zygarde      |    1 |  16.67% | 100.00% |
| 5    | Tapu Fini / Mew / Lurantis          |    1 |  16.67% | 100.00% |
| 5    | Porygon2 / Zygarde / Incineroar     |    1 |  16.67% | 100.00% |
| 5    | Porygon2 / Mew / Incineroar         |    1 |  16.67% | 100.00% |
| 5    | Porygon2 / Lurantis / Incineroar    |    1 |  16.67% | 100.00% |
| 5    | Porygon2 / Mew / Zygarde            |    1 |  16.67% | 100.00% |
| 5    | Porygon2 / Lurantis / Zygarde       |    1 |  16.67% | 100.00% |
| 5    | Porygon2 / Mew / Lurantis           |    1 |  16.67% | 100.00% |
| 5    | Zygarde / Mew / Incineroar          |    1 |  16.67% | 100.00% |
| 5    | Zygarde / Lurantis / Incineroar     |    1 |  16.67% | 100.00% |
