+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Rillaboom          |    3 |  50.00% |  33.33% |
| 2    | Porygon2           |    2 |  33.33% | 100.00% |
| 2    | Urshifu            |    2 |  33.33% |  50.00% |
| 2    | Tapu Lele          |    2 |  33.33% |  50.00% |
| 2    | Genesect           |    2 |  33.33% |  50.00% |
| 2    | Necrozma           |    2 |  33.33% |  50.00% |
| 2    | Incineroar         |    2 |  33.33% |  50.00% |
| 2    | Mew                |    2 |  33.33% |  50.00% |
| 2    | Celesteela         |    2 |  33.33% |   0.00% |
| 10   | Zeraora            |    1 |  16.67% | 100.00% |
| 10   | Cinderace          |    1 |  16.67% | 100.00% |
| 10   | Torkoal            |    1 |  16.67% | 100.00% |
| 10   | Diancie            |    1 |  16.67% | 100.00% |
| 10   | Tapu Fini          |    1 |  16.67% | 100.00% |
| 10   | Zygarde            |    1 |  16.67% | 100.00% |
| 10   | Lurantis           |    1 |  16.67% | 100.00% |
| 10   | Naganadel          |    1 |  16.67% | 100.00% |
| 10   | Pelipper           |    1 |  16.67% | 100.00% |
| 10   | Whimsicott         |    1 |  16.67% |   0.00% |
| 10   | Heatran            |    1 |  16.67% |   0.00% |
| 10   | Dragapult          |    1 |  16.67% |   0.00% |
| 10   | Toxapex            |    1 |  16.67% |   0.00% |
| 10   | Chansey            |    1 |  16.67% |   0.00% |
| 10   | Spectrier          |    1 |  16.67% |   0.00% |
| 10   | Tyranitar          |    1 |  16.67% |   0.00% |
| 10   | Dracozolt          |    1 |  16.67% |   0.00% |
