+ ---- + -------------------- + ---- + ------- + ------- +
| Rank | Combos of 2          | Use  | Usage % |  Win %  |
+ ---- + -------------------- + ---- + ------- + ------- +
| 1    | Vullaby / Mienfoo    |    7 |  87.50% |  42.86% |
| 2    | Vullaby / Koffing    |    3 |  37.50% | 100.00% |
| 2    | Vullaby / Porygon    |    3 |  37.50% |  33.33% |
| 2    | Mienfoo / Pawniard   |    3 |  37.50% |  33.33% |
| 2    | Vullaby / Pawniard   |    3 |  37.50% |  33.33% |
| 2    | Mienfoo / Diglett    |    3 |  37.50% |  33.33% |
| 2    | Mienfoo / Mareanie   |    3 |  37.50% |  33.33% |
| 2    | Vullaby / Diglett    |    3 |  37.50% |  33.33% |
| 2    | Diglett / Mareanie   |    3 |  37.50% |  33.33% |
| 2    | Vullaby / Mareanie   |    3 |  37.50% |  33.33% |
| 11   | Mienfoo / Koffing    |    2 |  25.00% | 100.00% |
| 11   | Omanyte / Mienfoo    |    2 |  25.00% | 100.00% |
| 11   | Vullaby / Omanyte    |    2 |  25.00% | 100.00% |
| 11   | Omanyte / Koffing    |    2 |  25.00% | 100.00% |
| 11   | Vullaby / Staryu     |    2 |  25.00% |  50.00% |
| 11   | Vullaby / Ferroseed  |    2 |  25.00% |  50.00% |
| 11   | Mienfoo / Ferroseed  |    2 |  25.00% |  50.00% |
| 11   | Vullaby / Mudbray    |    2 |  25.00% |  50.00% |
| 11   | Mudbray / Mienfoo    |    2 |  25.00% |  50.00% |
| 11   | Pawniard / Diglett   |    2 |  25.00% |  50.00% |
| 11   | Pawniard / Mareanie  |    2 |  25.00% |  50.00% |
| 11   | Mienfoo / Porygon    |    2 |  25.00% |   0.00% |
| 23   | Onix / Staryu        |    1 |  12.50% | 100.00% |
| 23   | Onix / Grookey       |    1 |  12.50% | 100.00% |
| 23   | Onix / Porygon       |    1 |  12.50% | 100.00% |
| 23   | Onix / Koffing       |    1 |  12.50% | 100.00% |
| 23   | Vullaby / Onix       |    1 |  12.50% | 100.00% |
