+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Vullaby            |    8 | 100.00% |  50.00% |
| 2    | Mienfoo            |    7 |  87.50% |  42.86% |
| 3    | Koffing            |    3 |  37.50% | 100.00% |
| 3    | Porygon            |    3 |  37.50% |  33.33% |
| 3    | Pawniard           |    3 |  37.50% |  33.33% |
| 3    | Diglett            |    3 |  37.50% |  33.33% |
| 3    | Mareanie           |    3 |  37.50% |  33.33% |
| 8    | Omanyte            |    2 |  25.00% | 100.00% |
| 8    | Staryu             |    2 |  25.00% |  50.00% |
| 8    | Ferroseed          |    2 |  25.00% |  50.00% |
| 8    | Mudbray            |    2 |  25.00% |  50.00% |
| 12   | Onix               |    1 |  12.50% | 100.00% |
| 12   | Grookey            |    1 |  12.50% | 100.00% |
| 12   | Vulpix             |    1 |  12.50% | 100.00% |
| 12   | Carvanha           |    1 |  12.50% | 100.00% |
| 12   | Abra               |    1 |  12.50% | 100.00% |
| 12   | Larvesta           |    1 |  12.50% |   0.00% |
| 12   | Foongus            |    1 |  12.50% |   0.00% |
| 12   | Trapinch           |    1 |  12.50% |   0.00% |
| 12   | Spritzee           |    1 |  12.50% |   0.00% |
| 12   | Ponyta             |    1 |  12.50% |   0.00% |
