+ ---- + ------------------------------------ + ---- + ------- + ------- +
| Rank | Combos of 2                          | Use  | Usage % |  Win %  |
+ ---- + ------------------------------------ + ---- + ------- + ------- +
| 1    | Nidoking / Landorus-Therian          |    2 |  25.00% |   0.00% |
| 1    | Mamoswine / Landorus-Therian         |    2 |  25.00% |   0.00% |
| 1    | Nidoking / Mamoswine                 |    2 |  25.00% |   0.00% |
| 4    | Blacephalon / Aegislash              |    1 |  12.50% | 100.00% |
| 4    | Aegislash / Spectrier                |    1 |  12.50% | 100.00% |
| 4    | Dragapult / Aegislash                |    1 |  12.50% | 100.00% |
| 4    | Froslass / Aegislash                 |    1 |  12.50% | 100.00% |
| 4    | Mimikyu / Aegislash                  |    1 |  12.50% | 100.00% |
| 4    | Blacephalon / Spectrier              |    1 |  12.50% | 100.00% |
| 4    | Blacephalon / Dragapult              |    1 |  12.50% | 100.00% |
| 4    | Froslass / Blacephalon               |    1 |  12.50% | 100.00% |
| 4    | Mimikyu / Blacephalon                |    1 |  12.50% | 100.00% |
| 4    | Dragapult / Spectrier                |    1 |  12.50% | 100.00% |
| 4    | Froslass / Spectrier                 |    1 |  12.50% | 100.00% |
| 4    | Mimikyu / Spectrier                  |    1 |  12.50% | 100.00% |
| 4    | Froslass / Dragapult                 |    1 |  12.50% | 100.00% |
| 4    | Mimikyu / Dragapult                  |    1 |  12.50% | 100.00% |
| 4    | Froslass / Mimikyu                   |    1 |  12.50% | 100.00% |
| 4    | Jirachi / Melmetal                   |    1 |  12.50% | 100.00% |
| 4    | Jirachi / Skarmory                   |    1 |  12.50% | 100.00% |
| 4    | Heatran / Jirachi                    |    1 |  12.50% | 100.00% |
| 4    | Jirachi / Aegislash                  |    1 |  12.50% | 100.00% |
| 4    | Jirachi / Excadrill                  |    1 |  12.50% | 100.00% |
| 4    | Melmetal / Skarmory                  |    1 |  12.50% | 100.00% |
| 4    | Heatran / Melmetal                   |    1 |  12.50% | 100.00% |
| 4    | Melmetal / Aegislash                 |    1 |  12.50% | 100.00% |
| 4    | Melmetal / Excadrill                 |    1 |  12.50% | 100.00% |
| 4    | Heatran / Skarmory                   |    1 |  12.50% | 100.00% |
| 4    | Aegislash / Skarmory                 |    1 |  12.50% | 100.00% |
