+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Landorus-Therian   |    3 |  37.50% |  33.33% |
| 2    | Aegislash          |    2 |  25.00% | 100.00% |
| 2    | Dragapult          |    2 |  25.00% | 100.00% |
| 2    | Kyurem             |    2 |  25.00% |  50.00% |
| 2    | Excadrill          |    2 |  25.00% |  50.00% |
| 2    | Garchomp           |    2 |  25.00% |  50.00% |
| 2    | Nidoking           |    2 |  25.00% |   0.00% |
| 2    | Mamoswine          |    2 |  25.00% |   0.00% |
| 9    | Blacephalon        |    1 |  12.50% | 100.00% |
| 9    | Spectrier          |    1 |  12.50% | 100.00% |
| 9    | Froslass           |    1 |  12.50% | 100.00% |
| 9    | Mimikyu            |    1 |  12.50% | 100.00% |
| 9    | Jirachi            |    1 |  12.50% | 100.00% |
| 9    | Melmetal           |    1 |  12.50% | 100.00% |
| 9    | Skarmory           |    1 |  12.50% | 100.00% |
| 9    | Heatran            |    1 |  12.50% | 100.00% |
| 9    | Celesteela         |    1 |  12.50% | 100.00% |
| 9    | Dragonite          |    1 |  12.50% | 100.00% |
| 9    | Moltres-Galar      |    1 |  12.50% | 100.00% |
| 9    | Thundurus-Therian  |    1 |  12.50% | 100.00% |
| 9    | Zapdos-Galar       |    1 |  12.50% | 100.00% |
| 9    | Dragalge           |    1 |  12.50% | 100.00% |
| 9    | Hydreigon          |    1 |  12.50% | 100.00% |
| 9    | Latias             |    1 |  12.50% | 100.00% |
| 9    | Raichu-Alola       |    1 |  12.50% |   0.00% |
| 9    | Zeraora            |    1 |  12.50% |   0.00% |
| 9    | Magnezone          |    1 |  12.50% |   0.00% |
| 9    | Zapdos             |    1 |  12.50% |   0.00% |
| 9    | Rotom-Wash         |    1 |  12.50% |   0.00% |
| 9    | Tapu Koko          |    1 |  12.50% |   0.00% |
| 9    | Weavile            |    1 |  12.50% |   0.00% |
| 9    | Ninetales-Alola    |    1 |  12.50% |   0.00% |
| 9    | Darmanitan-Galar   |    1 |  12.50% |   0.00% |
| 9    | Piloswine          |    1 |  12.50% |   0.00% |
| 9    | Cloyster           |    1 |  12.50% |   0.00% |
| 9    | Hippowdon          |    1 |  12.50% |   0.00% |
| 9    | Seismitoad         |    1 |  12.50% |   0.00% |
| 9    | Steelix            |    1 |  12.50% |   0.00% |
| 9    | Gastrodon          |    1 |  12.50% |   0.00% |
