+ ---- + ---------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                  | Use  | Usage % |  Win %  |
+ ---- + ---------------------------- + ---- + ------- + ------- +
| 1    | Silvally / Aerodactyl        |    3 |  37.50% |  66.67% |
| 2    | Silvally / Decidueye         |    2 |  25.00% | 100.00% |
| 2    | Decidueye / Aerodactyl       |    2 |  25.00% | 100.00% |
| 2    | Guzzlord / Stakataka         |    2 |  25.00% | 100.00% |
| 2    | Mudsdale / Sylveon           |    2 |  25.00% |  50.00% |
| 2    | Rotom-Mow / Gastrodon        |    2 |  25.00% |  50.00% |
| 2    | Scrafty / Aerodactyl         |    2 |  25.00% |  50.00% |
| 2    | Salazzle / Aerodactyl        |    2 |  25.00% |  50.00% |
| 2    | Scrafty / Salazzle           |    2 |  25.00% |  50.00% |
| 2    | Escavalier / Rotom-Mow       |    2 |  25.00% |   0.00% |
| 11   | Decidueye / Heliolisk        |    1 |  12.50% | 100.00% |
| 11   | Sylveon / Heliolisk          |    1 |  12.50% | 100.00% |
| 11   | Mudsdale / Heliolisk         |    1 |  12.50% | 100.00% |
| 11   | Silvally / Heliolisk         |    1 |  12.50% | 100.00% |
| 11   | Heliolisk / Aerodactyl       |    1 |  12.50% | 100.00% |
| 11   | Decidueye / Sylveon          |    1 |  12.50% | 100.00% |
| 11   | Mudsdale / Decidueye         |    1 |  12.50% | 100.00% |
| 11   | Silvally / Sylveon           |    1 |  12.50% | 100.00% |
| 11   | Sylveon / Aerodactyl         |    1 |  12.50% | 100.00% |
| 11   | Mudsdale / Silvally          |    1 |  12.50% | 100.00% |
| 11   | Mudsdale / Aerodactyl        |    1 |  12.50% | 100.00% |
| 11   | Silvally / Guzzlord          |    1 |  12.50% | 100.00% |
| 11   | Guzzlord / Gastrodon         |    1 |  12.50% | 100.00% |
| 11   | Guzzlord / Vileplume         |    1 |  12.50% | 100.00% |
| 11   | Guzzlord / Rotom-Mow         |    1 |  12.50% | 100.00% |
| 11   | Silvally / Stakataka         |    1 |  12.50% | 100.00% |
| 11   | Stakataka / Gastrodon        |    1 |  12.50% | 100.00% |
| 11   | Vileplume / Stakataka        |    1 |  12.50% | 100.00% |
| 11   | Stakataka / Rotom-Mow        |    1 |  12.50% | 100.00% |
| 11   | Silvally / Gastrodon         |    1 |  12.50% | 100.00% |
| 11   | Silvally / Vileplume         |    1 |  12.50% | 100.00% |
| 11   | Silvally / Rotom-Mow         |    1 |  12.50% | 100.00% |
| 11   | Vileplume / Gastrodon        |    1 |  12.50% | 100.00% |
| 11   | Vileplume / Rotom-Mow        |    1 |  12.50% | 100.00% |
| 11   | Guzzlord / Articuno          |    1 |  12.50% | 100.00% |
| 11   | Stakataka / Articuno         |    1 |  12.50% | 100.00% |
| 11   | Garbodor / Articuno          |    1 |  12.50% | 100.00% |
| 11   | Xatu / Articuno              |    1 |  12.50% | 100.00% |
| 11   | Quagsire / Articuno          |    1 |  12.50% | 100.00% |
| 11   | Guzzlord / Garbodor          |    1 |  12.50% | 100.00% |
| 11   | Guzzlord / Xatu              |    1 |  12.50% | 100.00% |
| 11   | Quagsire / Guzzlord          |    1 |  12.50% | 100.00% |
| 11   | Garbodor / Stakataka         |    1 |  12.50% | 100.00% |
| 11   | Xatu / Stakataka             |    1 |  12.50% | 100.00% |
| 11   | Quagsire / Stakataka         |    1 |  12.50% | 100.00% |
| 11   | Xatu / Garbodor              |    1 |  12.50% | 100.00% |
| 11   | Quagsire / Garbodor          |    1 |  12.50% | 100.00% |
| 11   | Quagsire / Xatu              |    1 |  12.50% | 100.00% |
| 11   | Froslass / Decidueye         |    1 |  12.50% | 100.00% |
| 11   | Froslass / Silvally          |    1 |  12.50% | 100.00% |
| 11   | Froslass / Aerodactyl        |    1 |  12.50% | 100.00% |
| 11   | Froslass / Scrafty           |    1 |  12.50% | 100.00% |
