+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Silvally           |    4 |  50.00% |  75.00% |
| 1    | Aerodactyl         |    4 |  50.00% |  50.00% |
| 3    | Rotom-Mow          |    3 |  37.50% |  33.33% |
| 4    | Decidueye          |    2 |  25.00% | 100.00% |
| 4    | Guzzlord           |    2 |  25.00% | 100.00% |
| 4    | Stakataka          |    2 |  25.00% | 100.00% |
| 4    | Xatu               |    2 |  25.00% |  50.00% |
| 4    | Sylveon            |    2 |  25.00% |  50.00% |
| 4    | Mudsdale           |    2 |  25.00% |  50.00% |
| 4    | Gastrodon          |    2 |  25.00% |  50.00% |
| 4    | Scrafty            |    2 |  25.00% |  50.00% |
| 4    | Salazzle           |    2 |  25.00% |  50.00% |
| 4    | Weezing            |    2 |  25.00% |   0.00% |
| 4    | Escavalier         |    2 |  25.00% |   0.00% |
| 15   | Heliolisk          |    1 |  12.50% | 100.00% |
| 15   | Vileplume          |    1 |  12.50% | 100.00% |
| 15   | Articuno           |    1 |  12.50% | 100.00% |
| 15   | Garbodor           |    1 |  12.50% | 100.00% |
| 15   | Quagsire           |    1 |  12.50% | 100.00% |
| 15   | Froslass           |    1 |  12.50% | 100.00% |
| 15   | Thwackey           |    1 |  12.50% |   0.00% |
| 15   | Dhelmise           |    1 |  12.50% |   0.00% |
| 15   | Diancie            |    1 |  12.50% |   0.00% |
| 15   | Golurk             |    1 |  12.50% |   0.00% |
| 15   | Uxie               |    1 |  12.50% |   0.00% |
| 15   | Snorlax            |    1 |  12.50% |   0.00% |
| 15   | Exeggutor-Alola    |    1 |  12.50% |   0.00% |
| 15   | Copperajah         |    1 |  12.50% |   0.00% |
| 15   | Vaporeon           |    1 |  12.50% |   0.00% |
