+ ---- + ----------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                         | Use  | Usage % |  Win %  |
+ ---- + ----------------------------------- + ---- + ------- + ------- +
| 1    | Tyranitar / Excadrill               |    8 |  25.00% |  75.00% |
| 1    | Toxapex / Corviknight               |    8 |  25.00% |  50.00% |
| 3    | Tornadus-Therian / Clefable         |    7 |  21.88% |  28.57% |
| 4    | Tyranitar / Ferrothorn              |    6 |  18.75% |  83.33% |
| 4    | Excadrill / Ferrothorn              |    6 |  18.75% |  83.33% |
| 6    | Zapdos / Ferrothorn                 |    5 |  15.62% |  80.00% |
| 6    | Slowking-Galar / Landorus-Therian   |    5 |  15.62% |  60.00% |
| 6    | Clefable / Slowking                 |    5 |  15.62% |  40.00% |
| 6    | Hippowdon / Clefable                |    5 |  15.62% |   0.00% |
| 10   | Tornadus-Therian / Ferrothorn       |    4 |  12.50% |  75.00% |
| 10   | Tyranitar / Tornadus-Therian        |    4 |  12.50% |  50.00% |
| 10   | Excadrill / Tornadus-Therian        |    4 |  12.50% |  50.00% |
| 10   | Clefable / Dragapult                |    4 |  12.50% |  50.00% |
| 10   | Clefable / Ferrothorn               |    4 |  12.50% |  50.00% |
| 10   | Toxapex / Clefable                  |    4 |  12.50% |  50.00% |
| 10   | Corviknight / Clefable              |    4 |  12.50% |  50.00% |
| 10   | Toxapex / Slowking                  |    4 |  12.50% |  50.00% |
| 10   | Corviknight / Slowking              |    4 |  12.50% |  50.00% |
| 10   | Toxapex / Landorus-Therian          |    4 |  12.50% |  50.00% |
| 10   | Urshifu / Landorus-Therian          |    4 |  12.50% |  50.00% |
| 10   | Heatran / Clefable                  |    4 |  12.50% |  25.00% |
| 10   | Tornadus-Therian / Slowbro          |    4 |  12.50% |  25.00% |
| 10   | Heatran / Landorus-Therian          |    4 |  12.50% |  25.00% |
| 10   | Blacephalon / Landorus-Therian      |    4 |  12.50% |  25.00% |
| 10   | Tornadus-Therian / Slowking         |    4 |  12.50% |   0.00% |
| 10   | Hippowdon / Tornadus-Therian        |    4 |  12.50% |   0.00% |
| 27   | Slowking-Galar / Ferrothorn         |    3 |   9.38% | 100.00% |
| 27   | Clefable / Gastrodon                |    3 |   9.38% | 100.00% |
| 27   | Tyranitar / Rotom-Wash              |    3 |   9.38% | 100.00% |
| 27   | Rotom-Wash / Excadrill              |    3 |   9.38% | 100.00% |
| 27   | Tyranitar / Tapu Lele               |    3 |   9.38% | 100.00% |
| 27   | Tyranitar / Zapdos                  |    3 |   9.38% | 100.00% |
| 27   | Excadrill / Zapdos                  |    3 |   9.38% | 100.00% |
| 27   | Urshifu / Ferrothorn                |    3 |   9.38% | 100.00% |
| 27   | Dragapult / Ferrothorn              |    3 |   9.38% |  66.67% |
| 27   | Slowking-Galar / Dragapult          |    3 |   9.38% |  66.67% |
| 27   | Rotom-Wash / Clefable               |    3 |   9.38% |  66.67% |
| 27   | Corviknight / Landorus-Therian      |    3 |   9.38% |  66.67% |
| 27   | Tapu Lele / Landorus-Therian        |    3 |   9.38% |  66.67% |
| 27   | Tyranitar / Slowbro                 |    3 |   9.38% |  66.67% |
| 27   | Excadrill / Slowbro                 |    3 |   9.38% |  66.67% |
| 27   | Ferrothorn / Slowbro                |    3 |   9.38% |  66.67% |
| 27   | Slowking-Galar / Urshifu            |    3 |   9.38% |  66.67% |
| 27   | Ferrothorn / Landorus-Therian       |    3 |   9.38% |  66.67% |
| 27   | Clefable / Dragonite                |    3 |   9.38% |  66.67% |
| 27   | Tyranitar / Buzzwole                |    3 |   9.38% |  33.33% |
| 27   | Excadrill / Buzzwole                |    3 |   9.38% |  33.33% |
| 27   | Slowking-Galar / Clefable           |    3 |   9.38% |  33.33% |
