+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Tornadus-Therian        |    5 |  15.62% |  40.00% |
| 2    | Clefable                |    4 |  12.50% |  75.00% |
| 3    | Toxapex                 |    3 |   9.38% |  66.67% |
| 4    | Zapdos                  |    2 |   6.25% | 100.00% |
| 4    | Slowking-Galar          |    2 |   6.25% | 100.00% |
| 4    | Slowking                |    2 |   6.25% |  50.00% |
| 4    | Weavile                 |    2 |   6.25% |   0.00% |
| 4    | Rillaboom               |    2 |   6.25% |   0.00% |
| 9    | Nidoking                |    1 |   3.12% | 100.00% |
| 9    | Ninetales-Alola         |    1 |   3.12% | 100.00% |
| 9    | Tapu Lele               |    1 |   3.12% | 100.00% |
| 9    | Urshifu                 |    1 |   3.12% | 100.00% |
| 9    | Melmetal                |    1 |   3.12% |   0.00% |
| 9    | Landorus-Therian        |    1 |   3.12% |   0.00% |
| 9    | Zeraora                 |    1 |   3.12% |   0.00% |
| 9    | Hippowdon               |    1 |   3.12% |   0.00% |
| 9    | Rotom-Wash              |    1 |   3.12% |   0.00% |
| 9    | Heatran                 |    1 |   3.12% |   0.00% |
