+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Clefable           |   15 |  46.88% |  40.00% |
| 2    | Tornadus-Therian   |   13 |  40.62% |  38.46% |
| 3    | Landorus-Therian   |   12 |  37.50% |  41.67% |
| 4    | Ferrothorn         |   11 |  34.38% |  72.73% |
| 5    | Tyranitar          |    9 |  28.12% |  77.78% |
| 5    | Corviknight        |    9 |  28.12% |  55.56% |
| 5    | Toxapex            |    9 |  28.12% |  44.44% |
| 8    | Excadrill          |    8 |  25.00% |  75.00% |
| 9    | Zapdos             |    7 |  21.88% |  71.43% |
| 9    | Slowking-Galar     |    7 |  21.88% |  57.14% |
| 9    | Heatran            |    7 |  21.88% |  28.57% |
| 12   | Slowking           |    6 |  18.75% |  33.33% |
| 12   | Hippowdon          |    6 |  18.75% |   0.00% |
| 14   | Tapu Lele          |    5 |  15.62% |  80.00% |
| 14   | Dragapult          |    5 |  15.62% |  60.00% |
| 14   | Urshifu            |    5 |  15.62% |  60.00% |
| 14   | Slowbro            |    5 |  15.62% |  40.00% |
| 18   | Rotom-Wash         |    4 |  12.50% |  75.00% |
| 18   | Blacephalon        |    4 |  12.50% |  25.00% |
| 18   | Weavile            |    4 |  12.50% |  25.00% |
| 18   | Rillaboom          |    4 |  12.50% |   0.00% |
| 22   | Gastrodon          |    3 |   9.38% | 100.00% |
| 22   | Tapu Koko          |    3 |   9.38% |  66.67% |
| 22   | Nidoking           |    3 |   9.38% |  66.67% |
| 22   | Dragonite          |    3 |   9.38% |  66.67% |
| 22   | Buzzwole           |    3 |   9.38% |  33.33% |
| 22   | Melmetal           |    3 |   9.38% |  33.33% |
| 28   | Garchomp           |    2 |   6.25% | 100.00% |
| 28   | Tapu Fini          |    2 |   6.25% | 100.00% |
| 28   | Skarmory           |    2 |   6.25% |  50.00% |
| 28   | Blissey            |    2 |   6.25% |   0.00% |
| 32   | Ninetales-Alola    |    1 |   3.12% | 100.00% |
| 32   | Arctozolt          |    1 |   3.12% | 100.00% |
| 32   | Mandibuzz          |    1 |   3.12% | 100.00% |
| 32   | Magnezone          |    1 |   3.12% | 100.00% |
| 32   | Volcanion          |    1 |   3.12% |   0.00% |
| 32   | Zeraora            |    1 |   3.12% |   0.00% |
| 32   | Xatu               |    1 |   3.12% |   0.00% |
| 32   | Scizor             |    1 |   3.12% |   0.00% |
| 32   | Moltres-Galar      |    1 |   3.12% |   0.00% |
| 32   | Mew                |    1 |   3.12% |   0.00% |
| 32   | Kartana            |    1 |   3.12% |   0.00% |
