+ ---- + -------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                | Use  | Usage % |  Win %  |
+ ---- + -------------------------- + ---- + ------- + ------- +
| 1    | Eldegoss / Ribombee        |    2 |  33.33% | 100.00% |
| 1    | Wishiwashi / Thievul       |    2 |  33.33% |  50.00% |
| 1    | Silvally / Archeops        |    2 |  33.33% |  50.00% |
| 1    | Archeops / Thievul         |    2 |  33.33% |  50.00% |
| 1    | Silvally / Thievul         |    2 |  33.33% |  50.00% |
| 1    | Sandslash / Ribombee       |    2 |  33.33% |  50.00% |
| 1    | Gigalith / Ribombee        |    2 |  33.33% |  50.00% |
| 8    | Eldegoss / Lanturn         |    1 |  16.67% | 100.00% |
| 8    | Eldegoss / Sandaconda      |    1 |  16.67% | 100.00% |
| 8    | Eldegoss / Perrserker      |    1 |  16.67% | 100.00% |
| 8    | Eldegoss / Gallade         |    1 |  16.67% | 100.00% |
| 8    | Sandaconda / Lanturn       |    1 |  16.67% | 100.00% |
| 8    | Perrserker / Lanturn       |    1 |  16.67% | 100.00% |
| 8    | Gallade / Lanturn          |    1 |  16.67% | 100.00% |
| 8    | Ribombee / Lanturn         |    1 |  16.67% | 100.00% |
| 8    | Sandaconda / Perrserker    |    1 |  16.67% | 100.00% |
| 8    | Gallade / Sandaconda       |    1 |  16.67% | 100.00% |
| 8    | Sandaconda / Ribombee      |    1 |  16.67% | 100.00% |
| 8    | Gallade / Perrserker       |    1 |  16.67% | 100.00% |
| 8    | Ribombee / Perrserker      |    1 |  16.67% | 100.00% |
| 8    | Gallade / Ribombee         |    1 |  16.67% | 100.00% |
| 8    | Wishiwashi / Archeops      |    1 |  16.67% | 100.00% |
| 8    | Sandslash / Archeops       |    1 |  16.67% | 100.00% |
| 8    | Archeops / Ribombee        |    1 |  16.67% | 100.00% |
| 8    | Wishiwashi / Silvally      |    1 |  16.67% | 100.00% |
| 8    | Silvally / Sandslash       |    1 |  16.67% | 100.00% |
| 8    | Silvally / Ribombee        |    1 |  16.67% | 100.00% |
| 8    | Wishiwashi / Sandslash     |    1 |  16.67% | 100.00% |
| 8    | Wishiwashi / Ribombee      |    1 |  16.67% | 100.00% |
| 8    | Sandslash / Thievul        |    1 |  16.67% | 100.00% |
| 8    | Thievul / Ribombee         |    1 |  16.67% | 100.00% |
| 8    | Eldegoss / Audino          |    1 |  16.67% | 100.00% |
| 8    | Eldegoss / Centiskorch     |    1 |  16.67% | 100.00% |
| 8    | Eldegoss / Gigalith        |    1 |  16.67% | 100.00% |
| 8    | Eldegoss / Doublade        |    1 |  16.67% | 100.00% |
| 8    | Centiskorch / Audino       |    1 |  16.67% | 100.00% |
| 8    | Gigalith / Audino          |    1 |  16.67% | 100.00% |
| 8    | Doublade / Audino          |    1 |  16.67% | 100.00% |
| 8    | Audino / Ribombee          |    1 |  16.67% | 100.00% |
| 8    | Centiskorch / Gigalith     |    1 |  16.67% | 100.00% |
| 8    | Centiskorch / Doublade     |    1 |  16.67% | 100.00% |
| 8    | Centiskorch / Ribombee     |    1 |  16.67% | 100.00% |
| 8    | Doublade / Gigalith        |    1 |  16.67% | 100.00% |
| 8    | Doublade / Ribombee        |    1 |  16.67% | 100.00% |
| 8    | Thievul / Aggron           |    1 |  16.67% |   0.00% |
| 8    | Thievul / Whimsicott       |    1 |  16.67% |   0.00% |
| 8    | Weezing / Thievul          |    1 |  16.67% |   0.00% |
| 8    | Ninjask / Thievul          |    1 |  16.67% |   0.00% |
| 8    | Wishiwashi / Aggron        |    1 |  16.67% |   0.00% |
| 8    | Wishiwashi / Whimsicott    |    1 |  16.67% |   0.00% |
| 8    | Wishiwashi / Weezing       |    1 |  16.67% |   0.00% |
| 8    | Wishiwashi / Ninjask       |    1 |  16.67% |   0.00% |
| 8    | Aggron / Whimsicott        |    1 |  16.67% |   0.00% |
| 8    | Weezing / Aggron           |    1 |  16.67% |   0.00% |
| 8    | Ninjask / Aggron           |    1 |  16.67% |   0.00% |
| 8    | Weezing / Whimsicott       |    1 |  16.67% |   0.00% |
| 8    | Ninjask / Whimsicott       |    1 |  16.67% |   0.00% |
| 8    | Weezing / Ninjask          |    1 |  16.67% |   0.00% |
| 8    | Qwilfish / Ribombee        |    1 |  16.67% |   0.00% |
| 8    | Qwilfish / Gigalith        |    1 |  16.67% |   0.00% |
| 8    | Qwilfish / Sandslash       |    1 |  16.67% |   0.00% |
| 8    | Qwilfish / Ferroseed       |    1 |  16.67% |   0.00% |
| 8    | Qwilfish / Articuno-Galar  |    1 |  16.67% |   0.00% |
| 8    | Ferroseed / Ribombee       |    1 |  16.67% |   0.00% |
| 8    | Articuno-Galar / Ribombee  |    1 |  16.67% |   0.00% |
| 8    | Sandslash / Gigalith       |    1 |  16.67% |   0.00% |
| 8    | Gigalith / Ferroseed       |    1 |  16.67% |   0.00% |
| 8    | Gigalith / Articuno-Galar  |    1 |  16.67% |   0.00% |
| 8    | Sandslash / Ferroseed      |    1 |  16.67% |   0.00% |
| 8    | Sandslash / Articuno-Galar |    1 |  16.67% |   0.00% |
| 8    | Ferroseed / Articuno-Galar |    1 |  16.67% |   0.00% |
| 8    | Archeops / Aurorus         |    1 |  16.67% |   0.00% |
| 8    | Thwackey / Aurorus         |    1 |  16.67% |   0.00% |
| 8    | Thievul / Aurorus          |    1 |  16.67% |   0.00% |
| 8    | Gallade / Aurorus          |    1 |  16.67% |   0.00% |
| 8    | Silvally / Aurorus         |    1 |  16.67% |   0.00% |
| 8    | Archeops / Thwackey        |    1 |  16.67% |   0.00% |
| 8    | Gallade / Archeops         |    1 |  16.67% |   0.00% |
| 8    | Thwackey / Thievul         |    1 |  16.67% |   0.00% |
| 8    | Gallade / Thwackey         |    1 |  16.67% |   0.00% |
| 8    | Silvally / Thwackey        |    1 |  16.67% |   0.00% |
| 8    | Gallade / Thievul          |    1 |  16.67% |   0.00% |
| 8    | Gallade / Silvally         |    1 |  16.67% |   0.00% |

+ ---- + -------------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 3                            | Use  | Usage % |  Win %  |
+ ---- + -------------------------------------- + ---- + ------- + ------- +
| 1    | Silvally / Archeops / Thievul          |    2 |  33.33% |  50.00% |
| 2    | Eldegoss / Sandaconda / Lanturn        |    1 |  16.67% | 100.00% |
| 2    | Eldegoss / Perrserker / Lanturn        |    1 |  16.67% | 100.00% |
| 2    | Eldegoss / Gallade / Lanturn           |    1 |  16.67% | 100.00% |
| 2    | Eldegoss / Ribombee / Lanturn          |    1 |  16.67% | 100.00% |
| 2    | Eldegoss / Sandaconda / Perrserker     |    1 |  16.67% | 100.00% |
| 2    | Eldegoss / Sandaconda / Gallade        |    1 |  16.67% | 100.00% |
| 2    | Eldegoss / Sandaconda / Ribombee       |    1 |  16.67% | 100.00% |
| 2    | Eldegoss / Gallade / Perrserker        |    1 |  16.67% | 100.00% |
| 2    | Eldegoss / Ribombee / Perrserker       |    1 |  16.67% | 100.00% |
| 2    | Eldegoss / Gallade / Ribombee          |    1 |  16.67% | 100.00% |
| 2    | Perrserker / Sandaconda / Lanturn      |    1 |  16.67% | 100.00% |
| 2    | Gallade / Sandaconda / Lanturn         |    1 |  16.67% | 100.00% |
| 2    | Sandaconda / Ribombee / Lanturn        |    1 |  16.67% | 100.00% |
| 2    | Perrserker / Gallade / Lanturn         |    1 |  16.67% | 100.00% |
| 2    | Perrserker / Ribombee / Lanturn        |    1 |  16.67% | 100.00% |
| 2    | Gallade / Ribombee / Lanturn           |    1 |  16.67% | 100.00% |
| 2    | Gallade / Sandaconda / Perrserker      |    1 |  16.67% | 100.00% |
| 2    | Sandaconda / Ribombee / Perrserker     |    1 |  16.67% | 100.00% |
| 2    | Gallade / Sandaconda / Ribombee        |    1 |  16.67% | 100.00% |
| 2    | Gallade / Ribombee / Perrserker        |    1 |  16.67% | 100.00% |
| 2    | Wishiwashi / Silvally / Archeops       |    1 |  16.67% | 100.00% |
| 2    | Silvally / Archeops / Sandslash        |    1 |  16.67% | 100.00% |
| 2    | Silvally / Archeops / Ribombee         |    1 |  16.67% | 100.00% |
| 2    | Wishiwashi / Sandslash / Archeops      |    1 |  16.67% | 100.00% |
| 2    | Wishiwashi / Archeops / Ribombee       |    1 |  16.67% | 100.00% |
| 2    | Wishiwashi / Archeops / Thievul        |    1 |  16.67% | 100.00% |
| 2    | Sandslash / Archeops / Ribombee        |    1 |  16.67% | 100.00% |
| 2    | Sandslash / Archeops / Thievul         |    1 |  16.67% | 100.00% |
| 2    | Archeops / Thievul / Ribombee          |    1 |  16.67% | 100.00% |
| 2    | Wishiwashi / Silvally / Sandslash      |    1 |  16.67% | 100.00% |
| 2    | Wishiwashi / Silvally / Ribombee       |    1 |  16.67% | 100.00% |
| 2    | Wishiwashi / Silvally / Thievul        |    1 |  16.67% | 100.00% |
| 2    | Silvally / Ribombee / Sandslash        |    1 |  16.67% | 100.00% |
| 2    | Silvally / Thievul / Sandslash         |    1 |  16.67% | 100.00% |
| 2    | Silvally / Thievul / Ribombee          |    1 |  16.67% | 100.00% |
| 2    | Wishiwashi / Sandslash / Ribombee      |    1 |  16.67% | 100.00% |
| 2    | Wishiwashi / Sandslash / Thievul       |    1 |  16.67% | 100.00% |
| 2    | Wishiwashi / Thievul / Ribombee        |    1 |  16.67% | 100.00% |
| 2    | Sandslash / Thievul / Ribombee         |    1 |  16.67% | 100.00% |
| 2    | Eldegoss / Centiskorch / Audino        |    1 |  16.67% | 100.00% |
| 2    | Eldegoss / Gigalith / Audino           |    1 |  16.67% | 100.00% |
| 2    | Eldegoss / Doublade / Audino           |    1 |  16.67% | 100.00% |
| 2    | Eldegoss / Audino / Ribombee           |    1 |  16.67% | 100.00% |
| 2    | Eldegoss / Centiskorch / Gigalith      |    1 |  16.67% | 100.00% |
| 2    | Eldegoss / Centiskorch / Doublade      |    1 |  16.67% | 100.00% |
| 2    | Eldegoss / Centiskorch / Ribombee      |    1 |  16.67% | 100.00% |
| 2    | Eldegoss / Doublade / Gigalith         |    1 |  16.67% | 100.00% |
| 2    | Eldegoss / Gigalith / Ribombee         |    1 |  16.67% | 100.00% |
| 2    | Eldegoss / Doublade / Ribombee         |    1 |  16.67% | 100.00% |
| 2    | Centiskorch / Audino / Gigalith        |    1 |  16.67% | 100.00% |
| 2    | Centiskorch / Audino / Doublade        |    1 |  16.67% | 100.00% |
| 2    | Centiskorch / Audino / Ribombee        |    1 |  16.67% | 100.00% |
| 2    | Gigalith / Audino / Doublade           |    1 |  16.67% | 100.00% |
| 2    | Gigalith / Audino / Ribombee           |    1 |  16.67% | 100.00% |
| 2    | Doublade / Audino / Ribombee           |    1 |  16.67% | 100.00% |
| 2    | Centiskorch / Gigalith / Doublade      |    1 |  16.67% | 100.00% |
| 2    | Centiskorch / Gigalith / Ribombee      |    1 |  16.67% | 100.00% |
| 2    | Centiskorch / Ribombee / Doublade      |    1 |  16.67% | 100.00% |
| 2    | Doublade / Gigalith / Ribombee         |    1 |  16.67% | 100.00% |
| 2    | Wishiwashi / Thievul / Aggron          |    1 |  16.67% |   0.00% |
| 2    | Wishiwashi / Thievul / Whimsicott      |    1 |  16.67% |   0.00% |
| 2    | Wishiwashi / Weezing / Thievul         |    1 |  16.67% |   0.00% |
| 2    | Wishiwashi / Ninjask / Thievul         |    1 |  16.67% |   0.00% |
| 2    | Thievul / Aggron / Whimsicott          |    1 |  16.67% |   0.00% |
| 2    | Weezing / Thievul / Aggron             |    1 |  16.67% |   0.00% |
| 2    | Ninjask / Thievul / Aggron             |    1 |  16.67% |   0.00% |
| 2    | Weezing / Thievul / Whimsicott         |    1 |  16.67% |   0.00% |
| 2    | Ninjask / Thievul / Whimsicott         |    1 |  16.67% |   0.00% |
| 2    | Weezing / Ninjask / Thievul            |    1 |  16.67% |   0.00% |
| 2    | Wishiwashi / Aggron / Whimsicott       |    1 |  16.67% |   0.00% |
| 2    | Wishiwashi / Weezing / Aggron          |    1 |  16.67% |   0.00% |
| 2    | Wishiwashi / Ninjask / Aggron          |    1 |  16.67% |   0.00% |
| 2    | Wishiwashi / Weezing / Whimsicott      |    1 |  16.67% |   0.00% |
| 2    | Wishiwashi / Ninjask / Whimsicott      |    1 |  16.67% |   0.00% |
| 2    | Wishiwashi / Weezing / Ninjask         |    1 |  16.67% |   0.00% |
| 2    | Weezing / Aggron / Whimsicott          |    1 |  16.67% |   0.00% |
| 2    | Ninjask / Aggron / Whimsicott          |    1 |  16.67% |   0.00% |
| 2    | Weezing / Ninjask / Aggron             |    1 |  16.67% |   0.00% |
| 2    | Weezing / Ninjask / Whimsicott         |    1 |  16.67% |   0.00% |
| 2    | Qwilfish / Gigalith / Ribombee         |    1 |  16.67% |   0.00% |
| 2    | Qwilfish / Ribombee / Sandslash        |    1 |  16.67% |   0.00% |
| 2    | Qwilfish / Ferroseed / Ribombee        |    1 |  16.67% |   0.00% |
