+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Ribombee           |    4 |  66.67% |  75.00% |
| 2    | Thievul            |    3 |  50.00% |  33.33% |
| 3    | Eldegoss           |    2 |  33.33% | 100.00% |
| 3    | Gallade            |    2 |  33.33% |  50.00% |
| 3    | Wishiwashi         |    2 |  33.33% |  50.00% |
| 3    | Archeops           |    2 |  33.33% |  50.00% |
| 3    | Silvally           |    2 |  33.33% |  50.00% |
| 3    | Sandslash          |    2 |  33.33% |  50.00% |
| 3    | Gigalith           |    2 |  33.33% |  50.00% |
| 10   | Lanturn            |    1 |  16.67% | 100.00% |
| 10   | Sandaconda         |    1 |  16.67% | 100.00% |
| 10   | Perrserker         |    1 |  16.67% | 100.00% |
| 10   | Audino             |    1 |  16.67% | 100.00% |
| 10   | Centiskorch        |    1 |  16.67% | 100.00% |
| 10   | Doublade           |    1 |  16.67% | 100.00% |
| 10   | Aggron             |    1 |  16.67% |   0.00% |
| 10   | Whimsicott         |    1 |  16.67% |   0.00% |
| 10   | Weezing            |    1 |  16.67% |   0.00% |
| 10   | Ninjask            |    1 |  16.67% |   0.00% |
| 10   | Qwilfish           |    1 |  16.67% |   0.00% |
| 10   | Ferroseed          |    1 |  16.67% |   0.00% |
| 10   | Articuno-Galar     |    1 |  16.67% |   0.00% |
| 10   | Aurorus            |    1 |  16.67% |   0.00% |
| 10   | Thwackey           |    1 |  16.67% |   0.00% |
