+ ---- + ------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2               | Use  | Usage % |  Win %  |
+ ---- + ------------------------- + ---- + ------- + ------- +
| 1    | Crobat / Raikou           |    3 |  50.00% |  66.67% |
| 2    | Bronzong / Nidoqueen      |    2 |  33.33% | 100.00% |
| 2    | Noivern / Nidoqueen       |    2 |  33.33% |  50.00% |
| 4    | Crobat / Steelix          |    1 |  16.67% | 100.00% |
| 4    | Steelix / Incineroar      |    1 |  16.67% | 100.00% |
| 4    | Steelix / Arctovish       |    1 |  16.67% | 100.00% |
| 4    | Steelix / Raikou          |    1 |  16.67% | 100.00% |
| 4    | Steelix / Reuniclus       |    1 |  16.67% | 100.00% |
| 4    | Crobat / Incineroar       |    1 |  16.67% | 100.00% |
| 4    | Crobat / Arctovish        |    1 |  16.67% | 100.00% |
| 4    | Crobat / Reuniclus        |    1 |  16.67% | 100.00% |
| 4    | Arctovish / Incineroar    |    1 |  16.67% | 100.00% |
| 4    | Raikou / Incineroar       |    1 |  16.67% | 100.00% |
| 4    | Reuniclus / Incineroar    |    1 |  16.67% | 100.00% |
| 4    | Arctovish / Raikou        |    1 |  16.67% | 100.00% |
| 4    | Arctovish / Reuniclus     |    1 |  16.67% | 100.00% |
| 4    | Raikou / Reuniclus        |    1 |  16.67% | 100.00% |
| 4    | Pangoro / Nidoqueen       |    1 |  16.67% | 100.00% |
| 4    | Raikou / Nidoqueen        |    1 |  16.67% | 100.00% |
| 4    | Celebi / Nidoqueen        |    1 |  16.67% | 100.00% |
| 4    | Crobat / Nidoqueen        |    1 |  16.67% | 100.00% |
| 4    | Pangoro / Raikou          |    1 |  16.67% | 100.00% |
| 4    | Pangoro / Celebi          |    1 |  16.67% | 100.00% |
| 4    | Bronzong / Pangoro        |    1 |  16.67% | 100.00% |
| 4    | Crobat / Pangoro          |    1 |  16.67% | 100.00% |
| 4    | Celebi / Raikou           |    1 |  16.67% | 100.00% |
| 4    | Bronzong / Raikou         |    1 |  16.67% | 100.00% |
| 4    | Bronzong / Celebi         |    1 |  16.67% | 100.00% |
| 4    | Crobat / Celebi           |    1 |  16.67% | 100.00% |
| 4    | Crobat / Bronzong         |    1 |  16.67% | 100.00% |
| 4    | Noivern / Incineroar      |    1 |  16.67% | 100.00% |
| 4    | Xurkitree / Noivern       |    1 |  16.67% | 100.00% |
| 4    | Bronzong / Noivern        |    1 |  16.67% | 100.00% |
| 4    | Mimikyu / Noivern         |    1 |  16.67% | 100.00% |
| 4    | Xurkitree / Incineroar    |    1 |  16.67% | 100.00% |
| 4    | Nidoqueen / Incineroar    |    1 |  16.67% | 100.00% |
| 4    | Bronzong / Incineroar     |    1 |  16.67% | 100.00% |
| 4    | Mimikyu / Incineroar      |    1 |  16.67% | 100.00% |
| 4    | Xurkitree / Nidoqueen     |    1 |  16.67% | 100.00% |
| 4    | Bronzong / Xurkitree      |    1 |  16.67% | 100.00% |
| 4    | Mimikyu / Xurkitree       |    1 |  16.67% | 100.00% |
| 4    | Mimikyu / Nidoqueen       |    1 |  16.67% | 100.00% |
| 4    | Mimikyu / Bronzong        |    1 |  16.67% | 100.00% |
| 4    | Tsareena / Sharpedo       |    1 |  16.67% |   0.00% |
| 4    | Tsareena / Raikou         |    1 |  16.67% |   0.00% |
| 4    | Crobat / Tsareena         |    1 |  16.67% |   0.00% |
| 4    | Tsareena / Registeel      |    1 |  16.67% |   0.00% |
| 4    | Tsareena / Gastrodon      |    1 |  16.67% |   0.00% |
| 4    | Sharpedo / Raikou         |    1 |  16.67% |   0.00% |
| 4    | Crobat / Sharpedo         |    1 |  16.67% |   0.00% |
| 4    | Sharpedo / Registeel      |    1 |  16.67% |   0.00% |
| 4    | Sharpedo / Gastrodon      |    1 |  16.67% |   0.00% |
| 4    | Registeel / Raikou        |    1 |  16.67% |   0.00% |
| 4    | Raikou / Gastrodon        |    1 |  16.67% |   0.00% |
| 4    | Crobat / Registeel        |    1 |  16.67% |   0.00% |
| 4    | Crobat / Gastrodon        |    1 |  16.67% |   0.00% |
| 4    | Registeel / Gastrodon     |    1 |  16.67% |   0.00% |
| 4    | Umbreon / Suicune         |    1 |  16.67% |   0.00% |
| 4    | Weezing-Galar / Suicune   |    1 |  16.67% |   0.00% |
| 4    | Suicune / Nidoqueen       |    1 |  16.67% |   0.00% |
| 4    | Metagross / Suicune       |    1 |  16.67% |   0.00% |
| 4    | Noivern / Suicune         |    1 |  16.67% |   0.00% |
| 4    | Weezing-Galar / Umbreon   |    1 |  16.67% |   0.00% |
| 4    | Umbreon / Nidoqueen       |    1 |  16.67% |   0.00% |
| 4    | Umbreon / Metagross       |    1 |  16.67% |   0.00% |
| 4    | Noivern / Umbreon         |    1 |  16.67% |   0.00% |
| 4    | Weezing-Galar / Nidoqueen |    1 |  16.67% |   0.00% |
| 4    | Weezing-Galar / Metagross |    1 |  16.67% |   0.00% |
| 4    | Weezing-Galar / Noivern   |    1 |  16.67% |   0.00% |
| 4    | Metagross / Nidoqueen     |    1 |  16.67% |   0.00% |
