+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Crobat             |    3 |  50.00% |  66.67% |
| 1    | Raikou             |    3 |  50.00% |  66.67% |
| 1    | Nidoqueen          |    3 |  50.00% |  66.67% |
| 4    | Incineroar         |    2 |  33.33% | 100.00% |
| 4    | Bronzong           |    2 |  33.33% | 100.00% |
| 4    | Steelix            |    2 |  33.33% |  50.00% |
| 4    | Noivern            |    2 |  33.33% |  50.00% |
| 8    | Arctovish          |    1 |  16.67% | 100.00% |
| 8    | Reuniclus          |    1 |  16.67% | 100.00% |
| 8    | Pangoro            |    1 |  16.67% | 100.00% |
| 8    | Celebi             |    1 |  16.67% | 100.00% |
| 8    | Xurkitree          |    1 |  16.67% | 100.00% |
| 8    | Mimikyu            |    1 |  16.67% | 100.00% |
| 8    | Tsareena           |    1 |  16.67% |   0.00% |
| 8    | Sharpedo           |    1 |  16.67% |   0.00% |
| 8    | Registeel          |    1 |  16.67% |   0.00% |
| 8    | Gastrodon          |    1 |  16.67% |   0.00% |
| 8    | Suicune            |    1 |  16.67% |   0.00% |
| 8    | Umbreon            |    1 |  16.67% |   0.00% |
| 8    | Weezing-Galar      |    1 |  16.67% |   0.00% |
| 8    | Metagross          |    1 |  16.67% |   0.00% |
| 8    | Ninetales          |    1 |  16.67% |   0.00% |
| 8    | Gardevoir          |    1 |  16.67% |   0.00% |
| 8    | Shiftry            |    1 |  16.67% |   0.00% |
| 8    | Charizard          |    1 |  16.67% |   0.00% |
| 8    | Xatu               |    1 |  16.67% |   0.00% |
