+ ---- + ------------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                           | Use  | Usage % |  Win %  |
+ ---- + ------------------------------------- + ---- + ------- + ------- +
| 1    | Necrozma-Dusk-Mane / Yveltal          |    6 |  75.00% |  66.67% |
| 1    | Eternatus / Necrozma-Dusk-Mane        |    6 |  75.00% |  66.67% |
| 1    | Eternatus / Yveltal                   |    6 |  75.00% |  66.67% |
| 4    | Eternatus / Kyogre                    |    4 |  50.00% |  50.00% |
| 5    | Groudon / Necrozma-Dusk-Mane          |    3 |  37.50% |  66.67% |
| 5    | Groudon / Yveltal                     |    3 |  37.50% |  66.67% |
| 5    | Groudon / Eternatus                   |    3 |  37.50% |  66.67% |
| 5    | Kyogre / Yveltal                      |    3 |  37.50% |  66.67% |
| 5    | Necrozma-Dusk-Mane / Kyogre           |    3 |  37.50% |  66.67% |
| 10   | Xerneas-* / Yveltal                   |    2 |  25.00% | 100.00% |
| 10   | Xerneas-* / Eternatus                 |    2 |  25.00% | 100.00% |
| 10   | Xerneas-* / Necrozma-Dusk-Mane        |    2 |  25.00% | 100.00% |
| 10   | Eternatus / Calyrex-Shadow            |    2 |  25.00% |  50.00% |
| 10   | Landorus-Therian / Kyogre             |    2 |  25.00% |   0.00% |
| 10   | Eternatus / Landorus-Therian          |    2 |  25.00% |   0.00% |
| 10   | Clefable / Yveltal                    |    2 |  25.00% |   0.00% |
| 17   | Necrozma-Dusk-Mane / Weavile          |    1 |  12.50% | 100.00% |
| 17   | Weavile / Yveltal                     |    1 |  12.50% | 100.00% |
| 17   | Eternatus / Weavile                   |    1 |  12.50% | 100.00% |
| 17   | Calyrex-Shadow / Weavile              |    1 |  12.50% | 100.00% |
| 17   | Groudon / Weavile                     |    1 |  12.50% | 100.00% |
| 17   | Calyrex-Shadow / Necrozma-Dusk-Mane   |    1 |  12.50% | 100.00% |
| 17   | Calyrex-Shadow / Yveltal              |    1 |  12.50% | 100.00% |
| 17   | Groudon / Calyrex-Shadow              |    1 |  12.50% | 100.00% |
| 17   | Rayquaza / Yveltal                    |    1 |  12.50% | 100.00% |
| 17   | Rayquaza / Xerneas-*                  |    1 |  12.50% | 100.00% |
| 17   | Rayquaza / Eternatus                  |    1 |  12.50% | 100.00% |
| 17   | Rayquaza / Necrozma-Dusk-Mane         |    1 |  12.50% | 100.00% |
| 17   | Rayquaza / Kyogre                     |    1 |  12.50% | 100.00% |
| 17   | Xerneas-* / Kyogre                    |    1 |  12.50% | 100.00% |
| 17   | Ferrothorn / Yveltal                  |    1 |  12.50% | 100.00% |
| 17   | Eternatus / Ferrothorn                |    1 |  12.50% | 100.00% |
| 17   | Groudon / Ferrothorn                  |    1 |  12.50% | 100.00% |
| 17   | Ferrothorn / Necrozma-Dusk-Mane       |    1 |  12.50% | 100.00% |
| 17   | Xerneas-* / Ferrothorn                |    1 |  12.50% | 100.00% |
