+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Yveltal            |    7 |  87.50% |  57.14% |
| 1    | Eternatus          |    7 |  87.50% |  57.14% |
| 3    | Necrozma-Dusk-Mane |    6 |  75.00% |  66.67% |
| 4    | Kyogre             |    4 |  50.00% |  50.00% |
| 5    | Groudon            |    3 |  37.50% |  66.67% |
| 6    | Xerneas-*          |    2 |  25.00% | 100.00% |
| 6    | Calyrex-Shadow     |    2 |  25.00% |  50.00% |
| 6    | Landorus-Therian   |    2 |  25.00% |   0.00% |
| 6    | Clefable           |    2 |  25.00% |   0.00% |
| 10   | Weavile            |    1 |  12.50% | 100.00% |
| 10   | Rayquaza           |    1 |  12.50% | 100.00% |
| 10   | Ferrothorn         |    1 |  12.50% | 100.00% |
| 10   | Marshadow          |    1 |  12.50% | 100.00% |
| 10   | Ho-Oh              |    1 |  12.50% | 100.00% |
| 10   | Shedinja           |    1 |  12.50% |   0.00% |
| 10   | Audino             |    1 |  12.50% |   0.00% |
| 10   | Skarmory           |    1 |  12.50% |   0.00% |
| 10   | Tyranitar          |    1 |  12.50% |   0.00% |
| 10   | Xatu               |    1 |  12.50% |   0.00% |
| 10   | Gastrodon          |    1 |  12.50% |   0.00% |
| 10   | Zygarde            |    1 |  12.50% |   0.00% |
| 10   | Blissey            |    1 |  12.50% |   0.00% |
