+ ---- + --------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                       | Use  | Usage % |  Win %  |
+ ---- + --------------------------------- + ---- + ------- + ------- +
| 1    | Cobalion / Diggersby              |    2 |  25.00% | 100.00% |
| 1    | Rotom-Wash / Cobalion             |    2 |  25.00% | 100.00% |
| 1    | Rotom-Wash / Diggersby            |    2 |  25.00% | 100.00% |
| 1    | Rotom-Wash / Amoonguss            |    2 |  25.00% |  50.00% |
| 1    | Hippowdon / Mandibuzz             |    2 |  25.00% |  50.00% |
| 1    | Hippowdon / Amoonguss             |    2 |  25.00% |  50.00% |
| 1    | Rotom-Wash / Mandibuzz            |    2 |  25.00% |  50.00% |
| 1    | Amoonguss / Mandibuzz             |    2 |  25.00% |  50.00% |
| 9    | Amoonguss / Reuniclus             |    1 |  12.50% | 100.00% |
| 9    | Salamence / Reuniclus             |    1 |  12.50% | 100.00% |
| 9    | Cobalion / Reuniclus              |    1 |  12.50% | 100.00% |
| 9    | Diggersby / Reuniclus             |    1 |  12.50% | 100.00% |
| 9    | Rotom-Wash / Reuniclus            |    1 |  12.50% | 100.00% |
| 9    | Amoonguss / Salamence             |    1 |  12.50% | 100.00% |
| 9    | Cobalion / Amoonguss              |    1 |  12.50% | 100.00% |
| 9    | Diggersby / Amoonguss             |    1 |  12.50% | 100.00% |
| 9    | Cobalion / Salamence              |    1 |  12.50% | 100.00% |
| 9    | Diggersby / Salamence             |    1 |  12.50% | 100.00% |
| 9    | Rotom-Wash / Salamence            |    1 |  12.50% | 100.00% |
| 9    | Rotom-Wash / Tapu Bulu            |    1 |  12.50% | 100.00% |
| 9    | Rotom-Wash / Nidoqueen            |    1 |  12.50% | 100.00% |
| 9    | Tapu Bulu / Mandibuzz             |    1 |  12.50% | 100.00% |
| 9    | Tapu Bulu / Nidoqueen             |    1 |  12.50% | 100.00% |
| 9    | Tapu Bulu / Cobalion              |    1 |  12.50% | 100.00% |
| 9    | Tapu Bulu / Diggersby             |    1 |  12.50% | 100.00% |
| 9    | Mandibuzz / Nidoqueen             |    1 |  12.50% | 100.00% |
| 9    | Cobalion / Mandibuzz              |    1 |  12.50% | 100.00% |
| 9    | Diggersby / Mandibuzz             |    1 |  12.50% | 100.00% |
| 9    | Cobalion / Nidoqueen              |    1 |  12.50% | 100.00% |
| 9    | Diggersby / Nidoqueen             |    1 |  12.50% | 100.00% |
| 9    | Chansey / Zygarde-10%             |    1 |  12.50% | 100.00% |
| 9    | Thundurus-Therian / Zygarde-10%   |    1 |  12.50% | 100.00% |
| 9    | Slowbro-Galar / Zygarde-10%       |    1 |  12.50% | 100.00% |
| 9    | Zygarde-10% / Salamence           |    1 |  12.50% | 100.00% |
| 9    | Zygarde-10% / Scizor              |    1 |  12.50% | 100.00% |
| 9    | Chansey / Thundurus-Therian       |    1 |  12.50% | 100.00% |
| 9    | Chansey / Slowbro-Galar           |    1 |  12.50% | 100.00% |
| 9    | Chansey / Salamence               |    1 |  12.50% | 100.00% |
| 9    | Chansey / Scizor                  |    1 |  12.50% | 100.00% |
| 9    | Slowbro-Galar / Thundurus-Therian |    1 |  12.50% | 100.00% |
| 9    | Thundurus-Therian / Salamence     |    1 |  12.50% | 100.00% |
| 9    | Thundurus-Therian / Scizor        |    1 |  12.50% | 100.00% |
| 9    | Slowbro-Galar / Salamence         |    1 |  12.50% | 100.00% |
| 9    | Slowbro-Galar / Scizor            |    1 |  12.50% | 100.00% |
| 9    | Scizor / Salamence                |    1 |  12.50% | 100.00% |
| 9    | Keldeo / Scizor                   |    1 |  12.50% | 100.00% |
| 9    | Raikou / Scizor                   |    1 |  12.50% | 100.00% |
| 9    | Amoonguss / Scizor                |    1 |  12.50% | 100.00% |
| 9    | Scizor / Mandibuzz                |    1 |  12.50% | 100.00% |
| 9    | Hippowdon / Scizor                |    1 |  12.50% | 100.00% |
| 9    | Keldeo / Raikou                   |    1 |  12.50% | 100.00% |
| 9    | Keldeo / Amoonguss                |    1 |  12.50% | 100.00% |
| 9    | Keldeo / Mandibuzz                |    1 |  12.50% | 100.00% |
| 9    | Hippowdon / Keldeo                |    1 |  12.50% | 100.00% |
| 9    | Amoonguss / Raikou                |    1 |  12.50% | 100.00% |
| 9    | Raikou / Mandibuzz                |    1 |  12.50% | 100.00% |
| 9    | Hippowdon / Raikou                |    1 |  12.50% | 100.00% |
| 9    | Crobat / Reuniclus                |    1 |  12.50% |   0.00% |
