+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Amoonguss          |    3 |  37.50% |  66.67% |
| 1    | Cobalion           |    3 |  37.50% |  66.67% |
| 1    | Rotom-Wash         |    3 |  37.50% |  66.67% |
| 1    | Mandibuzz          |    3 |  37.50% |  66.67% |
| 5    | Salamence          |    2 |  25.00% | 100.00% |
| 5    | Diggersby          |    2 |  25.00% | 100.00% |
| 5    | Scizor             |    2 |  25.00% | 100.00% |
| 5    | Reuniclus          |    2 |  25.00% |  50.00% |
| 5    | Hippowdon          |    2 |  25.00% |  50.00% |
| 5    | Zygarde-10%        |    2 |  25.00% |  50.00% |
| 5    | Keldeo             |    2 |  25.00% |  50.00% |
| 5    | Excadrill          |    2 |  25.00% |   0.00% |
| 5    | Hydreigon          |    2 |  25.00% |   0.00% |
| 14   | Tapu Bulu          |    1 |  12.50% | 100.00% |
| 14   | Nidoqueen          |    1 |  12.50% | 100.00% |
| 14   | Chansey            |    1 |  12.50% | 100.00% |
| 14   | Thundurus-Therian  |    1 |  12.50% | 100.00% |
| 14   | Slowbro-Galar      |    1 |  12.50% | 100.00% |
| 14   | Raikou             |    1 |  12.50% | 100.00% |
| 14   | Crobat             |    1 |  12.50% |   0.00% |
| 14   | Moltres            |    1 |  12.50% |   0.00% |
| 14   | Celesteela         |    1 |  12.50% |   0.00% |
| 14   | Suicune            |    1 |  12.50% |   0.00% |
| 14   | Venusaur           |    1 |  12.50% |   0.00% |
| 14   | Hatterene          |    1 |  12.50% |   0.00% |
| 14   | Darmanitan         |    1 |  12.50% |   0.00% |
| 14   | Rhyperior          |    1 |  12.50% |   0.00% |
| 14   | Ninetales          |    1 |  12.50% |   0.00% |
| 14   | Froslass           |    1 |  12.50% |   0.00% |
| 14   | Gyarados           |    1 |  12.50% |   0.00% |
| 14   | Necrozma           |    1 |  12.50% |   0.00% |
