+ ---- + ---------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                  | Use  | Usage % |  Win %  |
+ ---- + ---------------------------- + ---- + ------- + ------- +
| 1    | Dudunsparce-* / Swampert     |    1 |  50.00% | 100.00% |
| 1    | Dudunsparce-* / Duraludon    |    1 |  50.00% | 100.00% |
| 1    | Dudunsparce-* / Staraptor    |    1 |  50.00% | 100.00% |
| 1    | Dudunsparce-* / Brambleghast |    1 |  50.00% | 100.00% |
| 1    | Dudunsparce-* / Munkidori    |    1 |  50.00% | 100.00% |
| 1    | Duraludon / Swampert         |    1 |  50.00% | 100.00% |
| 1    | Staraptor / Swampert         |    1 |  50.00% | 100.00% |
| 1    | Brambleghast / Swampert      |    1 |  50.00% | 100.00% |
| 1    | Munkidori / Swampert         |    1 |  50.00% | 100.00% |
| 1    | Duraludon / Staraptor        |    1 |  50.00% | 100.00% |
| 1    | Duraludon / Brambleghast     |    1 |  50.00% | 100.00% |
| 1    | Duraludon / Munkidori        |    1 |  50.00% | 100.00% |
| 1    | Staraptor / Brambleghast     |    1 |  50.00% | 100.00% |
| 1    | Staraptor / Munkidori        |    1 |  50.00% | 100.00% |
| 1    | Brambleghast / Munkidori     |    1 |  50.00% | 100.00% |
| 1    | Brambleghast / Basculegion   |    1 |  50.00% |   0.00% |
| 1    | Houndstone / Basculegion     |    1 |  50.00% |   0.00% |
| 1    | Golurk / Basculegion         |    1 |  50.00% |   0.00% |
| 1    | Hoopa / Basculegion          |    1 |  50.00% |   0.00% |
| 1    | Spiritomb / Basculegion      |    1 |  50.00% |   0.00% |
| 1    | Brambleghast / Houndstone    |    1 |  50.00% |   0.00% |
| 1    | Brambleghast / Golurk        |    1 |  50.00% |   0.00% |
| 1    | Hoopa / Brambleghast         |    1 |  50.00% |   0.00% |
| 1    | Brambleghast / Spiritomb     |    1 |  50.00% |   0.00% |
| 1    | Houndstone / Golurk          |    1 |  50.00% |   0.00% |
| 1    | Hoopa / Houndstone           |    1 |  50.00% |   0.00% |
| 1    | Houndstone / Spiritomb       |    1 |  50.00% |   0.00% |
| 1    | Hoopa / Golurk               |    1 |  50.00% |   0.00% |
| 1    | Golurk / Spiritomb           |    1 |  50.00% |   0.00% |
| 1    | Hoopa / Spiritomb            |    1 |  50.00% |   0.00% |

+ ---- + ---------------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 3                              | Use  | Usage % |  Win %  |
+ ---- + ---------------------------------------- + ---- + ------- + ------- +
| 1    | Dudunsparce-* / Swampert / Duraludon     |    1 |  50.00% | 100.00% |
| 1    | Dudunsparce-* / Swampert / Staraptor     |    1 |  50.00% | 100.00% |
| 1    | Dudunsparce-* / Brambleghast / Swampert  |    1 |  50.00% | 100.00% |
| 1    | Dudunsparce-* / Munkidori / Swampert     |    1 |  50.00% | 100.00% |
| 1    | Dudunsparce-* / Staraptor / Duraludon    |    1 |  50.00% | 100.00% |
| 1    | Dudunsparce-* / Brambleghast / Duraludon |    1 |  50.00% | 100.00% |
| 1    | Dudunsparce-* / Munkidori / Duraludon    |    1 |  50.00% | 100.00% |
| 1    | Dudunsparce-* / Brambleghast / Staraptor |    1 |  50.00% | 100.00% |
| 1    | Dudunsparce-* / Munkidori / Staraptor    |    1 |  50.00% | 100.00% |
| 1    | Dudunsparce-* / Brambleghast / Munkidori |    1 |  50.00% | 100.00% |
| 1    | Duraludon / Swampert / Staraptor         |    1 |  50.00% | 100.00% |
| 1    | Duraludon / Brambleghast / Swampert      |    1 |  50.00% | 100.00% |
| 1    | Duraludon / Munkidori / Swampert         |    1 |  50.00% | 100.00% |
| 1    | Staraptor / Brambleghast / Swampert      |    1 |  50.00% | 100.00% |
| 1    | Staraptor / Munkidori / Swampert         |    1 |  50.00% | 100.00% |
| 1    | Brambleghast / Swampert / Munkidori      |    1 |  50.00% | 100.00% |
| 1    | Duraludon / Brambleghast / Staraptor     |    1 |  50.00% | 100.00% |
| 1    | Duraludon / Munkidori / Staraptor        |    1 |  50.00% | 100.00% |
| 1    | Duraludon / Brambleghast / Munkidori     |    1 |  50.00% | 100.00% |
| 1    | Staraptor / Brambleghast / Munkidori     |    1 |  50.00% | 100.00% |
