+ ---- + ---------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                  | Use  | Usage % |  Win %  |
+ ---- + ---------------------------- + ---- + ------- + ------- +
| 1    | Swampert / Dudunsparce-*     |    1 |  50.00% | 100.00% |
| 1    | Dudunsparce-* / Duraludon    |    1 |  50.00% | 100.00% |
| 1    | Staraptor / Dudunsparce-*    |    1 |  50.00% | 100.00% |
| 1    | Dudunsparce-* / Brambleghast |    1 |  50.00% | 100.00% |
| 1    | Dudunsparce-* / Munkidori    |    1 |  50.00% | 100.00% |
| 1    | Swampert / Duraludon         |    1 |  50.00% | 100.00% |
| 1    | Staraptor / Swampert         |    1 |  50.00% | 100.00% |
| 1    | Swampert / Brambleghast      |    1 |  50.00% | 100.00% |
| 1    | Swampert / Munkidori         |    1 |  50.00% | 100.00% |
| 1    | Staraptor / Duraludon        |    1 |  50.00% | 100.00% |
| 1    | Brambleghast / Duraludon     |    1 |  50.00% | 100.00% |
| 1    | Munkidori / Duraludon        |    1 |  50.00% | 100.00% |
| 1    | Staraptor / Brambleghast     |    1 |  50.00% | 100.00% |
| 1    | Staraptor / Munkidori        |    1 |  50.00% | 100.00% |
| 1    | Brambleghast / Munkidori     |    1 |  50.00% | 100.00% |
| 1    | Basculegion / Brambleghast   |    1 |  50.00% |   0.00% |
| 1    | Basculegion / Houndstone     |    1 |  50.00% |   0.00% |
| 1    | Basculegion / Golurk         |    1 |  50.00% |   0.00% |
| 1    | Basculegion / Hoopa          |    1 |  50.00% |   0.00% |
| 1    | Basculegion / Spiritomb      |    1 |  50.00% |   0.00% |
| 1    | Houndstone / Brambleghast    |    1 |  50.00% |   0.00% |
| 1    | Brambleghast / Golurk        |    1 |  50.00% |   0.00% |
| 1    | Hoopa / Brambleghast         |    1 |  50.00% |   0.00% |
| 1    | Brambleghast / Spiritomb     |    1 |  50.00% |   0.00% |
| 1    | Houndstone / Golurk          |    1 |  50.00% |   0.00% |
| 1    | Houndstone / Hoopa           |    1 |  50.00% |   0.00% |
