+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Brambleghast       |    2 | 100.00% |  50.00% |
| 2    | Dudunsparce-*      |    1 |  50.00% | 100.00% |
| 2    | Swampert           |    1 |  50.00% | 100.00% |
| 2    | Duraludon          |    1 |  50.00% | 100.00% |
| 2    | Staraptor          |    1 |  50.00% | 100.00% |
| 2    | Munkidori          |    1 |  50.00% | 100.00% |
| 2    | Basculegion        |    1 |  50.00% |   0.00% |
| 2    | Houndstone         |    1 |  50.00% |   0.00% |
| 2    | Golurk             |    1 |  50.00% |   0.00% |
| 2    | Hoopa              |    1 |  50.00% |   0.00% |
| 2    | Spiritomb          |    1 |  50.00% |   0.00% |
