+ ---- + ---------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                  | Use  | Usage % |  Win %  |
+ ---- + ---------------------------- + ---- + ------- + ------- +
| 1    | Swampert / Dudunsparce-*     |    1 |  50.00% | 100.00% |
| 1    | Duraludon / Dudunsparce-*    |    1 |  50.00% | 100.00% |
| 1    | Dudunsparce-* / Staraptor    |    1 |  50.00% | 100.00% |
| 1    | Dudunsparce-* / Brambleghast |    1 |  50.00% | 100.00% |
| 1    | Munkidori / Dudunsparce-*    |    1 |  50.00% | 100.00% |
| 1    | Swampert / Duraludon         |    1 |  50.00% | 100.00% |
| 1    | Swampert / Staraptor         |    1 |  50.00% | 100.00% |
| 1    | Swampert / Brambleghast      |    1 |  50.00% | 100.00% |
| 1    | Swampert / Munkidori         |    1 |  50.00% | 100.00% |
| 1    | Duraludon / Staraptor        |    1 |  50.00% | 100.00% |
| 1    | Duraludon / Brambleghast     |    1 |  50.00% | 100.00% |
| 1    | Munkidori / Duraludon        |    1 |  50.00% | 100.00% |
| 1    | Brambleghast / Staraptor     |    1 |  50.00% | 100.00% |
| 1    | Munkidori / Staraptor        |    1 |  50.00% | 100.00% |
| 1    | Munkidori / Brambleghast     |    1 |  50.00% | 100.00% |
| 1    | Basculegion / Brambleghast   |    1 |  50.00% |   0.00% |
| 1    | Basculegion / Houndstone     |    1 |  50.00% |   0.00% |
| 1    | Basculegion / Golurk         |    1 |  50.00% |   0.00% |
| 1    | Basculegion / Hoopa          |    1 |  50.00% |   0.00% |
| 1    | Basculegion / Spiritomb      |    1 |  50.00% |   0.00% |
| 1    | Houndstone / Brambleghast    |    1 |  50.00% |   0.00% |
| 1    | Golurk / Brambleghast        |    1 |  50.00% |   0.00% |
| 1    | Hoopa / Brambleghast         |    1 |  50.00% |   0.00% |
| 1    | Spiritomb / Brambleghast     |    1 |  50.00% |   0.00% |
| 1    | Golurk / Houndstone          |    1 |  50.00% |   0.00% |
| 1    | Houndstone / Hoopa           |    1 |  50.00% |   0.00% |
