+ ---- + -------------------- + ---- + ------- + ------- +
| Rank | Combos of 2          | Use  | Usage % |  Win %  |
+ ---- + -------------------- + ---- + ------- + ------- +
| 1    | Ivysaur / Mightyena  |    3 |  37.50% | 100.00% |
| 1    | Mightyena / Seaking  |    3 |  37.50% |  33.33% |
| 1    | Nosepass / Mightyena |    3 |  37.50% |  33.33% |
| 4    | Anorith / Mightyena  |    2 |  25.00% | 100.00% |
| 4    | Mightyena / Meditite |    2 |  25.00% | 100.00% |
| 4    | Nosepass / Gloom     |    2 |  25.00% |  50.00% |
| 4    | Mightyena / Gloom    |    2 |  25.00% |  50.00% |
| 4    | Ivysaur / Snorunt    |    2 |  25.00% |  50.00% |
| 4    | Mightyena / Grovyle  |    2 |  25.00% |  50.00% |
| 4    | Ivysaur / Ponyta     |    2 |  25.00% |  50.00% |
| 4    | Mightyena / Wailmer  |    2 |  25.00% |  50.00% |
| 4    | Mightyena / Ponyta   |    2 |  25.00% |  50.00% |
| 13   | Nosepass / Volbeat   |    1 |  12.50% | 100.00% |
| 13   | Volbeat / Gloom      |    1 |  12.50% | 100.00% |
| 13   | Mightyena / Volbeat  |    1 |  12.50% | 100.00% |
| 13   | Anorith / Volbeat    |    1 |  12.50% | 100.00% |
| 13   | Volbeat / Meditite   |    1 |  12.50% | 100.00% |
| 13   | Anorith / Nosepass   |    1 |  12.50% | 100.00% |
| 13   | Nosepass / Meditite  |    1 |  12.50% | 100.00% |
| 13   | Anorith / Gloom      |    1 |  12.50% | 100.00% |
| 13   | Meditite / Gloom     |    1 |  12.50% | 100.00% |
| 13   | Anorith / Meditite   |    1 |  12.50% | 100.00% |
| 13   | Snorunt / Aipom      |    1 |  12.50% | 100.00% |
| 13   | Mightyena / Aipom    |    1 |  12.50% | 100.00% |
| 13   | Ivysaur / Aipom      |    1 |  12.50% | 100.00% |
| 13   | Mightyena / Snorunt  |    1 |  12.50% | 100.00% |
| 13   | Meditite / Wailmer   |    1 |  12.50% | 100.00% |
| 13   | Wailmer / Grovyle    |    1 |  12.50% | 100.00% |
| 13   | Ivysaur / Wailmer    |    1 |  12.50% | 100.00% |
| 13   | Meditite / Grovyle   |    1 |  12.50% | 100.00% |
| 13   | Ivysaur / Meditite   |    1 |  12.50% | 100.00% |
| 13   | Ivysaur / Grovyle    |    1 |  12.50% | 100.00% |
| 13   | Ponyta / Seaking     |    1 |  12.50% | 100.00% |
| 13   | Anorith / Ponyta     |    1 |  12.50% | 100.00% |
| 13   | Ivysaur / Seaking    |    1 |  12.50% | 100.00% |
| 13   | Anorith / Ivysaur    |    1 |  12.50% | 100.00% |
| 13   | Anorith / Seaking    |    1 |  12.50% | 100.00% |
| 13   | Quilava / Baltoy     |    1 |  12.50% |   0.00% |
| 13   | Tropius / Quilava    |    1 |  12.50% |   0.00% |
| 13   | Quilava / Seaking    |    1 |  12.50% |   0.00% |
| 13   | Quilava / Mightyena  |    1 |  12.50% |   0.00% |
| 13   | Quilava / Corsola    |    1 |  12.50% |   0.00% |
| 13   | Tropius / Baltoy     |    1 |  12.50% |   0.00% |
| 13   | Seaking / Baltoy     |    1 |  12.50% |   0.00% |
| 13   | Mightyena / Baltoy   |    1 |  12.50% |   0.00% |
| 13   | Corsola / Baltoy     |    1 |  12.50% |   0.00% |
| 13   | Tropius / Seaking    |    1 |  12.50% |   0.00% |
| 13   | Tropius / Mightyena  |    1 |  12.50% |   0.00% |
| 13   | Tropius / Corsola    |    1 |  12.50% |   0.00% |
| 13   | Seaking / Corsola    |    1 |  12.50% |   0.00% |
| 13   | Mightyena / Corsola  |    1 |  12.50% |   0.00% |
| 13   | Nosepass / Doduo     |    1 |  12.50% |   0.00% |
| 13   | Mightyena / Doduo    |    1 |  12.50% |   0.00% |
| 13   | Doduo / Gloom        |    1 |  12.50% |   0.00% |
| 13   | Seaking / Doduo      |    1 |  12.50% |   0.00% |
| 13   | Doduo / Grovyle      |    1 |  12.50% |   0.00% |
| 13   | Nosepass / Seaking   |    1 |  12.50% |   0.00% |
| 13   | Nosepass / Grovyle   |    1 |  12.50% |   0.00% |
| 13   | Seaking / Gloom      |    1 |  12.50% |   0.00% |
| 13   | Grovyle / Gloom      |    1 |  12.50% |   0.00% |
| 13   | Seaking / Grovyle    |    1 |  12.50% |   0.00% |
| 13   | Shuppet / Snorunt    |    1 |  12.50% |   0.00% |
| 13   | Doduo / Snorunt      |    1 |  12.50% |   0.00% |
| 13   | Corsola / Snorunt    |    1 |  12.50% |   0.00% |
| 13   | Ponyta / Snorunt     |    1 |  12.50% |   0.00% |
| 13   | Shuppet / Doduo      |    1 |  12.50% |   0.00% |
| 13   | Shuppet / Corsola    |    1 |  12.50% |   0.00% |
| 13   | Ivysaur / Shuppet    |    1 |  12.50% |   0.00% |
| 13   | Ponyta / Shuppet     |    1 |  12.50% |   0.00% |
| 13   | Corsola / Doduo      |    1 |  12.50% |   0.00% |
| 13   | Ivysaur / Doduo      |    1 |  12.50% |   0.00% |
| 13   | Ponyta / Doduo       |    1 |  12.50% |   0.00% |
| 13   | Ivysaur / Corsola    |    1 |  12.50% |   0.00% |
| 13   | Ponyta / Corsola     |    1 |  12.50% |   0.00% |
| 13   | Castform / Wailmer   |    1 |  12.50% |   0.00% |
| 13   | Beedrill / Wailmer   |    1 |  12.50% |   0.00% |
| 13   | Nosepass / Wailmer   |    1 |  12.50% |   0.00% |
