+ ---- + ------------------- + ---- + ------- + ------- +
| Rank | Combos of 2         | Use  | Usage % |  Win %  |
+ ---- + ------------------- + ---- + ------- + ------- +
| 1    | Pawniard / Leafeon  |    4 |  50.00% |  25.00% |
| 2    | Arbok / Simisear    |    3 |  37.50% |  33.33% |
| 2    | Arbok / Pawniard    |    3 |  37.50% |   0.00% |
| 2    | Arbok / Leafeon     |    3 |  37.50% |   0.00% |
| 5    | Persian / Grumpig   |    2 |  25.00% | 100.00% |
| 5    | Solrock / Grumpig   |    2 |  25.00% | 100.00% |
| 5    | Persian / Solrock   |    2 |  25.00% | 100.00% |
| 5    | Emolga / Staryu     |    2 |  25.00% | 100.00% |
| 5    | Meganium / Solrock  |    2 |  25.00% |  50.00% |
| 5    | Grumpig / Pawniard  |    2 |  25.00% |  50.00% |
| 5    | Grumpig / Leafeon   |    2 |  25.00% |  50.00% |
| 5    | Grumpig / Arbok     |    2 |  25.00% |  50.00% |
| 5    | Raichu / Pawniard   |    2 |  25.00% |   0.00% |
| 5    | Raichu / Leafeon    |    2 |  25.00% |   0.00% |
| 5    | Raichu / Arbok      |    2 |  25.00% |   0.00% |
| 5    | Pawniard / Bibarel  |    2 |  25.00% |   0.00% |
| 5    | Arbok / Bibarel     |    2 |  25.00% |   0.00% |
| 5    | Bibarel / Simisear  |    2 |  25.00% |   0.00% |
| 5    | Bibarel / Leafeon   |    2 |  25.00% |   0.00% |
| 5    | Pawniard / Simisear |    2 |  25.00% |   0.00% |
| 5    | Leafeon / Simisear  |    2 |  25.00% |   0.00% |
| 22   | Meganium / Grumpig  |    1 |  12.50% | 100.00% |
| 22   | Meganium / Muk      |    1 |  12.50% | 100.00% |
| 22   | Meganium / Walrein  |    1 |  12.50% | 100.00% |
| 22   | Meganium / Persian  |    1 |  12.50% | 100.00% |
| 22   | Grumpig / Muk       |    1 |  12.50% | 100.00% |
| 22   | Grumpig / Walrein   |    1 |  12.50% | 100.00% |
| 22   | Muk / Walrein       |    1 |  12.50% | 100.00% |
| 22   | Persian / Muk       |    1 |  12.50% | 100.00% |
| 22   | Solrock / Muk       |    1 |  12.50% | 100.00% |
| 22   | Persian / Walrein   |    1 |  12.50% | 100.00% |
| 22   | Solrock / Walrein   |    1 |  12.50% | 100.00% |
| 22   | Persian / Pawniard  |    1 |  12.50% | 100.00% |
| 22   | Persian / Mienfoo   |    1 |  12.50% | 100.00% |
| 22   | Persian / Leafeon   |    1 |  12.50% | 100.00% |
| 22   | Solrock / Pawniard  |    1 |  12.50% | 100.00% |
| 22   | Mienfoo / Pawniard  |    1 |  12.50% | 100.00% |
| 22   | Solrock / Mienfoo   |    1 |  12.50% | 100.00% |
| 22   | Solrock / Leafeon   |    1 |  12.50% | 100.00% |
| 22   | Mienfoo / Grumpig   |    1 |  12.50% | 100.00% |
| 22   | Mienfoo / Leafeon   |    1 |  12.50% | 100.00% |
| 22   | Shelgon / Lampent   |    1 |  12.50% | 100.00% |
| 22   | Solrock / Lampent   |    1 |  12.50% | 100.00% |
| 22   | Emolga / Lampent    |    1 |  12.50% | 100.00% |
| 22   | Lampent / Staryu    |    1 |  12.50% | 100.00% |
| 22   | Mothim / Lampent    |    1 |  12.50% | 100.00% |
| 22   | Solrock / Shelgon   |    1 |  12.50% | 100.00% |
| 22   | Shelgon / Emolga    |    1 |  12.50% | 100.00% |
| 22   | Shelgon / Staryu    |    1 |  12.50% | 100.00% |
| 22   | Mothim / Shelgon    |    1 |  12.50% | 100.00% |
| 22   | Solrock / Emolga    |    1 |  12.50% | 100.00% |
| 22   | Solrock / Staryu    |    1 |  12.50% | 100.00% |
| 22   | Solrock / Mothim    |    1 |  12.50% | 100.00% |
| 22   | Mothim / Emolga     |    1 |  12.50% | 100.00% |
| 22   | Mothim / Staryu     |    1 |  12.50% | 100.00% |
| 22   | Emolga / Lairon     |    1 |  12.50% | 100.00% |
| 22   | Lairon / Staryu     |    1 |  12.50% | 100.00% |
| 22   | Grumpig / Lairon    |    1 |  12.50% | 100.00% |
| 22   | Arbok / Lairon      |    1 |  12.50% | 100.00% |
| 22   | Lairon / Simisear   |    1 |  12.50% | 100.00% |
| 22   | Emolga / Grumpig    |    1 |  12.50% | 100.00% |
| 22   | Emolga / Arbok      |    1 |  12.50% | 100.00% |
| 22   | Emolga / Simisear   |    1 |  12.50% | 100.00% |
| 22   | Grumpig / Staryu    |    1 |  12.50% | 100.00% |
| 22   | Arbok / Staryu      |    1 |  12.50% | 100.00% |
| 22   | Simisear / Staryu   |    1 |  12.50% | 100.00% |
| 22   | Grumpig / Simisear  |    1 |  12.50% | 100.00% |
| 22   | Whiscash / Pawniard |    1 |  12.50% |   0.00% |
| 22   | Raichu / Whiscash   |    1 |  12.50% |   0.00% |
| 22   | Raichu / Grumpig    |    1 |  12.50% |   0.00% |
| 22   | Whiscash / Leafeon  |    1 |  12.50% |   0.00% |
| 22   | Grumpig / Whiscash  |    1 |  12.50% |   0.00% |
| 22   | Arbok / Whiscash    |    1 |  12.50% |   0.00% |
| 22   | Shelmet / Frillish  |    1 |  12.50% |   0.00% |
| 22   | Solrock / Shelmet   |    1 |  12.50% |   0.00% |
| 22   | Shelmet / Clefairy  |    1 |  12.50% |   0.00% |
| 22   | Meganium / Shelmet  |    1 |  12.50% |   0.00% |
| 22   | Whiscash / Shelmet  |    1 |  12.50% |   0.00% |
| 22   | Solrock / Frillish  |    1 |  12.50% |   0.00% |
| 22   | Clefairy / Frillish |    1 |  12.50% |   0.00% |
| 22   | Meganium / Frillish |    1 |  12.50% |   0.00% |
| 22   | Whiscash / Frillish |    1 |  12.50% |   0.00% |
| 22   | Solrock / Clefairy  |    1 |  12.50% |   0.00% |
| 22   | Solrock / Whiscash  |    1 |  12.50% |   0.00% |
| 22   | Meganium / Clefairy |    1 |  12.50% |   0.00% |
| 22   | Whiscash / Clefairy |    1 |  12.50% |   0.00% |
| 22   | Meganium / Whiscash |    1 |  12.50% |   0.00% |
| 22   | Mothim / Bibarel    |    1 |  12.50% |   0.00% |
| 22   | Mothim / Pawniard   |    1 |  12.50% |   0.00% |
| 22   | Mothim / Arbok      |    1 |  12.50% |   0.00% |
| 22   | Mothim / Simisear   |    1 |  12.50% |   0.00% |
| 22   | Mothim / Leafeon    |    1 |  12.50% |   0.00% |
| 22   | Raichu / Bibarel    |    1 |  12.50% |   0.00% |
| 22   | Raichu / Simisear   |    1 |  12.50% |   0.00% |

+ ---- + ------------------------------ + ---- + ------- + ------- +
