+ ---- + ---------------------- + ---- + ------- + ------- +
| Rank | Combos of 2            | Use  | Usage % |  Win %  |
+ ---- + ---------------------- + ---- + ------- + ------- +
| 1    | Swalot / Carbink       |    2 |  25.00% |  50.00% |
| 1    | Meganium / Carbink     |    2 |  25.00% |  50.00% |
| 1    | Bronzor / Carbink      |    2 |  25.00% |  50.00% |
| 1    | Swalot / Meganium      |    2 |  25.00% |  50.00% |
| 1    | Swalot / Bronzor       |    2 |  25.00% |  50.00% |
| 1    | Meganium / Bronzor     |    2 |  25.00% |  50.00% |
| 1    | Servine / Dustox       |    2 |  25.00% |  50.00% |
| 8    | Carbink / Vibrava      |    1 |  12.50% | 100.00% |
| 8    | Scraggy / Carbink      |    1 |  12.50% | 100.00% |
| 8    | Swalot / Vibrava       |    1 |  12.50% | 100.00% |
| 8    | Swalot / Scraggy       |    1 |  12.50% | 100.00% |
| 8    | Meganium / Vibrava     |    1 |  12.50% | 100.00% |
| 8    | Bronzor / Vibrava      |    1 |  12.50% | 100.00% |
| 8    | Scraggy / Vibrava      |    1 |  12.50% | 100.00% |
| 8    | Meganium / Scraggy     |    1 |  12.50% | 100.00% |
| 8    | Bronzor / Scraggy      |    1 |  12.50% | 100.00% |
| 8    | Solrock / Furfrou      |    1 |  12.50% | 100.00% |
| 8    | Ivysaur / Furfrou      |    1 |  12.50% | 100.00% |
| 8    | Pignite / Furfrou      |    1 |  12.50% | 100.00% |
| 8    | Furfrou / Krokorok     |    1 |  12.50% | 100.00% |
| 8    | Furfrou / Walrein      |    1 |  12.50% | 100.00% |
| 8    | Solrock / Ivysaur      |    1 |  12.50% | 100.00% |
| 8    | Solrock / Pignite      |    1 |  12.50% | 100.00% |
| 8    | Solrock / Krokorok     |    1 |  12.50% | 100.00% |
| 8    | Solrock / Walrein      |    1 |  12.50% | 100.00% |
| 8    | Pignite / Ivysaur      |    1 |  12.50% | 100.00% |
| 8    | Ivysaur / Krokorok     |    1 |  12.50% | 100.00% |
| 8    | Ivysaur / Walrein      |    1 |  12.50% | 100.00% |
| 8    | Pignite / Krokorok     |    1 |  12.50% | 100.00% |
| 8    | Pignite / Walrein      |    1 |  12.50% | 100.00% |
| 8    | Walrein / Krokorok     |    1 |  12.50% | 100.00% |
| 8    | Seviper / Kricketune   |    1 |  12.50% | 100.00% |
| 8    | Kricketune / Sawsbuck  |    1 |  12.50% | 100.00% |
| 8    | Vanilluxe / Kricketune |    1 |  12.50% | 100.00% |
| 8    | Kricketune / Frogadier |    1 |  12.50% | 100.00% |
| 8    | Kricketune / Krokorok  |    1 |  12.50% | 100.00% |
| 8    | Seviper / Sawsbuck     |    1 |  12.50% | 100.00% |
| 8    | Vanilluxe / Seviper    |    1 |  12.50% | 100.00% |
| 8    | Seviper / Frogadier    |    1 |  12.50% | 100.00% |
| 8    | Seviper / Krokorok     |    1 |  12.50% | 100.00% |
| 8    | Vanilluxe / Sawsbuck   |    1 |  12.50% | 100.00% |
| 8    | Frogadier / Sawsbuck   |    1 |  12.50% | 100.00% |
| 8    | Krokorok / Sawsbuck    |    1 |  12.50% | 100.00% |
| 8    | Vanilluxe / Frogadier  |    1 |  12.50% | 100.00% |
| 8    | Vanilluxe / Krokorok   |    1 |  12.50% | 100.00% |
| 8    | Frogadier / Krokorok   |    1 |  12.50% | 100.00% |
| 8    | Dustox / Lunatone      |    1 |  12.50% | 100.00% |
| 8    | Servine / Lunatone     |    1 |  12.50% | 100.00% |
| 8    | Lunatone / Simipour    |    1 |  12.50% | 100.00% |
| 8    | Pignite / Lunatone     |    1 |  12.50% | 100.00% |
