+ ---- + --------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                 | Use  | Usage % |  Win %  |
+ ---- + --------------------------- + ---- + ------- + ------- +
| 1    | Uxie / Liepard              |    4 |  25.00% |  50.00% |
| 1    | Uxie / Ivysaur              |    4 |  25.00% |  50.00% |
| 1    | Uxie / Rapidash             |    4 |  25.00% |  50.00% |
| 1    | Uxie / Shiftry              |    4 |  25.00% |  50.00% |
| 1    | Ivysaur / Liepard           |    4 |  25.00% |  50.00% |
| 1    | Rapidash / Liepard          |    4 |  25.00% |  50.00% |
| 1    | Shiftry / Liepard           |    4 |  25.00% |  50.00% |
| 1    | Ivysaur / Rapidash          |    4 |  25.00% |  50.00% |
| 1    | Ivysaur / Shiftry           |    4 |  25.00% |  50.00% |
| 1    | Rapidash / Shiftry          |    4 |  25.00% |  50.00% |
| 11   | Uxie / Carracosta           |    3 |  18.75% |  66.67% |
| 11   | Carracosta / Liepard        |    3 |  18.75% |  66.67% |
| 11   | Ivysaur / Carracosta        |    3 |  18.75% |  66.67% |
| 11   | Rapidash / Carracosta       |    3 |  18.75% |  66.67% |
| 11   | Carracosta / Shiftry        |    3 |  18.75% |  66.67% |
| 11   | Silvally / Rhydon           |    3 |  18.75% |   0.00% |
| 17   | Qwilfish / Stunfisk         |    2 |  12.50% | 100.00% |
| 17   | Gourgeist-* / Throh         |    2 |  12.50% | 100.00% |
| 17   | Thwackey / Rhydon           |    2 |  12.50% |  50.00% |
| 17   | Skuntank / Klinklang        |    2 |  12.50% |  50.00% |
| 17   | Persian-Alola / Rapidash    |    2 |  12.50% |  50.00% |
| 17   | Persian-Alola / Bouffalant  |    2 |  12.50% |  50.00% |
| 17   | Persian-Alola / Articuno    |    2 |  12.50% |  50.00% |
| 17   | Persian-Alola / Palossand   |    2 |  12.50% |  50.00% |
| 17   | Rapidash / Bouffalant       |    2 |  12.50% |  50.00% |
| 17   | Rapidash / Articuno         |    2 |  12.50% |  50.00% |
| 17   | Rapidash / Palossand        |    2 |  12.50% |  50.00% |
| 17   | Bouffalant / Articuno       |    2 |  12.50% |  50.00% |
| 17   | Bouffalant / Palossand      |    2 |  12.50% |  50.00% |
| 17   | Palossand / Articuno        |    2 |  12.50% |  50.00% |
| 17   | Silvally / Thwackey         |    2 |  12.50% |   0.00% |
| 17   | Silvally / Alcremie         |    2 |  12.50% |   0.00% |
| 17   | Thwackey / Alcremie         |    2 |  12.50% |   0.00% |
| 17   | Mareanie / Articuno         |    2 |  12.50% |   0.00% |
| 17   | Miltank / Articuno          |    2 |  12.50% |   0.00% |
| 17   | Rapidash-Galar / Articuno   |    2 |  12.50% |   0.00% |
| 17   | Rhydon / Articuno           |    2 |  12.50% |   0.00% |
| 17   | Silvally / Articuno         |    2 |  12.50% |   0.00% |
| 17   | Miltank / Mareanie          |    2 |  12.50% |   0.00% |
| 17   | Rapidash-Galar / Mareanie   |    2 |  12.50% |   0.00% |
| 17   | Rhydon / Mareanie           |    2 |  12.50% |   0.00% |
| 17   | Silvally / Mareanie         |    2 |  12.50% |   0.00% |
| 17   | Rapidash-Galar / Miltank    |    2 |  12.50% |   0.00% |
| 17   | Miltank / Rhydon            |    2 |  12.50% |   0.00% |
| 17   | Silvally / Miltank          |    2 |  12.50% |   0.00% |
| 17   | Rapidash-Galar / Rhydon     |    2 |  12.50% |   0.00% |
| 17   | Rapidash-Galar / Silvally   |    2 |  12.50% |   0.00% |
| 48   | Qwilfish / Altaria          |    1 |   6.25% | 100.00% |
| 48   | Qwilfish / Articuno         |    1 |   6.25% | 100.00% |
| 48   | Qwilfish / Sableye          |    1 |   6.25% | 100.00% |
| 48   | Qwilfish / Tangela          |    1 |   6.25% | 100.00% |
| 48   | Altaria / Articuno          |    1 |   6.25% | 100.00% |
| 48   | Altaria / Sableye           |    1 |   6.25% | 100.00% |
| 48   | Altaria / Stunfisk          |    1 |   6.25% | 100.00% |
| 48   | Tangela / Altaria           |    1 |   6.25% | 100.00% |
| 48   | Sableye / Articuno          |    1 |   6.25% | 100.00% |
| 48   | Stunfisk / Articuno         |    1 |   6.25% | 100.00% |
| 48   | Tangela / Articuno          |    1 |   6.25% | 100.00% |
| 48   | Stunfisk / Sableye          |    1 |   6.25% | 100.00% |
| 48   | Tangela / Sableye           |    1 |   6.25% | 100.00% |
| 48   | Tangela / Stunfisk          |    1 |   6.25% | 100.00% |
| 48   | Coalossal / Accelgor        |    1 |   6.25% | 100.00% |
| 48   | Gourgeist-* / Accelgor      |    1 |   6.25% | 100.00% |
| 48   | Liepard / Accelgor          |    1 |   6.25% | 100.00% |
| 48   | Throh / Accelgor            |    1 |   6.25% | 100.00% |
| 48   | Raichu / Accelgor           |    1 |   6.25% | 100.00% |
| 48   | Gourgeist-Super / Accelgor  |    1 |   6.25% | 100.00% |
| 48   | Gourgeist-* / Coalossal     |    1 |   6.25% | 100.00% |
| 48   | Coalossal / Liepard         |    1 |   6.25% | 100.00% |
| 48   | Coalossal / Throh           |    1 |   6.25% | 100.00% |
| 48   | Raichu / Coalossal          |    1 |   6.25% | 100.00% |
| 48   | Coalossal / Gourgeist-Super |    1 |   6.25% | 100.00% |
| 48   | Gourgeist-* / Liepard       |    1 |   6.25% | 100.00% |
| 48   | Gourgeist-* / Raichu        |    1 |   6.25% | 100.00% |
| 48   | Liepard / Throh             |    1 |   6.25% | 100.00% |
| 48   | Raichu / Liepard            |    1 |   6.25% | 100.00% |
| 48   | Liepard / Gourgeist-Super   |    1 |   6.25% | 100.00% |
| 48   | Raichu / Throh              |    1 |   6.25% | 100.00% |
| 48   | Gourgeist-Super / Throh     |    1 |   6.25% | 100.00% |
| 48   | Raichu / Gourgeist-Super    |    1 |   6.25% | 100.00% |
| 48   | Skuntank / Thwackey         |    1 |   6.25% | 100.00% |
