+ ---- + ---------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                        | Use  | Usage % |  Win %  |
+ ---- + ---------------------------------- + ---- + ------- + ------- +
| 1    | Skuntank / Mesprit                 |   10 |  31.25% |  70.00% |
| 2    | Mesprit / Passimian                |    9 |  28.12% |  44.44% |
| 3    | Mesprit / Pyroar                   |    7 |  21.88% |  57.14% |
| 4    | Skuntank / Pyroar                  |    6 |  18.75% |  66.67% |
| 4    | Toxicroak / Eelektross             |    6 |  18.75% |  66.67% |
| 4    | Venusaur / Mesprit                 |    6 |  18.75% |  50.00% |
| 4    | Skuntank / Passimian               |    6 |  18.75% |  50.00% |
| 4    | Venusaur / Passimian               |    6 |  18.75% |  50.00% |
| 4    | Whiscash / Venusaur                |    6 |  18.75% |  33.33% |
| 4    | Skuntank / Venusaur                |    6 |  18.75% |  33.33% |
| 11   | Pyroar / Passimian                 |    5 |  15.62% |  80.00% |
| 11   | Whiscash / Pyroar                  |    5 |  15.62% |  60.00% |
| 11   | Venusaur / Pyroar                  |    5 |  15.62% |  40.00% |
| 11   | Toxicroak / Mesprit                |    5 |  15.62% |  40.00% |
| 15   | Skuntank / Eelektross              |    4 |  12.50% | 100.00% |
| 15   | Whiscash / Passimian               |    4 |  12.50% |  75.00% |
| 15   | Mesprit / Whimsicott               |    4 |  12.50% |  75.00% |
| 15   | Mesprit / Eelektross               |    4 |  12.50% |  75.00% |
| 15   | Toxicroak / Pyroar                 |    4 |  12.50% |  75.00% |
| 15   | Pyroar / Eelektross                |    4 |  12.50% |  75.00% |
| 15   | Froslass / Skuntank                |    4 |  12.50% |  50.00% |
| 15   | Sandslash / Mesprit                |    4 |  12.50% |  50.00% |
| 15   | Skuntank / Whiscash                |    4 |  12.50% |  25.00% |
| 15   | Clawitzer / Mesprit                |    4 |  12.50% |  25.00% |
| 15   | Clawitzer / Venusaur               |    4 |  12.50% |  25.00% |
| 26   | Skuntank / Whimsicott              |    3 |   9.38% | 100.00% |
| 26   | Toxicroak / Skuntank               |    3 |   9.38% | 100.00% |
| 26   | Froslass / Pyroar                  |    3 |   9.38% | 100.00% |
| 26   | Froslass / Eelektross              |    3 |   9.38% | 100.00% |
| 26   | Pyroar / Whimsicott                |    3 |   9.38% | 100.00% |
| 26   | Whimsicott / Eelektross            |    3 |   9.38% | 100.00% |
| 26   | Regirock / Pyroar                  |    3 |   9.38% |  66.67% |
| 26   | Camerupt / Skuntank                |    3 |   9.38% |  66.67% |
| 26   | Camerupt / Swanna                  |    3 |   9.38% |  66.67% |
| 26   | Whiscash / Mesprit                 |    3 |   9.38% |  66.67% |
| 26   | Camerupt / Venusaur                |    3 |   9.38% |  66.67% |
| 26   | Toxicroak / Venusaur               |    3 |   9.38% |  66.67% |
| 26   | Toxicroak / Whimsicott             |    3 |   9.38% |  66.67% |
| 26   | Camerupt / Mesprit                 |    3 |   9.38% |  33.33% |
| 26   | Sandslash / Passimian              |    3 |   9.38% |  33.33% |
| 26   | Froslass / Venusaur                |    3 |   9.38% |  33.33% |
| 26   | Toxicroak / Spiritomb              |    3 |   9.38% |  33.33% |
| 26   | Toxicroak / Sandslash              |    3 |   9.38% |  33.33% |
| 26   | Sandslash / Eelektross             |    3 |   9.38% |  33.33% |
| 26   | Skuntank / Clawitzer               |    3 |   9.38% |  33.33% |
| 26   | Clawitzer / Passimian              |    3 |   9.38% |   0.00% |
| 26   | Sandslash / Clawitzer              |    3 |   9.38% |   0.00% |
| 48   | Skuntank / Swanna                  |    2 |   6.25% | 100.00% |
| 48   | Skuntank / Hitmontop               |    2 |   6.25% | 100.00% |
| 48   | Sandslash / Skuntank               |    2 |   6.25% | 100.00% |
| 48   | Froslass / Regirock                |    2 |   6.25% | 100.00% |
| 48   | Froslass / Toxicroak               |    2 |   6.25% | 100.00% |
| 48   | Froslass / Whimsicott              |    2 |   6.25% | 100.00% |
| 48   | Toxicroak / Regirock               |    2 |   6.25% | 100.00% |
| 48   | Regirock / Whimsicott              |    2 |   6.25% | 100.00% |
| 48   | Regirock / Eelektross              |    2 |   6.25% | 100.00% |
| 48   | Toxicroak / Swanna                 |    2 |   6.25% | 100.00% |
| 48   | Skuntank / Sandaconda              |    2 |   6.25% | 100.00% |
| 48   | Venusaur / Sneasel                 |    2 |   6.25% |  50.00% |
| 48   | Froslass / Camerupt                |    2 |   6.25% |  50.00% |
| 48   | Camerupt / Passimian               |    2 |   6.25% |  50.00% |
| 48   | Froslass / Whiscash                |    2 |   6.25% |  50.00% |
| 48   | Cryogonal / Whiscash               |    2 |   6.25% |  50.00% |
| 48   | Cryogonal / Venusaur               |    2 |   6.25% |  50.00% |
| 48   | Camerupt / Whimsicott              |    2 |   6.25% |  50.00% |
| 48   | Spiritomb / Mesprit                |    2 |   6.25% |  50.00% |
| 48   | Sandslash / Pyroar                 |    2 |   6.25% |  50.00% |
| 48   | Toxicroak / Clawitzer              |    2 |   6.25% |  50.00% |
| 48   | Clawitzer / Eelektross             |    2 |   6.25% |  50.00% |
| 48   | Toxicroak / Camerupt               |    2 |   6.25% |  50.00% |
| 48   | Sandslash / Venusaur               |    2 |   6.25% |   0.00% |
| 48   | Sandslash / Ursaring               |    2 |   6.25% |   0.00% |
| 48   | Toxicroak / Abomasnow              |    2 |   6.25% |   0.00% |
| 48   | Jolteon / Abomasnow                |    2 |   6.25% |   0.00% |
| 48   | Abomasnow / Mesprit                |    2 |   6.25% |   0.00% |
| 48   | Jolteon / Spiritomb                |    2 |   6.25% |   0.00% |
| 48   | Toxicroak / Jolteon                |    2 |   6.25% |   0.00% |
| 48   | Jolteon / Mesprit                  |    2 |   6.25% |   0.00% |
| 79   | Klawf / Camerupt                   |    1 |   3.12% | 100.00% |
| 79   | Klawf / Dipplin                    |    1 |   3.12% | 100.00% |
| 79   | Klawf / Skuntank                   |    1 |   3.12% | 100.00% |
| 79   | Klawf / Swanna                     |    1 |   3.12% | 100.00% |
| 79   | Froslass / Klawf                   |    1 |   3.12% | 100.00% |
| 79   | Camerupt / Dipplin                 |    1 |   3.12% | 100.00% |
| 79   | Skuntank / Dipplin                 |    1 |   3.12% | 100.00% |
| 79   | Dipplin / Swanna                   |    1 |   3.12% | 100.00% |
| 79   | Froslass / Dipplin                 |    1 |   3.12% | 100.00% |
| 79   | Froslass / Swanna                  |    1 |   3.12% | 100.00% |
| 79   | Arboliva / Sceptile                |    1 |   3.12% | 100.00% |
| 79   | Arboliva / Veluza                  |    1 |   3.12% | 100.00% |
| 79   | Bastiodon / Arboliva               |    1 |   3.12% | 100.00% |
| 79   | Farigiraf / Arboliva               |    1 |   3.12% | 100.00% |
| 79   | Drifblim / Arboliva                |    1 |   3.12% | 100.00% |
| 79   | Veluza / Sceptile                  |    1 |   3.12% | 100.00% |
| 79   | Bastiodon / Sceptile               |    1 |   3.12% | 100.00% |
| 79   | Farigiraf / Sceptile               |    1 |   3.12% | 100.00% |
| 79   | Drifblim / Sceptile                |    1 |   3.12% | 100.00% |
| 79   | Bastiodon / Veluza                 |    1 |   3.12% | 100.00% |
| 79   | Farigiraf / Veluza                 |    1 |   3.12% | 100.00% |
| 79   | Drifblim / Veluza                  |    1 |   3.12% | 100.00% |
| 79   | Farigiraf / Bastiodon              |    1 |   3.12% | 100.00% |
| 79   | Bastiodon / Drifblim               |    1 |   3.12% | 100.00% |
| 79   | Farigiraf / Drifblim               |    1 |   3.12% | 100.00% |
| 79   | Leafeon / Passimian                |    1 |   3.12% | 100.00% |
| 79   | Mesprit / Leafeon                  |    1 |   3.12% | 100.00% |
| 79   | Skuntank / Leafeon                 |    1 |   3.12% | 100.00% |
| 79   | Pyroar / Leafeon                   |    1 |   3.12% | 100.00% |
| 79   | Whiscash / Leafeon                 |    1 |   3.12% | 100.00% |
| 79   | Vikavolt / Mesprit                 |    1 |   3.12% | 100.00% |
| 79   | Muk / Mesprit                      |    1 |   3.12% | 100.00% |
| 79   | Hitmontop / Mesprit                |    1 |   3.12% | 100.00% |
| 79   | Vikavolt / Skuntank                |    1 |   3.12% | 100.00% |
| 79   | Vikavolt / Muk                     |    1 |   3.12% | 100.00% |
| 79   | Vikavolt / Whimsicott              |    1 |   3.12% | 100.00% |
| 79   | Vikavolt / Hitmontop               |    1 |   3.12% | 100.00% |
| 79   | Skuntank / Muk                     |    1 |   3.12% | 100.00% |
| 79   | Muk / Whimsicott                   |    1 |   3.12% | 100.00% |
| 79   | Hitmontop / Muk                    |    1 |   3.12% | 100.00% |
| 79   | Hitmontop / Whimsicott             |    1 |   3.12% | 100.00% |
| 79   | Cryogonal / Pyroar                 |    1 |   3.12% | 100.00% |
| 79   | Dodrio / Pyroar                    |    1 |   3.12% | 100.00% |
| 79   | Cryogonal / Passimian              |    1 |   3.12% | 100.00% |
| 79   | Cryogonal / Dodrio                 |    1 |   3.12% | 100.00% |
| 79   | Dodrio / Passimian                 |    1 |   3.12% | 100.00% |
| 79   | Whiscash / Dodrio                  |    1 |   3.12% | 100.00% |
| 79   | Dodrio / Venusaur                  |    1 |   3.12% | 100.00% |
| 79   | Whimsicott / Passimian             |    1 |   3.12% | 100.00% |
| 79   | Venusaur / Whimsicott              |    1 |   3.12% | 100.00% |
| 79   | Sandslash / Samurott               |    1 |   3.12% | 100.00% |
| 79   | Samurott / Mesprit                 |    1 |   3.12% | 100.00% |
| 79   | Skuntank / Samurott                |    1 |   3.12% | 100.00% |
| 79   | Samurott / Pyroar                  |    1 |   3.12% | 100.00% |
| 79   | Samurott / Passimian               |    1 |   3.12% | 100.00% |
| 79   | Venusaur / Eelektross              |    1 |   3.12% | 100.00% |
| 79   | Froslass / Mesprit                 |    1 |   3.12% | 100.00% |
| 79   | Froslass / Passimian               |    1 |   3.12% | 100.00% |
| 79   | Toxicroak / Naclstack              |    1 |   3.12% | 100.00% |
| 79   | Toxicroak / Sandaconda             |    1 |   3.12% | 100.00% |
| 79   | Naclstack / Pyroar                 |    1 |   3.12% | 100.00% |
| 79   | Swanna / Pyroar                    |    1 |   3.12% | 100.00% |
| 79   | Sandaconda / Pyroar                |    1 |   3.12% | 100.00% |
| 79   | Naclstack / Skuntank               |    1 |   3.12% | 100.00% |
| 79   | Naclstack / Swanna                 |    1 |   3.12% | 100.00% |
| 79   | Naclstack / Sandaconda             |    1 |   3.12% | 100.00% |
| 79   | Sandaconda / Swanna                |    1 |   3.12% | 100.00% |
| 79   | Eelektross / Sceptile              |    1 |   3.12% | 100.00% |
| 79   | Sandaconda / Eelektross            |    1 |   3.12% | 100.00% |
| 79   | Hitmontop / Eelektross             |    1 |   3.12% | 100.00% |
| 79   | Froslass / Sceptile                |    1 |   3.12% | 100.00% |
| 79   | Sandaconda / Sceptile              |    1 |   3.12% | 100.00% |
| 79   | Hitmontop / Sceptile               |    1 |   3.12% | 100.00% |
| 79   | Skuntank / Sceptile                |    1 |   3.12% | 100.00% |
| 79   | Froslass / Sandaconda              |    1 |   3.12% | 100.00% |
| 79   | Froslass / Hitmontop               |    1 |   3.12% | 100.00% |
| 79   | Hitmontop / Sandaconda             |    1 |   3.12% | 100.00% |
| 79   | Camerupt / Rotom                   |    1 |   3.12% | 100.00% |
| 79   | Camerupt / Sneasel                 |    1 |   3.12% | 100.00% |
| 79   | Venusaur / Swanna                  |    1 |   3.12% | 100.00% |
| 79   | Rotom / Swanna                     |    1 |   3.12% | 100.00% |
| 79   | Sneasel / Swanna                   |    1 |   3.12% | 100.00% |
| 79   | Rotom / Venusaur                   |    1 |   3.12% | 100.00% |
| 79   | Toxicroak / Rotom                  |    1 |   3.12% | 100.00% |
| 79   | Toxicroak / Sneasel                |    1 |   3.12% | 100.00% |
| 79   | Rotom / Sneasel                    |    1 |   3.12% | 100.00% |
| 79   | Spiritomb / Eelektross             |    1 |   3.12% | 100.00% |
| 79   | Skuntank / Spiritomb               |    1 |   3.12% | 100.00% |
| 79   | Sandslash / Spiritomb              |    1 |   3.12% | 100.00% |
| 79   | Basculin-Blue-Striped / Skuntank   |    1 |   3.12% | 100.00% |
| 79   | Basculin-Blue-Striped / Whimsicott |    1 |   3.12% | 100.00% |
| 79   | Basculin-Blue-Striped / Eelektross |    1 |   3.12% | 100.00% |
| 79   | Basculin-Blue-Striped / Mesprit    |    1 |   3.12% | 100.00% |
| 79   | Basculin-Blue-Striped / Pyroar     |    1 |   3.12% | 100.00% |
| 79   | Sneasel / Pyroar                   |    1 |   3.12% |   0.00% |
| 79   | Regirock / Venusaur                |    1 |   3.12% |   0.00% |
| 79   | Whiscash / Sneasel                 |    1 |   3.12% |   0.00% |
| 79   | Regirock / Whiscash                |    1 |   3.12% |   0.00% |
| 79   | Skuntank / Sneasel                 |    1 |   3.12% |   0.00% |
| 79   | Regirock / Sneasel                 |    1 |   3.12% |   0.00% |
| 79   | Skuntank / Regirock                |    1 |   3.12% |   0.00% |
| 79   | Lycanroc / Venusaur                |    1 |   3.12% |   0.00% |
| 79   | Venusaur / Crabominable            |    1 |   3.12% |   0.00% |
| 79   | Exeggutor-Alola / Venusaur         |    1 |   3.12% |   0.00% |
| 79   | Lycanroc / Crabominable            |    1 |   3.12% |   0.00% |
| 79   | Lycanroc / Exeggutor-Alola         |    1 |   3.12% |   0.00% |
