+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Mesprit            |   17 |  53.12% |  47.06% |
| 2    | Skuntank           |   16 |  50.00% |  62.50% |
| 3    | Venusaur           |   13 |  40.62% |  38.46% |
| 4    | Pyroar             |   12 |  37.50% |  66.67% |
| 5    | Toxicroak          |   11 |  34.38% |  54.55% |
| 5    | Passimian          |   11 |  34.38% |  45.45% |
| 7    | Eelektross         |    8 |  25.00% |  75.00% |
| 8    | Froslass           |    7 |  21.88% |  71.43% |
| 8    | Whimsicott         |    7 |  21.88% |  71.43% |
| 8    | Whiscash           |    7 |  21.88% |  42.86% |
| 8    | Sandslash          |    7 |  21.88% |  28.57% |
| 12   | Camerupt           |    6 |  18.75% |  50.00% |
| 12   | Clawitzer          |    6 |  18.75% |  16.67% |
| 14   | Swanna             |    4 |  12.50% |  75.00% |
| 14   | Jolteon            |    4 |  12.50% |   0.00% |
| 16   | Regirock           |    3 |   9.38% |  66.67% |
| 16   | Spiritomb          |    3 |   9.38% |  33.33% |
| 16   | Abomasnow          |    3 |   9.38% |   0.00% |
| 19   | Sceptile           |    2 |   6.25% | 100.00% |
| 19   | Hitmontop          |    2 |   6.25% | 100.00% |
| 19   | Sandaconda         |    2 |   6.25% | 100.00% |
| 19   | Sneasel            |    2 |   6.25% |  50.00% |
| 19   | Vikavolt           |    2 |   6.25% |  50.00% |
| 19   | Cryogonal          |    2 |   6.25% |  50.00% |
| 19   | Mismagius          |    2 |   6.25% |   0.00% |
| 19   | Ursaring           |    2 |   6.25% |   0.00% |
| 19   | Mabosstiff         |    2 |   6.25% |   0.00% |
| 28   | Klawf              |    1 |   3.12% | 100.00% |
| 28   | Dipplin            |    1 |   3.12% | 100.00% |
| 28   | Arboliva           |    1 |   3.12% | 100.00% |
| 28   | Veluza             |    1 |   3.12% | 100.00% |
| 28   | Bastiodon          |    1 |   3.12% | 100.00% |
| 28   | Farigiraf          |    1 |   3.12% | 100.00% |
| 28   | Drifblim           |    1 |   3.12% | 100.00% |
| 28   | Leafeon            |    1 |   3.12% | 100.00% |
| 28   | Muk                |    1 |   3.12% | 100.00% |
| 28   | Dodrio             |    1 |   3.12% | 100.00% |
| 28   | Samurott           |    1 |   3.12% | 100.00% |
| 28   | Naclstack          |    1 |   3.12% | 100.00% |
| 28   | Rotom              |    1 |   3.12% | 100.00% |
| 28   | Basculin-Blue-Striped |    1 |   3.12% | 100.00% |
| 28   | Lycanroc           |    1 |   3.12% |   0.00% |
| 28   | Crabominable       |    1 |   3.12% |   0.00% |
| 28   | Exeggutor-Alola    |    1 |   3.12% |   0.00% |
| 28   | Brute Bonnet       |    1 |   3.12% |   0.00% |
| 28   | Greedent           |    1 |   3.12% |   0.00% |
| 28   | Raichu-Alola       |    1 |   3.12% |   0.00% |
| 28   | Beartic            |    1 |   3.12% |   0.00% |
| 28   | Houndoom           |    1 |   3.12% |   0.00% |
| 28   | Weezing            |    1 |   3.12% |   0.00% |
| 28   | Sableye            |    1 |   3.12% |   0.00% |
| 28   | Rampardos          |    1 |   3.12% |   0.00% |
| 28   | Orthworm           |    1 |   3.12% |   0.00% |
| 28   | Toedscruel         |    1 |   3.12% |   0.00% |
| 28   | Ninetales          |    1 |   3.12% |   0.00% |
| 28   | Magmortar          |    1 |   3.12% |   0.00% |
