+ ---- + ------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2               | Use  | Usage % |  Win %  |
+ ---- + ------------------------- + ---- + ------- + ------- +
| 1    | Lairon / Persian          |    4 |  50.00% |  50.00% |
| 1    | Persian / Muk             |    4 |  50.00% |  50.00% |
| 1    | Lairon / Muk              |    4 |  50.00% |  50.00% |
| 4    | Grumpig / Meganium        |    3 |  37.50% |  66.67% |
| 4    | Persian / Wormadam-Trash  |    3 |  37.50% |  66.67% |
| 4    | Lairon / Wormadam-Trash   |    3 |  37.50% |  66.67% |
| 4    | Wormadam-Trash / Muk      |    3 |  37.50% |  66.67% |
| 4    | Meganium / Emolga         |    3 |  37.50% |  33.33% |
| 9    | Clefairy / Emolga         |    2 |  25.00% |  50.00% |
| 9    | Arbok / Emolga            |    2 |  25.00% |  50.00% |
| 9    | Clefairy / Arbok          |    2 |  25.00% |  50.00% |
| 9    | Clefairy / Walrein        |    2 |  25.00% |  50.00% |
| 9    | Clefairy / Meganium       |    2 |  25.00% |  50.00% |
| 9    | Arbok / Meganium          |    2 |  25.00% |  50.00% |
| 9    | Persian / Walrein         |    2 |  25.00% |  50.00% |
| 9    | Lairon / Walrein          |    2 |  25.00% |  50.00% |
| 9    | Walrein / Muk             |    2 |  25.00% |  50.00% |
| 9    | Walrein / Wormadam-Trash  |    2 |  25.00% |  50.00% |
| 9    | Raichu / Slaking          |    2 |  25.00% |  50.00% |
| 9    | Grumpig / Slaking         |    2 |  25.00% |  50.00% |
| 9    | Solrock / Slaking         |    2 |  25.00% |  50.00% |
| 9    | Slaking / Meganium        |    2 |  25.00% |  50.00% |
| 9    | Slaking / Mienfoo         |    2 |  25.00% |  50.00% |
| 9    | Grumpig / Raichu          |    2 |  25.00% |  50.00% |
| 9    | Raichu / Solrock          |    2 |  25.00% |  50.00% |
| 9    | Raichu / Meganium         |    2 |  25.00% |  50.00% |
| 9    | Raichu / Mienfoo          |    2 |  25.00% |  50.00% |
| 9    | Grumpig / Solrock         |    2 |  25.00% |  50.00% |
| 9    | Grumpig / Mienfoo         |    2 |  25.00% |  50.00% |
| 9    | Solrock / Meganium        |    2 |  25.00% |  50.00% |
| 9    | Solrock / Mienfoo         |    2 |  25.00% |  50.00% |
| 9    | Mienfoo / Meganium        |    2 |  25.00% |  50.00% |
| 9    | Emolga / Muk              |    2 |  25.00% |  50.00% |
| 9    | Lairon / Emolga           |    2 |  25.00% |  50.00% |
| 9    | Persian / Emolga          |    2 |  25.00% |  50.00% |
| 9    | Meganium / Walrein        |    2 |  25.00% |   0.00% |
| 9    | Persian / Meganium        |    2 |  25.00% |   0.00% |
| 9    | Lairon / Meganium         |    2 |  25.00% |   0.00% |
| 9    | Meganium / Muk            |    2 |  25.00% |   0.00% |
| 40   | Grumpig / Arbok           |    1 |  12.50% | 100.00% |
| 40   | Corsola / Arbok           |    1 |  12.50% | 100.00% |
| 40   | Grumpig / Clefairy        |    1 |  12.50% | 100.00% |
| 40   | Corsola / Clefairy        |    1 |  12.50% | 100.00% |
| 40   | Grumpig / Corsola         |    1 |  12.50% | 100.00% |
| 40   | Grumpig / Emolga          |    1 |  12.50% | 100.00% |
| 40   | Corsola / Meganium        |    1 |  12.50% | 100.00% |
| 40   | Corsola / Emolga          |    1 |  12.50% | 100.00% |
| 40   | Clefairy / Persian        |    1 |  12.50% | 100.00% |
| 40   | Lairon / Clefairy         |    1 |  12.50% | 100.00% |
| 40   | Clefairy / Muk            |    1 |  12.50% | 100.00% |
| 40   | Clefairy / Wormadam-Trash |    1 |  12.50% | 100.00% |
| 40   | Frillish / Muk            |    1 |  12.50% | 100.00% |
| 40   | Lairon / Frillish         |    1 |  12.50% | 100.00% |
| 40   | Wormadam-Trash / Emolga   |    1 |  12.50% | 100.00% |
| 40   | Frillish / Emolga         |    1 |  12.50% | 100.00% |
| 40   | Frillish / Wormadam-Trash |    1 |  12.50% | 100.00% |
| 40   | Persian / Frillish        |    1 |  12.50% | 100.00% |
| 40   | Hippopotas / Emolga       |    1 |  12.50% |   0.00% |
| 40   | Walrein / Emolga          |    1 |  12.50% |   0.00% |
| 40   | Clefairy / Hippopotas     |    1 |  12.50% |   0.00% |
| 40   | Arbok / Hippopotas        |    1 |  12.50% |   0.00% |
| 40   | Arbok / Walrein           |    1 |  12.50% |   0.00% |
| 40   | Hippopotas / Walrein      |    1 |  12.50% |   0.00% |
| 40   | Hippopotas / Meganium     |    1 |  12.50% |   0.00% |
| 40   | Meganium / Wormadam-Trash |    1 |  12.50% |   0.00% |
| 40   | Emolga / Staryu           |    1 |  12.50% |   0.00% |
| 40   | Persian / Staryu          |    1 |  12.50% |   0.00% |
| 40   | Muk / Staryu              |    1 |  12.50% |   0.00% |
| 40   | Meganium / Staryu         |    1 |  12.50% |   0.00% |
| 40   | Lairon / Staryu           |    1 |  12.50% |   0.00% |

+ ---- + ----------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 3                         | Use  | Usage % |  Win %  |
+ ---- + ----------------------------------- + ---- + ------- + ------- +
| 1    | Lairon / Persian / Muk              |    4 |  50.00% |  50.00% |
| 2    | Lairon / Persian / Wormadam-Trash   |    3 |  37.50% |  66.67% |
| 2    | Persian / Wormadam-Trash / Muk      |    3 |  37.50% |  66.67% |
| 2    | Lairon / Wormadam-Trash / Muk       |    3 |  37.50% |  66.67% |
| 5    | Clefairy / Arbok / Emolga           |    2 |  25.00% |  50.00% |
| 5    | Meganium / Clefairy / Emolga        |    2 |  25.00% |  50.00% |
| 5    | Meganium / Arbok / Emolga           |    2 |  25.00% |  50.00% |
| 5    | Clefairy / Arbok / Meganium         |    2 |  25.00% |  50.00% |
| 5    | Lairon / Persian / Walrein          |    2 |  25.00% |  50.00% |
| 5    | Walrein / Persian / Muk             |    2 |  25.00% |  50.00% |
| 5    | Walrein / Persian / Wormadam-Trash  |    2 |  25.00% |  50.00% |
| 5    | Walrein / Lairon / Muk              |    2 |  25.00% |  50.00% |
| 5    | Walrein / Lairon / Wormadam-Trash   |    2 |  25.00% |  50.00% |
| 5    | Walrein / Wormadam-Trash / Muk      |    2 |  25.00% |  50.00% |
| 5    | Grumpig / Raichu / Slaking          |    2 |  25.00% |  50.00% |
| 5    | Solrock / Raichu / Slaking          |    2 |  25.00% |  50.00% |
| 5    | Raichu / Slaking / Meganium         |    2 |  25.00% |  50.00% |
| 5    | Raichu / Slaking / Mienfoo          |    2 |  25.00% |  50.00% |
| 5    | Grumpig / Solrock / Slaking         |    2 |  25.00% |  50.00% |
| 5    | Grumpig / Slaking / Meganium        |    2 |  25.00% |  50.00% |
| 5    | Grumpig / Slaking / Mienfoo         |    2 |  25.00% |  50.00% |
| 5    | Solrock / Slaking / Meganium        |    2 |  25.00% |  50.00% |
