+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Meganium           |    6 |  75.00% |  33.33% |
| 2    | Emolga             |    4 |  50.00% |  50.00% |
| 2    | Persian            |    4 |  50.00% |  50.00% |
| 2    | Lairon             |    4 |  50.00% |  50.00% |
| 2    | Muk                |    4 |  50.00% |  50.00% |
| 6    | Clefairy           |    3 |  37.50% |  66.67% |
| 6    | Grumpig            |    3 |  37.50% |  66.67% |
| 6    | Wormadam-Trash     |    3 |  37.50% |  66.67% |
| 6    | Walrein            |    3 |  37.50% |  33.33% |
| 10   | Arbok              |    2 |  25.00% |  50.00% |
| 10   | Slaking            |    2 |  25.00% |  50.00% |
| 10   | Raichu             |    2 |  25.00% |  50.00% |
| 10   | Solrock            |    2 |  25.00% |  50.00% |
| 10   | Mienfoo            |    2 |  25.00% |  50.00% |
| 15   | Corsola            |    1 |  12.50% | 100.00% |
| 15   | Frillish           |    1 |  12.50% | 100.00% |
| 15   | Hippopotas         |    1 |  12.50% |   0.00% |
| 15   | Staryu             |    1 |  12.50% |   0.00% |
