+ ---- + -------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                | Use  | Usage % |  Win %  |
+ ---- + -------------------------- + ---- + ------- + ------- +
| 1    | Probopass / Persian        |    3 |  37.50% |  66.67% |
| 1    | Probopass / Carnivine      |    3 |  37.50% |  66.67% |
| 1    | Wailord / Wormadam-Trash   |    3 |  37.50% |  33.33% |
| 4    | Carnivine / Persian        |    2 |  25.00% | 100.00% |
| 4    | Probopass / Gloom          |    2 |  25.00% |  50.00% |
| 4    | Luxray / Granbull          |    2 |  25.00% |  50.00% |
| 4    | Persian / Wailord          |    2 |  25.00% |  50.00% |
| 4    | Persian / Wormadam-Trash   |    2 |  25.00% |  50.00% |
| 4    | Probopass / Wailord        |    2 |  25.00% |  50.00% |
| 4    | Carnivine / Wailord        |    2 |  25.00% |  50.00% |
| 4    | Persian / Camerupt         |    2 |  25.00% |   0.00% |
| 4    | Luxray / Camerupt          |    2 |  25.00% |   0.00% |
| 4    | Luxray / Wailord           |    2 |  25.00% |   0.00% |
| 4    | Luxray / Wormadam-Trash    |    2 |  25.00% |   0.00% |
| 4    | Wailord / Camerupt         |    2 |  25.00% |   0.00% |
| 4    | Wormadam-Trash / Camerupt  |    2 |  25.00% |   0.00% |
| 17   | Gloom / Octillery          |    1 |  12.50% | 100.00% |
| 17   | Probopass / Octillery      |    1 |  12.50% | 100.00% |
| 17   | Octillery / Stantler       |    1 |  12.50% | 100.00% |
| 17   | Gloom / Stantler           |    1 |  12.50% | 100.00% |
| 17   | Probopass / Stantler       |    1 |  12.50% | 100.00% |
| 17   | Dunsparce / Luxray         |    1 |  12.50% | 100.00% |
| 17   | Dunsparce / Pelipper       |    1 |  12.50% | 100.00% |
| 17   | Gloom / Dunsparce          |    1 |  12.50% | 100.00% |
| 17   | Dunsparce / Granbull       |    1 |  12.50% | 100.00% |
| 17   | Pelipper / Luxray          |    1 |  12.50% | 100.00% |
