+ ---- + ---------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                  | Use  | Usage % |  Win %  |
+ ---- + ---------------------------- + ---- + ------- + ------- +
| 1    | Servine / Gigalith           |    2 |  25.00% | 100.00% |
| 1    | Quilladin / Simipour         |    2 |  25.00% |  50.00% |
| 1    | Mightyena / Simipour         |    2 |  25.00% |  50.00% |
| 1    | Swalot / Servine             |    2 |  25.00% |  50.00% |
| 1    | Servine / Seaking            |    2 |  25.00% |  50.00% |
| 1    | Krokorok / Pignite           |    2 |  25.00% |   0.00% |
| 7    | Marshtomp / Glalie           |    1 |  12.50% | 100.00% |
| 7    | Gourgeist-* / Glalie         |    1 |  12.50% | 100.00% |
| 7    | Pignite / Glalie             |    1 |  12.50% | 100.00% |
| 7    | Persian / Glalie             |    1 |  12.50% | 100.00% |
| 7    | Meowstic-F / Glalie          |    1 |  12.50% | 100.00% |
| 7    | Gourgeist-Small / Glalie     |    1 |  12.50% | 100.00% |
| 7    | Marshtomp / Gourgeist-*      |    1 |  12.50% | 100.00% |
| 7    | Marshtomp / Pignite          |    1 |  12.50% | 100.00% |
| 7    | Marshtomp / Persian          |    1 |  12.50% | 100.00% |
| 7    | Marshtomp / Meowstic-F       |    1 |  12.50% | 100.00% |
| 7    | Marshtomp / Gourgeist-Small  |    1 |  12.50% | 100.00% |
| 7    | Gourgeist-* / Pignite        |    1 |  12.50% | 100.00% |
| 7    | Persian / Gourgeist-*        |    1 |  12.50% | 100.00% |
| 7    | Gourgeist-* / Meowstic-F     |    1 |  12.50% | 100.00% |
| 7    | Persian / Pignite            |    1 |  12.50% | 100.00% |
| 7    | Pignite / Meowstic-F         |    1 |  12.50% | 100.00% |
| 7    | Gourgeist-Small / Pignite    |    1 |  12.50% | 100.00% |
| 7    | Persian / Meowstic-F         |    1 |  12.50% | 100.00% |
| 7    | Persian / Gourgeist-Small    |    1 |  12.50% | 100.00% |
| 7    | Gourgeist-Small / Meowstic-F |    1 |  12.50% | 100.00% |
| 7    | Mightyena / Quilladin        |    1 |  12.50% | 100.00% |
| 7    | Mightyena / Lunatone         |    1 |  12.50% | 100.00% |
| 7    | Mightyena / Meowstic-F       |    1 |  12.50% | 100.00% |
