+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Servine            |    3 |  37.50% |  66.67% |
| 1    | Simipour           |    3 |  37.50% |  33.33% |
| 1    | Pignite            |    3 |  37.50% |  33.33% |
| 1    | Krokorok           |    3 |  37.50% |   0.00% |
| 5    | Persian            |    2 |  25.00% | 100.00% |
| 5    | Meowstic-F         |    2 |  25.00% | 100.00% |
| 5    | Gigalith           |    2 |  25.00% | 100.00% |
| 5    | Quilladin          |    2 |  25.00% |  50.00% |
| 5    | Mightyena          |    2 |  25.00% |  50.00% |
| 5    | Swalot             |    2 |  25.00% |  50.00% |
| 5    | Seaking            |    2 |  25.00% |  50.00% |
| 12   | Glalie             |    1 |  12.50% | 100.00% |
| 12   | Marshtomp          |    1 |  12.50% | 100.00% |
| -    | Gourgeist-*        |    1 |  12.50% | 100.00% |
| 12   | Gourgeist-Small    |    1 |  12.50% | 100.00% |
| 12   | Lunatone           |    1 |  12.50% | 100.00% |
| 12   | Banette            |    1 |  12.50% | 100.00% |
| 12   | Whirlipede         |    1 |  12.50% | 100.00% |
| 12   | Natu               |    1 |  12.50% | 100.00% |
| 12   | Illumise           |    1 |  12.50% | 100.00% |
| 12   | Mienfoo            |    1 |  12.50% | 100.00% |
| 12   | Duosion            |    1 |  12.50% | 100.00% |
| 12   | Dusclops           |    1 |  12.50% |   0.00% |
| 12   | Pikachu            |    1 |  12.50% |   0.00% |
| 12   | Solrock            |    1 |  12.50% |   0.00% |
| 12   | Frogadier          |    1 |  12.50% |   0.00% |
| 12   | Electabuzz         |    1 |  12.50% |   0.00% |
| 12   | Dustox             |    1 |  12.50% |   0.00% |
| 12   | Carbink            |    1 |  12.50% |   0.00% |
| 12   | Meganium           |    1 |  12.50% |   0.00% |
| 12   | Kricketune         |    1 |  12.50% |   0.00% |
| 12   | Bibarel            |    1 |  12.50% |   0.00% |
| 12   | Sawsbuck           |    1 |  12.50% |   0.00% |
| 12   | Wigglytuff         |    1 |  12.50% |   0.00% |
