+ ---- + ---------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                  | Use  | Usage % |  Win %  |
+ ---- + ---------------------------- + ---- + ------- + ------- +
| 1    | Golem / Silvally             |    8 |  57.14% |  50.00% |
| 2    | Electivire / Silvally        |    4 |  28.57% |  50.00% |
| 3    | Silvally / Wishiwashi        |    3 |  21.43% |  66.67% |
| 3    | Silvally / Purugly           |    3 |  21.43% |  66.67% |
| 3    | Torterra / Silvally          |    3 |  21.43% |  66.67% |
| 3    | Electivire / Golem           |    3 |  21.43% |  33.33% |
| 3    | Silvally / Simisage          |    3 |  21.43% |  33.33% |
| 3    | Golem / Simisage             |    3 |  21.43% |  33.33% |
| 3    | Furfrou / Silvally           |    3 |  21.43% |  33.33% |
| 10   | Golem / Wishiwashi           |    2 |  14.29% | 100.00% |
| 10   | Golem / Purugly              |    2 |  14.29% | 100.00% |
| 10   | Ditto / Leafeon              |    2 |  14.29% | 100.00% |
| 10   | Electivire / Chatot          |    2 |  14.29% |  50.00% |
| 10   | Golem / Chatot               |    2 |  14.29% |  50.00% |
| 10   | Silvally / Chatot            |    2 |  14.29% |  50.00% |
| 10   | Golem / Furfrou              |    2 |  14.29% |  50.00% |
| 10   | Golem / Ditto                |    2 |  14.29% |  50.00% |
| 10   | Silvally / Ditto             |    2 |  14.29% |  50.00% |
| 10   | Silvally / Shuckle           |    2 |  14.29% |  50.00% |
| 10   | Silvally / Gourgeist-*       |    2 |  14.29% |  50.00% |
| 10   | Furfrou / Gourgeist-*        |    2 |  14.29% |  50.00% |
| 10   | Silvally / Gourgeist-Super   |    2 |  14.29% |  50.00% |
| 10   | Furfrou / Gourgeist-Super    |    2 |  14.29% |  50.00% |
| 10   | Ditto / Muk                  |    2 |  14.29% |  50.00% |
| 10   | Silvally / Dusclops          |    2 |  14.29% |  50.00% |
| 10   | Torterra / Swanna            |    2 |  14.29% |  50.00% |
| 10   | Silvally / Swanna            |    2 |  14.29% |  50.00% |
| 10   | Golem / Kecleon              |    2 |  14.29% |  50.00% |
| 10   | Kecleon / Silvally           |    2 |  14.29% |  50.00% |
| 10   | Silvally / Muk               |    2 |  14.29% |  50.00% |
| 10   | Golem / Muk                  |    2 |  14.29% |  50.00% |
| 10   | Kadabra / Silvally           |    2 |  14.29% |   0.00% |
| 33   | Servine / Wishiwashi         |    1 |   7.14% | 100.00% |
| 33   | Electivire / Servine         |    1 |   7.14% | 100.00% |
| 33   | Golem / Servine              |    1 |   7.14% | 100.00% |
| 33   | Servine / Chatot             |    1 |   7.14% | 100.00% |
| 33   | Servine / Silvally           |    1 |   7.14% | 100.00% |
| 33   | Electivire / Wishiwashi      |    1 |   7.14% | 100.00% |
| 33   | Wishiwashi / Chatot          |    1 |   7.14% | 100.00% |
| 33   | Silvally / Bronzor           |    1 |   7.14% | 100.00% |
| 33   | Golem / Bronzor              |    1 |   7.14% | 100.00% |
| 33   | Simisage / Bronzor           |    1 |   7.14% | 100.00% |
| 33   | Beheeyem / Bronzor           |    1 |   7.14% | 100.00% |
| 33   | Purugly / Bronzor            |    1 |   7.14% | 100.00% |
| 33   | Beheeyem / Silvally          |    1 |   7.14% | 100.00% |
| 33   | Beheeyem / Golem             |    1 |   7.14% | 100.00% |
| 33   | Beheeyem / Simisage          |    1 |   7.14% | 100.00% |
| 33   | Simisage / Purugly           |    1 |   7.14% | 100.00% |
| 33   | Beheeyem / Purugly           |    1 |   7.14% | 100.00% |
| 33   | Golem / Leafeon              |    1 |   7.14% | 100.00% |
| 33   | Wishiwashi / Purugly         |    1 |   7.14% | 100.00% |
| 33   | Ditto / Wishiwashi           |    1 |   7.14% | 100.00% |
| 33   | Wishiwashi / Leafeon         |    1 |   7.14% | 100.00% |
| 33   | Silvally / Leafeon           |    1 |   7.14% | 100.00% |
| 33   | Ditto / Purugly              |    1 |   7.14% | 100.00% |
| 33   | Purugly / Leafeon            |    1 |   7.14% | 100.00% |
| 33   | Mawile / Leafeon             |    1 |   7.14% | 100.00% |
| 33   | Sandslash / Mawile           |    1 |   7.14% | 100.00% |
| 33   | Mawile / Lickilicky          |    1 |   7.14% | 100.00% |
| 33   | Mawile / Muk                 |    1 |   7.14% | 100.00% |
| 33   | Ditto / Mawile               |    1 |   7.14% | 100.00% |
| 33   | Sandslash / Leafeon          |    1 |   7.14% | 100.00% |
| 33   | Lickilicky / Leafeon         |    1 |   7.14% | 100.00% |
| 33   | Muk / Leafeon                |    1 |   7.14% | 100.00% |
| 33   | Sandslash / Lickilicky       |    1 |   7.14% | 100.00% |
| 33   | Sandslash / Muk              |    1 |   7.14% | 100.00% |
| 33   | Sandslash / Ditto            |    1 |   7.14% | 100.00% |
| 33   | Muk / Lickilicky             |    1 |   7.14% | 100.00% |
| 33   | Ditto / Lickilicky           |    1 |   7.14% | 100.00% |
| 33   | Dusclops / Granbull          |    1 |   7.14% | 100.00% |
| 33   | Swanna / Granbull            |    1 |   7.14% | 100.00% |
| 33   | Electivire / Granbull        |    1 |   7.14% | 100.00% |
| 33   | Torterra / Granbull          |    1 |   7.14% | 100.00% |
| 33   | Silvally / Granbull          |    1 |   7.14% | 100.00% |
| 33   | Swanna / Dusclops            |    1 |   7.14% | 100.00% |
| 33   | Electivire / Dusclops        |    1 |   7.14% | 100.00% |
| 33   | Torterra / Dusclops          |    1 |   7.14% | 100.00% |
| 33   | Electivire / Swanna          |    1 |   7.14% | 100.00% |
| 33   | Electivire / Torterra        |    1 |   7.14% | 100.00% |
| 33   | Torterra / Misdreavus        |    1 |   7.14% | 100.00% |
| 33   | Misdreavus / Simipour        |    1 |   7.14% | 100.00% |
| 33   | Misdreavus / Shuckle         |    1 |   7.14% | 100.00% |
| 33   | Misdreavus / Arbok           |    1 |   7.14% | 100.00% |
| 33   | Misdreavus / Silvally        |    1 |   7.14% | 100.00% |
| 33   | Torterra / Simipour          |    1 |   7.14% | 100.00% |
| 33   | Torterra / Shuckle           |    1 |   7.14% | 100.00% |
| 33   | Torterra / Arbok             |    1 |   7.14% | 100.00% |
| 33   | Shuckle / Simipour           |    1 |   7.14% | 100.00% |
| 33   | Arbok / Simipour             |    1 |   7.14% | 100.00% |
| 33   | Silvally / Simipour          |    1 |   7.14% | 100.00% |
| 33   | Arbok / Shuckle              |    1 |   7.14% | 100.00% |
| 33   | Silvally / Arbok             |    1 |   7.14% | 100.00% |
| 33   | Golem / Gourgeist-*          |    1 |   7.14% | 100.00% |
| 33   | Golem / Gourgeist-Super      |    1 |   7.14% | 100.00% |
| 33   | Furfrou / Muk                |    1 |   7.14% | 100.00% |
| 33   | Furfrou / Kecleon            |    1 |   7.14% | 100.00% |
| 33   | Gourgeist-* / Muk            |    1 |   7.14% | 100.00% |
| 33   | Kecleon / Gourgeist-*        |    1 |   7.14% | 100.00% |
| 33   | Kecleon / Muk                |    1 |   7.14% | 100.00% |
| 33   | Gourgeist-Super / Muk        |    1 |   7.14% | 100.00% |
| 33   | Kecleon / Gourgeist-Super    |    1 |   7.14% | 100.00% |
| 33   | Rapidash / Bronzor           |    1 |   7.14% |   0.00% |
| 33   | Electivire / Rapidash        |    1 |   7.14% |   0.00% |
| 33   | Rapidash / Ditto             |    1 |   7.14% |   0.00% |
| 33   | Rapidash / Gourgeist-*       |    1 |   7.14% |   0.00% |
| 33   | Rapidash / Simipour          |    1 |   7.14% |   0.00% |
| 33   | Rapidash / Gourgeist-Super   |    1 |   7.14% |   0.00% |
| 33   | Electivire / Bronzor         |    1 |   7.14% |   0.00% |
| 33   | Ditto / Bronzor              |    1 |   7.14% |   0.00% |
| 33   | Bronzor / Gourgeist-*        |    1 |   7.14% |   0.00% |
| 33   | Bronzor / Simipour           |    1 |   7.14% |   0.00% |
| 33   | Bronzor / Gourgeist-Super    |    1 |   7.14% |   0.00% |
| 33   | Electivire / Ditto           |    1 |   7.14% |   0.00% |
| 33   | Electivire / Gourgeist-*     |    1 |   7.14% |   0.00% |
| 33   | Electivire / Simipour        |    1 |   7.14% |   0.00% |
| 33   | Electivire / Gourgeist-Super |    1 |   7.14% |   0.00% |
| 33   | Ditto / Gourgeist-*          |    1 |   7.14% |   0.00% |
| 33   | Ditto / Simipour             |    1 |   7.14% |   0.00% |
| 33   | Ditto / Gourgeist-Super      |    1 |   7.14% |   0.00% |
| 33   | Gourgeist-* / Simipour       |    1 |   7.14% |   0.00% |
| 33   | Gourgeist-Super / Simipour   |    1 |   7.14% |   0.00% |
| 33   | Poliwrath / Kadabra          |    1 |   7.14% |   0.00% |
| 33   | Kadabra / Golem              |    1 |   7.14% |   0.00% |
| 33   | Kadabra / Furfrou            |    1 |   7.14% |   0.00% |
| 33   | Electivire / Kadabra         |    1 |   7.14% |   0.00% |
| 33   | Poliwrath / Golem            |    1 |   7.14% |   0.00% |
| 33   | Poliwrath / Furfrou          |    1 |   7.14% |   0.00% |
| 33   | Poliwrath / Silvally         |    1 |   7.14% |   0.00% |
| 33   | Electivire / Poliwrath       |    1 |   7.14% |   0.00% |
| 33   | Electivire / Furfrou         |    1 |   7.14% |   0.00% |
| 33   | Kadabra / Shuckle            |    1 |   7.14% |   0.00% |
| 33   | Purugly / Shuckle            |    1 |   7.14% |   0.00% |
| 33   | Trevenant / Shuckle          |    1 |   7.14% |   0.00% |
| 33   | Raichu / Shuckle             |    1 |   7.14% |   0.00% |
| 33   | Kadabra / Purugly            |    1 |   7.14% |   0.00% |
| 33   | Kadabra / Trevenant          |    1 |   7.14% |   0.00% |
| 33   | Raichu / Kadabra             |    1 |   7.14% |   0.00% |
| 33   | Trevenant / Purugly          |    1 |   7.14% |   0.00% |
| 33   | Raichu / Purugly             |    1 |   7.14% |   0.00% |
| 33   | Silvally / Trevenant         |    1 |   7.14% |   0.00% |
| 33   | Raichu / Trevenant           |    1 |   7.14% |   0.00% |
| 33   | Raichu / Silvally            |    1 |   7.14% |   0.00% |
| 33   | Mawile / Gourgeist-*         |    1 |   7.14% |   0.00% |
| 33   | Gourgeist-* / Camerupt       |    1 |   7.14% |   0.00% |
| 33   | Wishiwashi / Gourgeist-*     |    1 |   7.14% |   0.00% |
| 33   | Silvally / Mawile            |    1 |   7.14% |   0.00% |
| 33   | Mawile / Camerupt            |    1 |   7.14% |   0.00% |
| 33   | Furfrou / Mawile             |    1 |   7.14% |   0.00% |
| 33   | Mawile / Wishiwashi          |    1 |   7.14% |   0.00% |
| 33   | Mawile / Gourgeist-Super     |    1 |   7.14% |   0.00% |
| 33   | Silvally / Camerupt          |    1 |   7.14% |   0.00% |
| 33   | Furfrou / Camerupt           |    1 |   7.14% |   0.00% |
| 33   | Wishiwashi / Camerupt        |    1 |   7.14% |   0.00% |
| 33   | Gourgeist-Super / Camerupt   |    1 |   7.14% |   0.00% |
| 33   | Furfrou / Wishiwashi         |    1 |   7.14% |   0.00% |
| 33   | Wishiwashi / Gourgeist-Super |    1 |   7.14% |   0.00% |
| 33   | Grimer-Alola / Silvally      |    1 |   7.14% |   0.00% |
| 33   | Grimer-Alola / Chatot        |    1 |   7.14% |   0.00% |
| 33   | Simisage / Chatot            |    1 |   7.14% |   0.00% |
| 33   | Golem / Grimer-Alola         |    1 |   7.14% |   0.00% |
| 33   | Electivire / Grimer-Alola    |    1 |   7.14% |   0.00% |
