+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Wishiwashi              |    2 |  14.29% | 100.00% |
| 1    | Shuckle                 |    2 |  14.29% |  50.00% |
| 3    | Bronzor                 |    1 |   7.14% | 100.00% |
| 3    | Lickilicky              |    1 |   7.14% | 100.00% |
| 3    | Torterra                |    1 |   7.14% | 100.00% |
| 3    | Golem                   |    1 |   7.14% | 100.00% |
| 3    | Gourgeist-Super         |    1 |   7.14% |   0.00% |
| 3    | Furfrou                 |    1 |   7.14% |   0.00% |
| 3    | Camerupt                |    1 |   7.14% |   0.00% |
| 3    | Simisage                |    1 |   7.14% |   0.00% |
| 3    | Rapidash                |    1 |   7.14% |   0.00% |
| 3    | Muk                     |    1 |   7.14% |   0.00% |
