+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Silvally           |   12 |  85.71% |  50.00% |
| 2    | Golem              |    8 |  57.14% |  50.00% |
| 3    | Electivire         |    5 |  35.71% |  40.00% |
| 4    | Ditto              |    4 |  28.57% |  50.00% |
| 5    | Wishiwashi         |    3 |  21.43% |  66.67% |
| 5    | Purugly            |    3 |  21.43% |  66.67% |
| 5    | Muk                |    3 |  21.43% |  66.67% |
| 5    | Torterra           |    3 |  21.43% |  66.67% |
| -    | Gourgeist-*        |    3 |  21.43% |  33.33% |
| 5    | Gourgeist-Super    |    3 |  21.43% |  33.33% |
| 5    | Simisage           |    3 |  21.43% |  33.33% |
| 5    | Furfrou            |    3 |  21.43% |  33.33% |
| 12   | Leafeon            |    2 |  14.29% | 100.00% |
| 12   | Bronzor            |    2 |  14.29% |  50.00% |
| 12   | Simipour           |    2 |  14.29% |  50.00% |
| 12   | Chatot             |    2 |  14.29% |  50.00% |
| 12   | Shuckle            |    2 |  14.29% |  50.00% |
| 12   | Mawile             |    2 |  14.29% |  50.00% |
| 12   | Dusclops           |    2 |  14.29% |  50.00% |
| 12   | Swanna             |    2 |  14.29% |  50.00% |
| 12   | Kecleon            |    2 |  14.29% |  50.00% |
| 12   | Rapidash           |    2 |  14.29% |   0.00% |
| 12   | Kadabra            |    2 |  14.29% |   0.00% |
| 23   | Servine            |    1 |   7.14% | 100.00% |
| 23   | Beheeyem           |    1 |   7.14% | 100.00% |
| 23   | Sandslash          |    1 |   7.14% | 100.00% |
| 23   | Lickilicky         |    1 |   7.14% | 100.00% |
| 23   | Granbull           |    1 |   7.14% | 100.00% |
| 23   | Misdreavus         |    1 |   7.14% | 100.00% |
| 23   | Arbok              |    1 |   7.14% | 100.00% |
| 23   | Poliwrath          |    1 |   7.14% |   0.00% |
| 23   | Trevenant          |    1 |   7.14% |   0.00% |
| 23   | Raichu             |    1 |   7.14% |   0.00% |
| 23   | Camerupt           |    1 |   7.14% |   0.00% |
| 23   | Grimer-Alola       |    1 |   7.14% |   0.00% |
