+ ---- + ------------------------------ + ---- + ------- + ------- +
| Rank | Combos of 2                    | Use  | Usage % |  Win %  |
+ ---- + ------------------------------ + ---- + ------- + ------- +
| 1    | Qwilfish / Throh               |    4 |  25.00% |  25.00% |
| 1    | Miltank / Throh                |    4 |  25.00% |  25.00% |
| 1    | Articuno / Miltank             |    4 |  25.00% |  25.00% |
| 4    | Rotom / Rhydon                 |    3 |  18.75% | 100.00% |
| 4    | Rotom / Silvally               |    3 |  18.75% | 100.00% |
| 4    | Stunfisk / Miltank             |    3 |  18.75% |  33.33% |
| 4    | Dugtrio-Alola / Throh          |    3 |  18.75% |   0.00% |
| 8    | Rhydon / Miltank               |    2 |  12.50% | 100.00% |
| 8    | Rotom / Miltank                |    2 |  12.50% | 100.00% |
| 8    | Accelgor / Rotom               |    2 |  12.50% | 100.00% |
| 8    | Rapidash-Galar / Rotom         |    2 |  12.50% | 100.00% |
| 8    | Rapidash-Galar / Stunfisk      |    2 |  12.50% | 100.00% |
| 8    | Rotom / Stunfisk               |    2 |  12.50% | 100.00% |
| 8    | Rotom / Roselia                |    2 |  12.50% | 100.00% |
| 8    | Rotom / Uxie                   |    2 |  12.50% | 100.00% |
| 8    | Qwilfish / Miltank             |    2 |  12.50% |  50.00% |
| 8    | Accelgor / Qwilfish            |    2 |  12.50% |  50.00% |
| 8    | Stunfisk / Altaria             |    2 |  12.50% |  50.00% |
| 8    | Accelgor / Silvally            |    2 |  12.50% |  50.00% |
| 8    | Qwilfish / Articuno            |    2 |  12.50% |   0.00% |
| 8    | Dugtrio-Alola / Qwilfish       |    2 |  12.50% |   0.00% |
| 8    | Articuno / Throh               |    2 |  12.50% |   0.00% |
| 8    | Thwackey / Throh               |    2 |  12.50% |   0.00% |
| 8    | Dugtrio-Alola / Articuno       |    2 |  12.50% |   0.00% |
| 8    | Dugtrio-Alola / Thwackey       |    2 |  12.50% |   0.00% |
| 8    | Dugtrio-Alola / Miltank        |    2 |  12.50% |   0.00% |
| 27   | Rhydon / Throh                 |    1 |   6.25% | 100.00% |
| 27   | Qwilfish / Rhydon              |    1 |   6.25% | 100.00% |
| 27   | Accelgor / Rhydon              |    1 |   6.25% | 100.00% |
| 27   | Rotom / Throh                  |    1 |   6.25% | 100.00% |
| 27   | Rotom / Qwilfish               |    1 |   6.25% | 100.00% |
| 27   | Accelgor / Throh               |    1 |   6.25% | 100.00% |
| 27   | Accelgor / Miltank             |    1 |   6.25% | 100.00% |
| 27   | Rapidash-Galar / Shiftry       |    1 |   6.25% | 100.00% |
| 27   | Rapidash-Galar / Altaria       |    1 |   6.25% | 100.00% |
| 27   | Rapidash-Galar / Silvally      |    1 |   6.25% | 100.00% |
| 27   | Rotom / Shiftry                |    1 |   6.25% | 100.00% |
| 27   | Stunfisk / Shiftry             |    1 |   6.25% | 100.00% |
| 27   | Shiftry / Altaria              |    1 |   6.25% | 100.00% |
| 27   | Shiftry / Silvally             |    1 |   6.25% | 100.00% |
| 27   | Rotom / Altaria                |    1 |   6.25% | 100.00% |
| 27   | Stunfisk / Silvally            |    1 |   6.25% | 100.00% |
| 27   | Altaria / Silvally             |    1 |   6.25% | 100.00% |
| 27   | Uxie / Carracosta              |    1 |   6.25% | 100.00% |
| 27   | Carracosta / Liepard           |    1 |   6.25% | 100.00% |
| 27   | Shiftry / Carracosta           |    1 |   6.25% | 100.00% |
| 27   | Carracosta / Ivysaur           |    1 |   6.25% | 100.00% |
| 27   | Rapidash / Carracosta          |    1 |   6.25% | 100.00% |
| 27   | Uxie / Liepard                 |    1 |   6.25% | 100.00% |
| 27   | Shiftry / Uxie                 |    1 |   6.25% | 100.00% |
| 27   | Uxie / Ivysaur                 |    1 |   6.25% | 100.00% |
| 27   | Rapidash / Uxie                |    1 |   6.25% | 100.00% |
| 27   | Shiftry / Liepard              |    1 |   6.25% | 100.00% |
| 27   | Liepard / Ivysaur              |    1 |   6.25% | 100.00% |
| 27   | Rapidash / Liepard             |    1 |   6.25% | 100.00% |
| 27   | Shiftry / Ivysaur              |    1 |   6.25% | 100.00% |
| 27   | Rapidash / Shiftry             |    1 |   6.25% | 100.00% |
| 27   | Rapidash / Ivysaur             |    1 |   6.25% | 100.00% |
| 27   | Abomasnow / Rhydon             |    1 |   6.25% | 100.00% |
| 27   | Rapidash / Abomasnow           |    1 |   6.25% | 100.00% |
| 27   | Rotom / Abomasnow              |    1 |   6.25% | 100.00% |
| 27   | Skuntank / Abomasnow           |    1 |   6.25% | 100.00% |
| 27   | Silvally / Abomasnow           |    1 |   6.25% | 100.00% |
| 27   | Rapidash / Rhydon              |    1 |   6.25% | 100.00% |
| 27   | Skuntank / Rhydon              |    1 |   6.25% | 100.00% |
| 27   | Silvally / Rhydon              |    1 |   6.25% | 100.00% |
| 27   | Rapidash / Rotom               |    1 |   6.25% | 100.00% |
| 27   | Rapidash / Skuntank            |    1 |   6.25% | 100.00% |
| 27   | Rapidash / Silvally            |    1 |   6.25% | 100.00% |
| 27   | Rotom / Skuntank               |    1 |   6.25% | 100.00% |
| 27   | Skuntank / Silvally            |    1 |   6.25% | 100.00% |
| 27   | Stunfisk / Persian-Alola       |    1 |   6.25% | 100.00% |
| 27   | Stunfisk / Roselia             |    1 |   6.25% | 100.00% |
| 27   | Roselia / Persian-Alola        |    1 |   6.25% | 100.00% |
| 27   | Miltank / Persian-Alola        |    1 |   6.25% | 100.00% |
| 27   | Rotom / Persian-Alola          |    1 |   6.25% | 100.00% |
| 27   | Rapidash-Galar / Persian-Alola |    1 |   6.25% | 100.00% |
| 27   | Roselia / Miltank              |    1 |   6.25% | 100.00% |
| 27   | Rapidash-Galar / Roselia       |    1 |   6.25% | 100.00% |
| 27   | Rapidash-Galar / Miltank       |    1 |   6.25% | 100.00% |
| 27   | Silvally / Uxie                |    1 |   6.25% | 100.00% |
| 27   | Froslass / Silvally            |    1 |   6.25% | 100.00% |
| 27   | Coalossal / Silvally           |    1 |   6.25% | 100.00% |
| 27   | Froslass / Rotom               |    1 |   6.25% | 100.00% |
| 27   | Rotom / Coalossal              |    1 |   6.25% | 100.00% |
