+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Silvally                |    3 |  18.75% | 100.00% |
| 2    | Uxie                    |    2 |  12.50% | 100.00% |
| 2    | Kabutops                |    2 |  12.50% |  50.00% |
| 2    | Articuno                |    2 |  12.50% |   0.00% |
| 2    | Stunfisk                |    2 |  12.50% |   0.00% |
| 6    | Accelgor                |    1 |   6.25% | 100.00% |
| 6    | Roselia                 |    1 |   6.25% | 100.00% |
| 6    | Throh                   |    1 |   6.25% |   0.00% |
| 6    | Miltank                 |    1 |   6.25% |   0.00% |
| 6    | Dugtrio-Alola           |    1 |   6.25% |   0.00% |
