+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Miltank            |    8 |  50.00% |  37.50% |
| 2    | Rotom              |    6 |  37.50% | 100.00% |
| 2    | Throh              |    6 |  37.50% |  16.67% |
| 4    | Silvally           |    5 |  31.25% |  60.00% |
| 4    | Qwilfish           |    5 |  31.25% |  20.00% |
| 4    | Articuno           |    5 |  31.25% |  20.00% |
| 7    | Rhydon             |    4 |  25.00% | 100.00% |
| 7    | Stunfisk           |    4 |  25.00% |  50.00% |
| 9    | Uxie               |    3 |  18.75% | 100.00% |
| 9    | Accelgor           |    3 |  18.75% |  66.67% |
| 9    | Rapidash-Galar     |    3 |  18.75% |  66.67% |
| 9    | Rapidash           |    3 |  18.75% |  66.67% |
| 9    | Dugtrio-Alola      |    3 |  18.75% |   0.00% |
| 14   | Shiftry            |    2 |  12.50% | 100.00% |
| 14   | Roselia            |    2 |  12.50% | 100.00% |
| 14   | Liepard            |    2 |  12.50% |  50.00% |
| 14   | Abomasnow          |    2 |  12.50% |  50.00% |
| 14   | Coalossal          |    2 |  12.50% |  50.00% |
| 14   | Altaria            |    2 |  12.50% |  50.00% |
| 14   | Kabutops           |    2 |  12.50% |  50.00% |
| 14   | Skuntank           |    2 |  12.50% |  50.00% |
| 14   | Thwackey           |    2 |  12.50% |   0.00% |
| 14   | Beheeyem           |    2 |  12.50% |   0.00% |
| 24   | Carracosta         |    1 |   6.25% | 100.00% |
| 24   | Ivysaur            |    1 |   6.25% | 100.00% |
| 24   | Persian-Alola      |    1 |   6.25% | 100.00% |
| 24   | Froslass           |    1 |   6.25% | 100.00% |
| 24   | Kangaskhan         |    1 |   6.25% | 100.00% |
| 24   | Pawniard           |    1 |   6.25% | 100.00% |
| 24   | Raichu             |    1 |   6.25% | 100.00% |
| 24   | Cofagrigus         |    1 |   6.25% | 100.00% |
| 24   | Palossand          |    1 |   6.25% |   0.00% |
| 24   | Lilligant          |    1 |   6.25% |   0.00% |
| 24   | Lycanroc-Midnight  |    1 |   6.25% |   0.00% |
| 24   | Exeggutor          |    1 |   6.25% |   0.00% |
| 24   | Poliwrath          |    1 |   6.25% |   0.00% |
| 24   | Alcremie           |    1 |   6.25% |   0.00% |
| 24   | Sawk               |    1 |   6.25% |   0.00% |
| 24   | Stunfisk-Galar     |    1 |   6.25% |   0.00% |
| 24   | Cramorant          |    1 |   6.25% |   0.00% |
| 24   | Tangela            |    1 |   6.25% |   0.00% |
