+ ---- + ------------------------------ + ---- + ------- + ------- +
| Rank | Combos of 2                    | Use  | Usage % |  Win %  |
+ ---- + ------------------------------ + ---- + ------- + ------- +
| 1    | Venusaur / Passimian           |    6 |  18.75% |  66.67% |
| 1    | Toxicroak / Mesprit            |    6 |  18.75% |  50.00% |
| 3    | Whiscash / Skuntank            |    5 |  15.62% |  80.00% |
| 4    | Toxicroak / Pyroar             |    4 |  12.50% |  75.00% |
| 4    | Mesprit / Clawitzer            |    4 |  12.50% |  75.00% |
| 4    | Whiscash / Sableye             |    4 |  12.50% |  50.00% |
| 4    | Toxicroak / Whimsicott         |    4 |  12.50% |  50.00% |
| 4    | Skuntank / Passimian           |    4 |  12.50% |  50.00% |
| 4    | Mesprit / Eelektross           |    4 |  12.50% |  25.00% |
| 10   | Eelektross / Whimsicott        |    3 |   9.38% |  66.67% |
| 10   | Whiscash / Mesprit             |    3 |   9.38% |  66.67% |
| 10   | Pyroar / Eelektross            |    3 |   9.38% |  66.67% |
| 10   | Toxicroak / Eelektross         |    3 |   9.38% |  66.67% |
| 10   | Skuntank / Venusaur            |    3 |   9.38% |  66.67% |
| 10   | Whiscash / Passimian           |    3 |   9.38% |  66.67% |
| 10   | Froslass / Venusaur            |    3 |   9.38% |  66.67% |
| 10   | Froslass / Passimian           |    3 |   9.38% |  66.67% |
| 10   | Venusaur / Camerupt            |    3 |   9.38% |  66.67% |
| 10   | Passimian / Camerupt           |    3 |   9.38% |  66.67% |
| 10   | Mesprit / Cryogonal            |    3 |   9.38% |  66.67% |
| 10   | Mesprit / Pyroar               |    3 |   9.38% |  66.67% |
| 10   | Mesprit / Whimsicott           |    3 |   9.38% |  33.33% |
| 10   | Mesprit / Camerupt             |    3 |   9.38% |  33.33% |
| 10   | Mesprit / Sandslash            |    3 |   9.38% |  33.33% |
| 10   | Froslass / Camerupt            |    3 |   9.38% |  33.33% |
| 10   | Spiritomb / Mesprit            |    3 |   9.38% |  33.33% |
| 27   | Toxicroak / Skuntank           |    2 |   6.25% | 100.00% |
| 27   | Toxicroak / Sandaconda         |    2 |   6.25% | 100.00% |
| 27   | Pyroar / Skuntank              |    2 |   6.25% | 100.00% |
| 27   | Sableye / Cryogonal            |    2 |   6.25% | 100.00% |
| 27   | Whiscash / Cryogonal           |    2 |   6.25% | 100.00% |
| 27   | Whiscash / Hitmontop           |    2 |   6.25% | 100.00% |
| 27   | Whiscash / Eelektross          |    2 |   6.25% | 100.00% |
| 27   | Spiritomb / Abomasnow          |    2 |   6.25% | 100.00% |
| 27   | Froslass / Pyroar              |    2 |   6.25% | 100.00% |
| 27   | Pyroar / Regirock              |    2 |   6.25% | 100.00% |
| 27   | Pyroar / Whimsicott            |    2 |   6.25% | 100.00% |
| 27   | Venusaur / Cryogonal           |    2 |   6.25% | 100.00% |
| 27   | Whiscash / Venusaur            |    2 |   6.25% | 100.00% |
| 27   | Passimian / Cryogonal          |    2 |   6.25% | 100.00% |
| 27   | Mesprit / Passimian            |    2 |   6.25% | 100.00% |
| 27   | Passimian / Articuno           |    2 |   6.25% | 100.00% |
| 27   | Mesprit / Sandaconda           |    2 |   6.25% | 100.00% |
| 27   | Clawitzer / Sandaconda         |    2 |   6.25% | 100.00% |
| 27   | Toxicroak / Whiscash           |    2 |   6.25% | 100.00% |
| 27   | Mesprit / Venusaur             |    2 |   6.25% | 100.00% |
| 27   | Whiscash / Pyroar              |    2 |   6.25% | 100.00% |
| 27   | Skuntank / Sandaconda          |    2 |   6.25% |  50.00% |
| 27   | Skuntank / Swanna              |    2 |   6.25% |  50.00% |
| 27   | Naclstack / Skuntank           |    2 |   6.25% |  50.00% |
| 27   | Weezing / Cryogonal            |    2 |   6.25% |  50.00% |
| 27   | Regirock / Whimsicott          |    2 |   6.25% |  50.00% |
| 27   | Whiscash / Whimsicott          |    2 |   6.25% |  50.00% |
| 27   | Jolteon / Venusaur             |    2 |   6.25% |  50.00% |
| 27   | Abomasnow / Beartic            |    2 |   6.25% |  50.00% |
| 27   | Eelektross / Hitmontop         |    2 |   6.25% |  50.00% |
| 27   | Spiritomb / Eelektross         |    2 |   6.25% |  50.00% |
| 27   | Whiscash / Dusknoir            |    2 |   6.25% |  50.00% |
| 27   | Toxicroak / Froslass           |    2 |   6.25% |  50.00% |
| 27   | Froslass / Whimsicott          |    2 |   6.25% |  50.00% |
| 27   | Skuntank / Appletun            |    2 |   6.25% |  50.00% |
| 27   | Skuntank / Cryogonal           |    2 |   6.25% |  50.00% |
| 27   | Sandaconda / Cryogonal         |    2 |   6.25% |  50.00% |
| 27   | Skuntank / Sableye             |    2 |   6.25% |  50.00% |
| 27   | Passimian / Sableye            |    2 |   6.25% |  50.00% |
| 27   | Clawitzer / Passimian          |    2 |   6.25% |  50.00% |
| 27   | Mesprit / Typhlosion           |    2 |   6.25% |  50.00% |
| 27   | Clawitzer / Sandslash          |    2 |   6.25% |  50.00% |
| 27   | Clawitzer / Toxicroak          |    2 |   6.25% |  50.00% |
| 27   | Froslass / Skuntank            |    2 |   6.25% |  50.00% |
| 27   | Clawitzer / Venusaur           |    2 |   6.25% |  50.00% |
| 27   | Jolteon / Sandslash            |    2 |   6.25% |  50.00% |
| 27   | Skuntank / Hitmontop           |    2 |   6.25% |  50.00% |
| 27   | Spiritomb / Toedscruel         |    2 |   6.25% |  50.00% |
| 27   | Mesprit / Toedscruel           |    2 |   6.25% |  50.00% |
| 27   | Jolteon / Passimian            |    2 |   6.25% |   0.00% |
| 27   | Toxicroak / Camerupt           |    2 |   6.25% |   0.00% |
| 27   | Toxicroak / Sandslash          |    2 |   6.25% |   0.00% |
| 27   | Camerupt / Whimsicott          |    2 |   6.25% |   0.00% |
| 27   | Sandslash / Whimsicott         |    2 |   6.25% |   0.00% |
| 27   | Mesprit / Basculin             |    2 |   6.25% |   0.00% |
| 27   | Jolteon / Skuntank             |    2 |   6.25% |   0.00% |
| 83   | Toxicroak / Swanna             |    1 |   3.12% | 100.00% |
| 83   | Toxicroak / Naclstack          |    1 |   3.12% | 100.00% |
| 83   | Sandaconda / Swanna            |    1 |   3.12% | 100.00% |
| 83   | Pyroar / Sandaconda            |    1 |   3.12% | 100.00% |
| 83   | Naclstack / Sandaconda         |    1 |   3.12% | 100.00% |
| 83   | Pyroar / Swanna                |    1 |   3.12% | 100.00% |
| 83   | Naclstack / Swanna             |    1 |   3.12% | 100.00% |
| 83   | Naclstack / Pyroar             |    1 |   3.12% | 100.00% |
| 83   | Weezing / Arboliva             |    1 |   3.12% | 100.00% |
| 83   | Weezing / Sableye              |    1 |   3.12% | 100.00% |
| 83   | Weezing / Bastiodon            |    1 |   3.12% | 100.00% |
| 83   | Whiscash / Weezing             |    1 |   3.12% | 100.00% |
| 83   | Arboliva / Sableye             |    1 |   3.12% | 100.00% |
| 83   | Arboliva / Bastiodon           |    1 |   3.12% | 100.00% |
| 83   | Whiscash / Arboliva            |    1 |   3.12% | 100.00% |
| 83   | Arboliva / Cryogonal           |    1 |   3.12% | 100.00% |
