+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Mesprit                 |    4 |  12.50% |  50.00% |
| 2    | Skuntank                |    3 |   9.38% |  66.67% |
| 2    | Clawitzer               |    3 |   9.38% |  33.33% |
| 4    | Whimsicott              |    2 |   6.25% |  50.00% |
| 4    | Abomasnow               |    2 |   6.25% |  50.00% |
| 4    | Passimian               |    2 |   6.25% |  50.00% |
| 4    | Camerupt                |    2 |   6.25% |   0.00% |
| 8    | Whiscash                |    1 |   3.12% | 100.00% |
| 8    | Froslass                |    1 |   3.12% | 100.00% |
| 8    | Toxicroak               |    1 |   3.12% | 100.00% |
| 8    | Pyroar                  |    1 |   3.12% | 100.00% |
| 8    | Toedscruel              |    1 |   3.12% | 100.00% |
| 8    | Carbink                 |    1 |   3.12% | 100.00% |
| 8    | Cryogonal               |    1 |   3.12% | 100.00% |
| 8    | Dusknoir                |    1 |   3.12% | 100.00% |
| 8    | Eelektross              |    1 |   3.12% |   0.00% |
| 8    | Tinkatuff               |    1 |   3.12% |   0.00% |
| 8    | Appletun                |    1 |   3.12% |   0.00% |
| 8    | Indeedee-F              |    1 |   3.12% |   0.00% |
| 8    | Crabominable            |    1 |   3.12% |   0.00% |
| 8    | Vikavolt                |    1 |   3.12% |   0.00% |
